cell,tag,env,engine,l_min,n_qtn,n_rho_all,n_rho_high,a_PR,Call_PR,Call_n,Chigh_PR,Chigh_n,Call_TP,Chigh_TP
V0.5_c1,bgs,6,lfmm,10,17,20,11,0.376470588235294,0.340336134453782,14,0.317647058823529,15,9,9
V0.5_c1,bgs,7,emmax,2,19,20,11,0.355789473684211,0.193363844393593,46,0.219484882418813,47,13,14
V0.5_c1,bgs,7,emmax,3,19,20,11,0.25077399380805,0.212280701754386,30,0.229665071770335,33,11,12
V0.5_c1,bgs,7,emmax,5,19,20,11,0.280701754385965,0.203007518796992,21,0.185354691075515,23,9,9
V0.5_c1,bgs,7,emmax,10,19,20,11,0.118421052631579,0.259109311740891,13,0.259109311740891,13,8,8
V0.5_c1,bgs,7,lfmm,2,19,20,11,0.404306220095694,0.281954887218045,42,0.263157894736842,45,15,15
V0.5_c1,bgs,7,lfmm,3,19,20,11,0.277008310249307,0.236842105263158,32,0.216541353383459,35,12,12
V0.5_c1,bgs,7,lfmm,5,19,20,11,0.284210526315789,0.194931773879142,27,0.181488203266788,29,10,10
V0.5_c1,bgs,7,lfmm,10,19,20,11,0.120300751879699,0.198142414860681,17,0.161184210526316,16,8,7
V0.5_c1,bgs,8,emmax,2,20,20,11,0.138888888888889,0.143220338983051,59,0.128030303030303,66,13,13
V0.5_c1,bgs,8,emmax,3,20,20,11,0.161290322580645,0.176041666666667,48,0.172448979591837,49,13,13
V0.5_c1,bgs,8,emmax,5,20,20,11,0.111363636363636,0.225,32,0.225,32,12,12
V0.5_c1,bgs,8,emmax,10,20,20,11,0.0892857142857143,0.26304347826087,23,0.26304347826087,23,11,11
V0.5_c1,bgs,8,lfmm,2,20,20,11,0.163333333333333,0.123626373626374,91,0.108173076923077,104,15,15
V0.5_c1,bgs,8,lfmm,3,20,20,11,0.222368421052632,0.144117647058824,68,0.134246575342466,73,14,14
V0.5_c1,bgs,8,lfmm,5,20,20,11,0.266666666666667,0.21125,40,0.192045454545455,44,13,13
V0.5_c1,bgs,8,lfmm,10,20,20,11,0.263157894736842,0.224074074074074,27,0.216071428571429,28,11,11
V0.5_c1,bgs,9,emmax,2,20,20,11,0.15625,0.188461538461538,13,0.188461538461538,13,7,7
V0.5_c1,bgs,9,emmax,3,20,20,11,0.208333333333333,0.272222222222222,9,0.245,10,7,7
V0.5_c1,bgs,9,emmax,5,20,20,11,0.0666666666666667,0.225,8,0.225,8,6,6
V0.5_c1,bgs,9,emmax,10,20,20,11,0.1,0.208333333333333,6,0.208333333333333,6,5,5
V0.5_c1,bgs,9,lfmm,2,20,20,11,0.133333333333333,0.204166666666667,12,0.238235294117647,17,7,9
V0.5_c1,bgs,9,lfmm,3,20,20,11,0.1125,0.245,10,0.246153846153846,13,7,8
V0.5_c1,bgs,9,lfmm,5,20,20,11,0.1,0.245,10,0.290909090909091,11,7,8
V0.5_c1,bgs,9,lfmm,10,20,20,11,0.05,0.208333333333333,6,0.257142857142857,7,5,6
V0.5_c1,bgs,10,emmax,2,17,20,11,0.190588235294118,0.168067226890756,35,0.150829562594268,39,10,10
V0.5_c1,bgs,10,emmax,3,17,20,11,0.297794117647059,0.190588235294118,25,0.210084033613445,28,9,10
V0.5_c1,bgs,10,emmax,5,17,20,11,0.366515837104072,0.264705882352941,18,0.267379679144385,22,9,10
V0.5_c1,bgs,10,emmax,10,17,20,11,0.360294117647059,0.366515837104072,13,0.420168067226891,14,9,10
V0.5_c1,bgs,10,lfmm,2,17,20,11,0.0733031674208145,0.0560224089635854,105,0.0525210084033613,112,10,10
V0.5_c1,bgs,10,lfmm,3,17,20,11,0.119117647058824,0.0816993464052288,72,0.0773993808049536,76,10,10
V0.5_c1,bgs,10,lfmm,5,17,20,11,0.170168067226891,0.120048019207683,49,0.113122171945701,52,10,10
V0.5_c1,bgs,10,lfmm,10,17,20,11,0.340336134453782,0.226244343891403,26,0.202839756592292,29,10,10
V0.5_c1,nobgs,1,emmax,2,19,20,11,0.329519450800915,0.174406604747162,51,0.189249720044793,47,13,13
V0.5_c1,nobgs,1,emmax,3,19,20,11,0.398891966759003,0.210526315789474,36,0.210526315789474,36,12,12
V0.5_c1,nobgs,1,emmax,5,19,20,11,0.473684210526316,0.329519450800915,23,0.291497975708502,26,12,12
V0.5_c1,nobgs,1,emmax,10,19,20,11,0.43859649122807,0.398891966759003,19,0.421052631578947,18,12,12
V0.5_c1,nobgs,1,lfmm,2,19,20,11,0.355789473684211,0.18796992481203,63,0.198142414860681,68,15,16
V0.5_c1,nobgs,1,lfmm,3,19,20,11,0.423558897243108,0.257437070938215,46,0.259109311740891,52,15,16
V0.5_c1,nobgs,1,lfmm,5,19,20,11,0.398026315789474,0.322368421052632,32,0.328947368421053,36,14,15
V0.5_c1,nobgs,1,lfmm,10,19,20,11,0.38755980861244,0.404306220095694,22,0.412631578947368,25,13,14
V0.5_c1,nobgs,2,emmax,2,20,20,11,0.232258064516129,0.107462686567164,67,0.1125,64,12,12
V0.5_c1,nobgs,2,emmax,3,20,20,11,0.327272727272727,0.171428571428571,42,0.175609756097561,41,12,12
V0.5_c1,nobgs,2,emmax,5,20,20,11,0.4,0.257142857142857,28,0.257142857142857,28,12,12
V0.5_c1,nobgs,2,emmax,10,20,20,11,0.290909090909091,0.4,18,0.378947368421053,19,12,12
V0.5_c1,nobgs,2,lfmm,2,20,20,11,0.146938775510204,0.0867469879518072,83,0.0867469879518072,83,12,12
V0.5_c1,nobgs,2,lfmm,3,20,20,11,0.225,0.128571428571429,56,0.124137931034483,58,12,12
V0.5_c1,nobgs,2,lfmm,5,20,20,11,0.327272727272727,0.232258064516129,31,0.218181818181818,33,12,12
V0.5_c1,nobgs,2,lfmm,10,20,20,11,0.3125,0.4,18,0.378947368421053,19,12,12
V0.5_c1,nobgs,3,emmax,2,21,20,11,0.171428571428571,0.109803921568627,85,0.108527131782946,86,14,14
V0.5_c1,nobgs,3,emmax,3,21,20,11,0.240079365079365,0.176100628930818,53,0.17283950617284,54,14,14
V0.5_c1,nobgs,3,emmax,5,21,20,11,0.27437641723356,0.201190476190476,40,0.191609977324263,42,13,13
V0.5_c1,nobgs,3,emmax,10,21,20,11,0.338935574229692,0.263736263736264,26,0.244897959183673,28,12,12
V0.5_c1,nobgs,3,lfmm,2,21,20,11,0.233333333333333,0.124584717607973,86,0.126050420168067,85,15,15
V0.5_c1,nobgs,3,lfmm,3,21,20,11,0.287414965986395,0.159914712153518,67,0.167410714285714,64,15,15
V0.5_c1,nobgs,3,lfmm,5,21,20,11,0.285714285714286,0.210084033613445,51,0.210084033613445,51,15,15
V0.5_c1,nobgs,3,lfmm,10,21,20,11,0.360119047619048,0.291666666666667,32,0.291666666666667,32,14,14
V0.5_c1,nobgs,4,emmax,2,19,20,11,0.199445983379501,0.179425837320574,66,0.157894736842105,75,15,15
