tau,lmin,n_regions,n_hit,prop_hit,fold,recall,F1,fold_cap
0.05,1,72,11,0.152777777777778,14.5695364238411,0.277777777777778,0.197132616487455,14.5695364238411
0.05,2,23,5,0.217391304347826,17.2413793103448,0.138888888888889,0.169491525423729,17.2413793103448
0.05,3,17,5,0.294117647058824,18.5185185185185,0.138888888888889,0.188679245283019,18.5185185185185
0.05,4,12,4,0.333333333333333,26.6666666666667,0.111111111111111,0.166666666666667,26.6666666666667
0.05,5,8,3,0.375,40,0.0833333333333333,0.136363636363636,40
0.05,6,5,2,0.4,30.7692307692308,0.0555555555555556,0.0975609756097561,30.7692307692308
0.05,7,5,2,0.4,36.3636363636364,0.0555555555555556,0.0975609756097561,36.3636363636364
0.05,8,5,2,0.4,23.5294117647059,0.0555555555555556,0.0975609756097561,23.5294117647059
0.05,9,5,2,0.4,19.0476190476191,0.0555555555555556,0.0975609756097561,19.0476190476191
0.05,10,4,2,0.5,18.1818181818182,0.0555555555555556,0.1,18.1818181818182
0.05,11,3,2,0.666666666666667,30.7692307692308,0.0555555555555556,0.102564102564103,30.7692307692308
0.05,12,3,2,0.666666666666667,28.5714285714286,0.0555555555555556,0.102564102564103,28.5714285714286
0.05,13,3,2,0.666666666666667,22.2222222222222,0.0555555555555556,0.102564102564103,22.2222222222222
0.05,14,3,2,0.666666666666667,19.0476190476191,0.0555555555555556,0.102564102564103,19.0476190476191
0.05,15,3,2,0.666666666666667,25,0.0555555555555556,0.102564102564103,25
0.1,1,35,7,0.2,14.1414141414141,0.194444444444444,0.197183098591549,14.1414141414141
0.1,2,12,1,0.0833333333333333,13.3333333333333,0.0277777777777778,0.0416666666666667,13.3333333333333
0.1,3,8,1,0.125,10.5263157894737,0.0277777777777778,0.0454545454545455,10.5263157894737
0.1,4,6,1,0.166666666666667,12.5,0.0277777777777778,0.0476190476190476,12.5
0.1,5,3,1,0.333333333333333,16.6666666666667,0.0277777777777778,0.0512820512820513,16.6666666666667
0.1,6,3,1,0.333333333333333,15.3846153846154,0.0277777777777778,0.0512820512820513,15.3846153846154
0.1,7,3,1,0.333333333333333,28.5714285714286,0.0277777777777778,0.0512820512820513,28.5714285714286
0.1,8,3,1,0.333333333333333,22.2222222222222,0.0277777777777778,0.0512820512820513,22.2222222222222
0.1,9,3,1,0.333333333333333,18.1818181818182,0.0277777777777778,0.0512820512820513,18.1818181818182
0.1,10,2,1,0.5,22.2222222222222,0.0277777777777778,0.0526315789473684,22.2222222222222
0.1,11,1,1,1,22.2222222222222,0.0277777777777778,0.0540540540540541,22.2222222222222
0.1,12,1,1,1,20,0.0277777777777778,0.0540540540540541,20
0.1,13,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.1,14,1,1,1,50,0.0277777777777778,0.0540540540540541,40
0.1,15,1,1,1,18.1818181818182,0.0277777777777778,0.0540540540540541,18.1818181818182
0.15,1,26,4,0.153846153846154,21.0526315789474,0.111111111111111,0.129032258064516,21.0526315789474
0.15,2,10,1,0.1,9.09090909090909,0.0277777777777778,0.0434782608695652,9.09090909090909
0.15,3,6,1,0.166666666666667,12.5,0.0277777777777778,0.0476190476190476,12.5
0.15,4,3,1,0.333333333333333,14.2857142857143,0.0277777777777778,0.0512820512820513,14.2857142857143
0.15,5,2,1,0.5,18.1818181818182,0.0277777777777778,0.0526315789473684,18.1818181818182
0.15,6,2,1,0.5,20,0.0277777777777778,0.0526315789473684,20
0.15,7,2,1,0.5,22.2222222222222,0.0277777777777778,0.0526315789473684,22.2222222222222
0.15,8,1,1,1,50,0.0277777777777778,0.0540540540540541,40
0.15,9,1,1,1,50,0.0277777777777778,0.0540540540540541,40
0.15,10,1,1,1,40,0.0277777777777778,0.0540540540540541,40
0.15,11,1,1,1,28.5714285714286,0.0277777777777778,0.0540540540540541,28.5714285714286
0.15,12,1,1,1,66.6666666666667,0.0277777777777778,0.0540540540540541,40
0.15,13,1,1,1,22.2222222222222,0.0277777777777778,0.0540540540540541,22.2222222222222
0.15,14,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.15,15,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.2,1,23,4,0.173913043478261,25,0.111111111111111,0.135593220338983,25
0.2,2,9,1,0.111111111111111,12.5,0.0277777777777778,0.0444444444444444,12.5
0.2,3,4,1,0.25,28.5714285714286,0.0277777777777778,0.05,28.5714285714286
0.2,4,2,1,0.5,20,0.0277777777777778,0.0526315789473684,20
0.2,5,2,1,0.5,25,0.0277777777777778,0.0526315789473684,25
0.2,6,2,1,0.5,25,0.0277777777777778,0.0526315789473684,25
0.2,7,1,1,1,66.6666666666667,0.0277777777777778,0.0540540540540541,40
0.2,8,1,1,1,28.5714285714286,0.0277777777777778,0.0540540540540541,28.5714285714286
0.2,9,1,1,1,200,0.0277777777777778,0.0540540540540541,40
0.2,10,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.2,11,1,1,1,40,0.0277777777777778,0.0540540540540541,40
0.2,12,1,1,1,40,0.0277777777777778,0.0540540540540541,40
0.2,13,1,1,1,40,0.0277777777777778,0.0540540540540541,40
0.2,14,1,1,1,28.5714285714286,0.0277777777777778,0.0540540540540541,28.5714285714286
0.2,15,1,1,1,100,0.0277777777777778,0.0540540540540541,40
0.25,1,22,4,0.181818181818182,21.6216216216216,0.111111111111111,0.137931034482759,21.6216216216216
0.25,2,9,1,0.111111111111111,15.3846153846154,0.0277777777777778,0.0444444444444444,15.3846153846154
0.25,3,3,1,0.333333333333333,18.1818181818182,0.0277777777777778,0.0512820512820513,18.1818181818182
0.25,4,2,1,0.5,40,0.0277777777777778,0.0526315789473684,40
0.25,5,2,1,0.5,33.3333333333333,0.0277777777777778,0.0526315789473684,33.3333333333333
0.25,6,1,1,1,40,0.0277777777777778,0.0540540540540541,40
0.25,7,1,1,1,50,0.0277777777777778,0.0540540540540541,40
0.25,8,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.25,9,1,1,1,28.5714285714286,0.0277777777777778,0.0540540540540541,28.5714285714286
0.25,10,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.25,11,1,1,1,40,0.0277777777777778,0.0540540540540541,40
0.25,12,1,1,1,28.5714285714286,0.0277777777777778,0.0540540540540541,28.5714285714286
0.25,13,1,1,1,50,0.0277777777777778,0.0540540540540541,40
0.25,14,1,1,1,66.6666666666667,0.0277777777777778,0.0540540540540541,40
0.25,15,0,0,,,0,0,
0.3,1,18,4,0.222222222222222,29.6296296296296,0.111111111111111,0.148148148148148,29.6296296296296
0.3,2,8,1,0.125,11.7647058823529,0.0277777777777778,0.0454545454545455,11.7647058823529
0.3,3,2,1,0.5,28.5714285714286,0.0277777777777778,0.0526315789473684,28.5714285714286
0.3,4,2,1,0.5,16.6666666666667,0.0277777777777778,0.0526315789473684,16.6666666666667
0.3,5,1,1,1,40,0.0277777777777778,0.0540540540540541,40
0.3,6,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.3,7,1,1,1,66.6666666666667,0.0277777777777778,0.0540540540540541,40
0.3,8,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.3,9,1,1,1,66.6666666666667,0.0277777777777778,0.0540540540540541,40
0.3,10,0,0,,,0,0,
0.3,11,0,0,,,0,0,
0.3,12,0,0,,,0,0,
0.3,13,0,0,,,0,0,
0.3,14,0,0,,,0,0,
0.3,15,0,0,,,0,0,
0.35,1,15,2,0.133333333333333,17.3913043478261,0.0555555555555556,0.0784313725490196,17.3913043478261
0.35,2,6,1,0.166666666666667,18.1818181818182,0.0277777777777778,0.0476190476190476,18.1818181818182
0.35,3,2,1,0.5,16.6666666666667,0.0277777777777778,0.0526315789473684,16.6666666666667
0.35,4,2,1,0.5,20,0.0277777777777778,0.0526315789473684,20
0.35,5,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.35,6,1,1,1,100,0.0277777777777778,0.0540540540540541,40
0.35,7,1,1,1,22.2222222222222,0.0277777777777778,0.0540540540540541,22.2222222222222
0.35,8,1,1,1,28.5714285714286,0.0277777777777778,0.0540540540540541,28.5714285714286
0.35,9,0,0,,,0,0,
0.35,10,0,0,,,0,0,
0.35,11,0,0,,,0,0,
0.35,12,0,0,,,0,0,
0.35,13,0,0,,,0,0,
0.35,14,0,0,,,0,0,
0.35,15,0,0,,,0,0,
0.4,1,12,2,0.166666666666667,15.3846153846154,0.0555555555555556,0.0833333333333333,15.3846153846154
0.4,2,5,1,0.2,28.5714285714286,0.0277777777777778,0.0487804878048781,28.5714285714286
0.4,3,2,1,0.5,33.3333333333333,0.0277777777777778,0.0526315789473684,33.3333333333333
0.4,4,2,1,0.5,18.1818181818182,0.0277777777777778,0.0526315789473684,18.1818181818182
0.4,5,1,1,1,16.6666666666667,0.0277777777777778,0.0540540540540541,16.6666666666667
0.4,6,1,1,1,40,0.0277777777777778,0.0540540540540541,40
0.4,7,1,1,1,33.3333333333333,0.0277777777777778,0.0540540540540541,33.3333333333333
0.4,8,0,0,,,0,0,
0.4,9,0,0,,,0,0,
0.4,10,0,0,,,0,0,
0.4,11,0,0,,,0,0,
0.4,12,0,0,,,0,0,
0.4,13,0,0,,,0,0,
