null,tau,lmin,obs,nullreg,fdr
spatial (MVN kernel),0.24,3,4,12.92,1
spatial (MVN kernel),0.24,5,2,6.79,1
spatial (MVN kernel),0.24,10,1,3.62,1
spatial (MVN kernel),0.24,15,0,2.66,1
spatial (MVN kernel),0.24,20,0,2.16,1
spatial (MVN kernel),0.26,1,21,78.93,1
spatial (MVN kernel),0.26,2,8,23.57,1
spatial (MVN kernel),0.26,3,3,12.28,1
spatial (MVN kernel),0.26,5,2,6.49,1
spatial (MVN kernel),0.26,10,1,3.53,1
spatial (MVN kernel),0.26,15,0,2.6,1
spatial (MVN kernel),0.26,20,0,2.09,1
spatial (MVN kernel),0.28,1,20,73.58,1
spatial (MVN kernel),0.28,2,8,22.3,1
spatial (MVN kernel),0.28,3,2,11.72,1
spatial (MVN kernel),0.28,5,2,6.26,1
spatial (MVN kernel),0.28,10,1,3.41,1
spatial (MVN kernel),0.28,15,0,2.58,1
spatial (MVN kernel),0.28,20,0,2.06,1
spatial (MVN kernel),0.3,1,18,68.74,1
spatial (MVN kernel),0.3,2,8,21.21,1
spatial (MVN kernel),0.3,3,2,11.23,1
spatial (MVN kernel),0.3,5,1,6.07,1
spatial (MVN kernel),0.3,10,0,3.32,1
spatial (MVN kernel),0.3,15,0,2.52,1
spatial (MVN kernel),0.3,20,0,2,1
spatial (MVN kernel),0.32,1,17,65.28,1
spatial (MVN kernel),0.32,2,8,20.57,1
spatial (MVN kernel),0.32,3,2,10.75,1
spatial (MVN kernel),0.32,5,1,5.91,1
spatial (MVN kernel),0.32,10,0,3.27,1
spatial (MVN kernel),0.32,15,0,2.43,1
spatial (MVN kernel),0.32,20,0,1.96,1
spatial (MVN kernel),0.34,1,16,61.35,1
spatial (MVN kernel),0.34,2,7,19.61,1
spatial (MVN kernel),0.34,3,2,10.23,1
spatial (MVN kernel),0.34,5,1,5.71,1
spatial (MVN kernel),0.34,10,0,3.15,1
spatial (MVN kernel),0.34,15,0,2.39,1
spatial (MVN kernel),0.34,20,0,1.9,1
spatial (MVN kernel),0.36,1,14,57.43,1
spatial (MVN kernel),0.36,2,6,18.68,1
spatial (MVN kernel),0.36,3,2,9.82,1
spatial (MVN kernel),0.36,5,1,5.58,1
spatial (MVN kernel),0.36,10,0,3.01,1
spatial (MVN kernel),0.36,15,0,2.33,1
spatial (MVN kernel),0.36,20,0,1.85,1
spatial (MVN kernel),0.38,1,12,54.27,1
spatial (MVN kernel),0.38,2,6,18,1
spatial (MVN kernel),0.38,3,2,9.57,1
spatial (MVN kernel),0.38,5,1,5.44,1
spatial (MVN kernel),0.38,10,0,2.94,1
spatial (MVN kernel),0.38,15,0,2.29,1
spatial (MVN kernel),0.38,20,0,1.79,1
spatial (MVN kernel),0.4,1,12,51.8,1
spatial (MVN kernel),0.4,2,5,17.48,1
spatial (MVN kernel),0.4,3,2,9.28,1
spatial (MVN kernel),0.4,5,1,5.34,1
spatial (MVN kernel),0.4,10,0,2.89,1
spatial (MVN kernel),0.4,15,0,2.24,1
spatial (MVN kernel),0.4,20,0,1.77,1
spatial (MVN kernel),0.42,1,11,48.63,1
spatial (MVN kernel),0.42,2,5,16.82,1
spatial (MVN kernel),0.42,3,2,8.81,1
spatial (MVN kernel),0.42,5,1,5.13,1
spatial (MVN kernel),0.42,10,0,2.81,1
spatial (MVN kernel),0.42,15,0,2.22,1
spatial (MVN kernel),0.42,20,0,1.74,1
spatial (MVN kernel),0.44,1,10,46.6,1
spatial (MVN kernel),0.44,2,5,16.23,1
spatial (MVN kernel),0.44,3,2,8.57,1
spatial (MVN kernel),0.44,5,1,5.05,1
spatial (MVN kernel),0.44,10,0,2.8,1
spatial (MVN kernel),0.44,15,0,2.19,1
spatial (MVN kernel),0.44,20,0,1.7,1
spatial (MVN kernel),0.46,1,10,44.69,1
spatial (MVN kernel),0.46,2,4,15.66,1
spatial (MVN kernel),0.46,3,2,8.17,1
spatial (MVN kernel),0.46,5,1,4.89,1
spatial (MVN kernel),0.46,10,0,2.74,1
spatial (MVN kernel),0.46,15,0,2.14,1
spatial (MVN kernel),0.46,20,0,1.66,1
spatial (MVN kernel),0.48,1,9,41.31,1
spatial (MVN kernel),0.48,2,3,15.07,1
spatial (MVN kernel),0.48,3,2,7.89,1
spatial (MVN kernel),0.48,5,1,4.75,1
spatial (MVN kernel),0.48,10,0,2.69,1
spatial (MVN kernel),0.48,15,0,2.11,1
spatial (MVN kernel),0.48,20,0,1.65,1
spatial (MVN kernel),0.5,1,8,39.01,1
spatial (MVN kernel),0.5,2,3,14.57,1
spatial (MVN kernel),0.5,3,1,7.74,1
spatial (MVN kernel),0.5,5,0,4.69,1
spatial (MVN kernel),0.5,10,0,2.65,1
spatial (MVN kernel),0.5,15,0,2.1,1
spatial (MVN kernel),0.5,20,0,1.63,1
