null,tau,lmin,obs,nullreg,fdr
genetic (MVN),0.4,10,0,0,0
genetic (MVN),0.4,15,0,0,0
genetic (MVN),0.4,20,0,0,0
genetic (MVN),0.42,1,11,0.07,0.00636363636363636
genetic (MVN),0.42,2,5,0.01,0.002
genetic (MVN),0.42,3,2,0.01,0.005
genetic (MVN),0.42,5,1,0,0
genetic (MVN),0.42,10,0,0,0
genetic (MVN),0.42,15,0,0,0
genetic (MVN),0.42,20,0,0,0
genetic (MVN),0.44,1,10,0.07,0.007
genetic (MVN),0.44,2,5,0.01,0.002
genetic (MVN),0.44,3,2,0.01,0.005
genetic (MVN),0.44,5,1,0,0
genetic (MVN),0.44,10,0,0,0
genetic (MVN),0.44,15,0,0,0
genetic (MVN),0.44,20,0,0,0
genetic (MVN),0.46,1,10,0.05,0.005
genetic (MVN),0.46,2,4,0.01,0.0025
genetic (MVN),0.46,3,2,0.01,0.005
genetic (MVN),0.46,5,1,0,0
genetic (MVN),0.46,10,0,0,0
genetic (MVN),0.46,15,0,0,0
genetic (MVN),0.46,20,0,0,0
genetic (MVN),0.48,1,9,0.04,0.00444444444444444
genetic (MVN),0.48,2,3,0.01,0.00333333333333333
genetic (MVN),0.48,3,2,0.01,0.005
genetic (MVN),0.48,5,1,0,0
genetic (MVN),0.48,10,0,0,0
genetic (MVN),0.48,15,0,0,0
genetic (MVN),0.48,20,0,0,0
genetic (MVN),0.5,1,8,0.04,0.005
genetic (MVN),0.5,2,3,0.01,0.00333333333333333
genetic (MVN),0.5,3,1,0.01,0.01
genetic (MVN),0.5,5,0,0,0
genetic (MVN),0.5,10,0,0,0
genetic (MVN),0.5,15,0,0,0
genetic (MVN),0.5,20,0,0,0
global perm.,0.02,1,134,19.38,0.144626865671642
global perm.,0.02,2,61,6.55,0.107377049180328
global perm.,0.02,3,39,3.79,0.0971794871794872
global perm.,0.02,5,16,1.97,0.123125
global perm.,0.02,10,8,0.69,0.08625
global perm.,0.02,15,6,0.28,0.0466666666666667
global perm.,0.02,20,5,0.16,0.032
global perm.,0.04,1,82,16.49,0.20109756097561
global perm.,0.04,2,27,5.6,0.207407407407407
global perm.,0.04,3,19,3.25,0.171052631578947
global perm.,0.04,5,9,1.69,0.187777777777778
global perm.,0.04,10,4,0.57,0.1425
