tau,lmin,n_regions,n_hit,prop_hit,fold,recall,F1,fold_cap
0.05,1,472,56,0.11864406779661,1.18883345717015,0.310880829015544,0.171744019627888,1.18883345717015
0.05,2,206,35,0.169902912621359,1.27365356622999,0.248704663212435,0.2018866790843,1.27365356622999
0.05,3,136,28,0.205882352941176,1.31950989632422,0.217616580310881,0.211586901763224,1.31950989632422
0.05,4,106,23,0.216981132075472,1.24324324324324,0.196891191709845,0.206448565017125,1.24324324324324
0.05,5,91,22,0.241758241758242,1.24223602484472,0.196891191709845,0.217030114226376,1.24223602484472
0.05,6,70,18,0.257142857142857,1.20805369127517,0.170984455958549,0.205394190871369,1.20805369127517
0.05,7,61,16,0.262295081967213,1.2312427856868,0.160621761658031,0.199236794537056,1.2312427856868
0.05,8,49,15,0.306122448979592,1.29477772982305,0.150259067357513,0.201575532900834,1.29477772982305
0.05,9,44,15,0.340909090909091,1.35379061371841,0.150259067357513,0.208583073603452,1.35379061371841
0.05,10,40,15,0.375,1.44578313253012,0.150259067357513,0.214549938347719,1.44578313253012
0.05,11,35,14,0.4,1.4336917562724,0.145077720207254,0.212927756653992,1.4336917562724
0.05,12,33,12,0.363636363636364,1.27931769722814,0.124352331606218,0.185328185328185,1.27931769722814
0.05,13,29,11,0.379310344827586,1.23249299719888,0.119170984455959,0.181362007168459,1.23249299719888
0.05,14,24,10,0.416666666666667,1.23762376237624,0.10880829015544,0.172555464256368,1.23762376237624
0.05,15,22,10,0.454545454545455,1.27064803049555,0.10880829015544,0.175585284280936,1.27064803049555
0.1,1,424,49,0.115566037735849,1.1392699372239,0.269430051813472,0.161752102840819,1.1392699372239
0.1,2,188,31,0.164893617021277,1.29220508545227,0.227979274611399,0.191371448614521,1.29220508545227
0.1,3,133,28,0.210526315789474,1.40350877192982,0.212435233160622,0.211476466795616,1.40350877192982
0.1,4,98,21,0.214285714285714,1.25260960334029,0.186528497409326,0.199445983379501,1.25260960334029
0.1,5,81,18,0.222222222222222,1.22241086587436,0.16580310880829,0.189910979228487,1.22241086587436
0.1,6,68,17,0.25,1.30068859984698,0.160621761658031,0.195583596214511,1.30068859984698
0.1,7,57,14,0.245614035087719,1.23565754633716,0.139896373056995,0.178259844376326,1.23565754633716
0.1,8,48,14,0.291666666666667,1.2921089063221,0.139896373056995,0.189094547273637,1.2921089063221
0.1,9,44,14,0.318181818181818,1.33587786259542,0.139896373056995,0.194344473007712,1.33587786259542
0.1,10,37,13,0.351351351351351,1.34645261522527,0.134715025906736,0.194756554307116,1.34645261522527
0.1,11,30,10,0.333333333333333,1.17508813160987,0.10880829015544,0.1640625,1.17508813160987
0.1,12,29,10,0.344827586206897,1.14942528735632,0.10880829015544,0.165419456478929,1.14942528735632
0.1,13,26,10,0.384615384615385,1.21138703815869,0.10880829015544,0.169628432956381,1.21138703815869
0.1,14,20,8,0.4,1.15606936416185,0.0932642487046632,0.151260504201681,1.15606936416185
0.1,15,16,8,0.5,1.37575236457438,0.0932642487046632,0.157205240174673,1.37575236457438
0.15,1,382,41,0.107329842931937,1.10527025205553,0.227979274611399,0.14594878847943,1.10527025205553
0.15,2,181,24,0.132596685082873,1.09965635738832,0.181347150259067,0.153186833226954,1.09965635738832
0.15,3,120,21,0.175,1.25298329355609,0.176165803108808,0.175580966433051,1.25298329355609
0.15,4,93,15,0.161290322580645,1.03199174406605,0.139896373056995,0.149833518312986,1.03199174406605
0.15,5,75,14,0.186666666666667,1.076095311299,0.134715025906736,0.156491831470335,1.076095311299
0.15,6,65,14,0.215384615384615,1.1986301369863,0.134715025906736,0.165755919854281,1.1986301369863
0.15,7,56,12,0.214285714285714,1.15052732502397,0.119170984455959,0.153163152053274,1.15052732502397
0.15,8,45,12,0.266666666666667,1.31434830230011,0.119170984455959,0.164726947179946,1.31434830230011
0.15,9,40,11,0.275,1.22767857142857,0.113989637305699,0.161172161172161,1.22767857142857
0.15,10,33,10,0.303030303030303,1.20048019207683,0.10880829015544,0.160121997712543,1.20048019207683
0.15,11,28,9,0.321428571428571,1.21130551816958,0.103626943005181,0.156726164562473,1.21130551816958
