tau,lmin,n_regions,n_hit,prop_hit,fold,recall,F1,fold_cap
0.05,1,472,20,0.0423728813559322,2.1551724137931,0.361111111111111,0.0758459743290548,2.1551724137931
0.05,2,206,10,0.0485436893203884,1.60128102481986,0.222222222222222,0.0796812749003984,1.60128102481986
0.05,3,136,9,0.0661764705882353,1.80904522613065,0.222222222222222,0.101983002832861,1.80904522613065
0.05,4,106,9,0.0849056603773585,2.01793721973094,0.222222222222222,0.122866894197952,2.01793721973094
0.05,5,91,8,0.0879120879120879,1.98511166253102,0.222222222222222,0.125984251968504,1.98511166253102
0.05,6,70,7,0.1,1.89189189189189,0.194444444444444,0.132075471698113,1.89189189189189
0.05,7,61,5,0.0819672131147541,1.42450142450142,0.138888888888889,0.103092783505155,1.42450142450142
0.05,8,49,4,0.0816326530612245,1.25786163522013,0.111111111111111,0.0941176470588235,1.25786163522013
0.05,9,44,4,0.0909090909090909,1.33333333333333,0.111111111111111,0.1,1.33333333333333
0.05,10,40,4,0.1,1.29659643435981,0.111111111111111,0.105263157894737,1.29659643435981
0.05,11,35,4,0.114285714285714,1.42348754448399,0.111111111111111,0.112676056338028,1.42348754448399
0.05,12,33,4,0.121212121212121,1.50943396226415,0.111111111111111,0.115942028985507,1.50943396226415
0.05,13,29,3,0.103448275862069,1.11731843575419,0.0833333333333333,0.0923076923076923,1.11731843575419
0.05,14,24,3,0.125,1.21951219512195,0.0833333333333333,0.1,1.21951219512195
0.05,15,22,3,0.136363636363636,1.36054421768707,0.0833333333333333,0.103448275862069,1.36054421768707
0.1,1,424,18,0.0424528301886792,2.14925373134328,0.305555555555556,0.0745481927710843,2.14925373134328
0.1,2,188,9,0.0478723404255319,1.66204986149584,0.222222222222222,0.0787746170678337,1.66204986149584
0.1,3,133,9,0.0676691729323308,1.9845644983462,0.222222222222222,0.103746397694525,1.9845644983462
0.1,4,98,8,0.0816326530612245,2.03303684879288,0.222222222222222,0.119402985074627,2.03303684879288
0.1,5,81,7,0.0864197530864198,2.01149425287356,0.194444444444444,0.11965811965812,2.01149425287356
0.1,6,68,7,0.102941176470588,2.14067278287462,0.194444444444444,0.134615384615385,2.14067278287462
0.1,7,57,4,0.0701754385964912,1.34453781512605,0.111111111111111,0.0860215053763441,1.34453781512605
0.1,8,48,4,0.0833333333333333,1.41342756183746,0.111111111111111,0.0952380952380953,1.41342756183746
0.1,9,44,4,0.0909090909090909,1.3986013986014,0.111111111111111,0.1,1.3986013986014
0.1,10,37,4,0.108108108108108,1.61616161616162,0.111111111111111,0.10958904109589,1.61616161616162
0.1,11,30,3,0.1,1.30718954248366,0.0833333333333333,0.0909090909090909,1.30718954248366
0.1,12,29,3,0.103448275862069,1.28205128205128,0.0833333333333333,0.0923076923076923,1.28205128205128
0.1,13,26,3,0.115384615384615,1.38568129330254,0.0833333333333333,0.0967741935483871,1.38568129330254
0.1,14,20,2,0.1,0.992555831265509,0.0555555555555556,0.0714285714285714,0.992555831265509
0.1,15,16,2,0.125,1.19760479041916,0.0555555555555556,0.0769230769230769,1.19760479041916
0.15,1,382,16,0.0418848167539267,2.29720028715004,0.277777777777778,0.0727934485896269,2.29720028715004
0.15,2,181,8,0.0441988950276243,1.92771084337349,0.194444444444444,0.0720257234726688,1.92771084337349
0.15,3,120,7,0.0583333333333333,1.97183098591549,0.194444444444444,0.0897435897435898,1.97183098591549
0.15,4,93,6,0.0645161290322581,1.84049079754601,0.166666666666667,0.0930232558139535,1.84049079754601
0.15,5,75,5,0.0666666666666667,1.63934426229508,0.138888888888889,0.0900900900900901,1.63934426229508
0.15,6,65,5,0.0769230769230769,1.94552529182879,0.138888888888889,0.099009900990099,1.94552529182879
0.15,7,56,3,0.0535714285714286,1.20724346076459,0.0833333333333333,0.0652173913043478,1.20724346076459
0.15,8,45,3,0.0666666666666667,1.33333333333333,0.0833333333333333,0.0740740740740741,1.33333333333333
0.15,9,40,3,0.075,1.33630289532294,0.0833333333333333,0.0789473684210526,1.33630289532294
0.15,10,33,3,0.0909090909090909,1.37614678899083,0.0833333333333333,0.0869565217391304,1.37614678899083
0.15,11,28,3,0.107142857142857,1.50753768844221,0.0833333333333333,0.09375,1.50753768844221
0.15,12,25,2,0.08,1.08991825613079,0.0555555555555556,0.0655737704918033,1.08991825613079
0.15,13,19,2,0.105263157894737,1.20481927710843,0.0555555555555556,0.0727272727272727,1.20481927710843
0.15,14,14,2,0.142857142857143,1.64609053497942,0.0555555555555556,0.08,1.64609053497942
0.15,15,10,2,0.2,1.48698884758364,0.0555555555555556,0.0869565217391305,1.48698884758364
0.2,1,351,15,0.0427350427350427,2.38473767885533,0.277777777777778,0.0740740740740741,2.38473767885533
0.2,2,170,8,0.0470588235294118,2.12483399734396,0.194444444444444,0.0757780784844384,2.12483399734396
0.2,3,116,7,0.0603448275862069,2.06794682422452,0.194444444444444,0.0921052631578947,2.06794682422452
0.2,4,91,5,0.054945054945055,1.81159420289855,0.138888888888889,0.078740157480315,1.81159420289855
0.2,5,72,5,0.0694444444444445,1.91570881226054,0.138888888888889,0.0925925925925926,1.91570881226054
0.2,6,59,4,0.0677966101694915,1.60642570281124,0.111111111111111,0.0842105263157895,1.60642570281124
0.2,7,52,3,0.0576923076923077,1.30434782608696,0.0833333333333333,0.0681818181818182,1.30434782608696
0.2,8,43,3,0.0697674418604651,1.42517814726841,0.0833333333333333,0.0759493670886076,1.42517814726841
0.2,9,39,3,0.0769230769230769,1.53061224489796,0.0833333333333333,0.08,1.53061224489796
0.2,10,33,3,0.0909090909090909,1.43540669856459,0.0833333333333333,0.0869565217391304,1.43540669856459
0.2,11,24,2,0.0833333333333333,1.09289617486339,0.0555555555555556,0.0666666666666667,1.09289617486339
0.2,12,21,2,0.0952380952380952,1.2779552715655,0.0555555555555556,0.0701754385964912,1.2779552715655
0.2,13,15,2,0.133333333333333,1.46520146520147,0.0555555555555556,0.0784313725490196,1.46520146520147
0.2,14,12,2,0.166666666666667,1.52671755725191,0.0555555555555556,0.0833333333333333,1.52671755725191
0.2,15,9,2,0.222222222222222,1.73913043478261,0.0555555555555556,0.0888888888888889,1.73913043478261
0.25,1,329,14,0.0425531914893617,2.38704177323103,0.277777777777778,0.0738007380073801,2.38704177323103
