method,l_min,gif,PR_AUC,SE
chain,1,1.041,0.22,0.057
chain,2,1.041,0.235,0.05
chain,4,1.041,0.274,0.06
chain,8,1.041,0.248,0.061
ldw_008,1,1.151,0.199,0.054
ldw_008,2,1.151,0.208,0.05
ldw_008,4,1.151,0.246,0.055
ldw_008,8,1.151,0.23,0.053
ldw_b,1,0.933,0.21,0.058
ldw_b,2,0.933,0.227,0.056
ldw_b,4,0.933,0.282,0.063
ldw_b,8,0.933,0.25,0.058
