cell,tag,env,dcap,n_units,regions,precision,recall,med_span_kb,max_span_Mb,widest_q_precision,pct_over_1Mb,n_qtn
V0.5_c2,nobgs,2,30000,75808,194,0.0257731958762887,0.157894736842105,790.216,18.426057,0.0512820512820513,40.5128205128205,38
V0.5_c2,nobgs,2,1e+05,73046,102,0.0392156862745098,0.105263157894737,4851.3915,28.552914,0.0476190476190476,70.1923076923077,38
V0.5_c2,nobgs,2,3e+05,71750,40,0.1,0.105263157894737,11337.645,26.526154,0.125,77.5,38
V0.5_c2,nobgs,3,10000,77114,104,0.0769230769230769,0.228571428571429,790.157,24.562897,0.136363636363636,41.1214953271028,35
V0.5_c2,nobgs,3,30000,75616,100,0.08,0.228571428571429,1137.8915,24.562897,0.142857142857143,54.9019607843137,35
V0.5_c2,nobgs,3,1e+05,72600,61,0.147540983606557,0.285714285714286,9079.367,25.21614,0.230769230769231,87.0967741935484,35
V0.5_c2,nobgs,3,3e+05,71427,33,0.242424242424242,0.285714285714286,16534.381,28.087725,0.285714285714286,100,35
V0.5_c2,nobgs,4,10000,78100,62,0.129032258064516,0.216216216216216,1011.427,24.655719,0.0769230769230769,53.8461538461539,37
V0.5_c2,nobgs,4,30000,76540,40,0.075,0.0810810810810811,1355.078,24.655719,0,72.093023255814,37
V0.5_c2,nobgs,4,1e+05,73546,11,0.181818181818182,0.0540540540540541,1205.363,17.502187,0,63.6363636363636,37
V0.5_c2,nobgs,4,3e+05,72415,3,0,0,5530.661,28.228497,0,66.6666666666667,37
V0.5_c2,bgs,1,10000,66799,1,0,0,4.751,0.004751,0,0,33
V0.5_c2,bgs,1,30000,64219,1,0,0,4.751,0.004751,0,0,33
V0.5_c2,bgs,1,1e+05,60984,1,0,0,6210.313,6.210313,0,100,33
V0.5_c2,bgs,1,3e+05,59685,1,0,0,9383.401,9.383401,0,100,33
V0.5_c2,bgs,2,10000,66394,150,0.0733333333333333,0.314285714285714,915.885,15.906657,0.0967741935483871,45.0980392156863,35
V0.5_c2,bgs,2,30000,63887,120,0.0916666666666667,0.314285714285714,1524.939,20.285872,0.04,61.7886178861789,35
V0.5_c2,bgs,2,1e+05,60739,63,0.126984126984127,0.285714285714286,10631.636,26.944263,0.0769230769230769,86.1538461538462,35
V0.5_c2,bgs,2,3e+05,59545,32,0.21875,0.257142857142857,16281.285,31.352656,0.285714285714286,90.9090909090909,35
V0.5_c2,bgs,3,10000,65766,151,0.0463576158940397,0.184210526315789,874.2285,23.299336,0.032258064516129,45.3947368421053,38
V0.5_c2,bgs,3,30000,63192,123,0.0569105691056911,0.184210526315789,1390.4945,23.299336,0.04,62.9032258064516,38
V0.5_c2,bgs,3,1e+05,59940,66,0.0909090909090909,0.157894736842105,7440.598,27.316195,0.0714285714285714,80.3030303030303,38
V0.5_c2,bgs,3,3e+05,58738,35,0.171428571428571,0.157894736842105,12306.894,31.161094,0.428571428571429,88.5714285714286,38
V0.5_c2,bgs,4,10000,66992,3,0,0,541.503,0.923503,0,0,37
V0.5_c2,bgs,4,30000,64267,3,0,0,541.503,0.923503,0,0,37
