method,l_min,gif,PR_AUC,SE
chain,1,1.041,0.226,0.056
chain,2,1.041,0.243,0.052
chain,4,1.041,0.271,0.061
chain,8,1.041,0.247,0.06
chain_centred,1,1.044,0.204,0.056
chain_centred,2,1.044,0.212,0.051
chain_centred,4,1.044,0.232,0.059
chain_centred,8,1.044,0.216,0.057
ldw_008,1,1.151,0.2,0.054
ldw_008,2,1.151,0.211,0.05
ldw_008,4,1.151,0.246,0.055
ldw_008,8,1.151,0.232,0.054
ldw_b,1,0.933,0.211,0.059
ldw_b,2,0.933,0.231,0.057
ldw_b,4,0.933,0.282,0.063
ldw_b,8,0.933,0.256,0.058
