l_min,PR_AUC,method,env,gif
1,0.110207514072018,chain,1,1.04956975859462
2,0.167221304885374,chain,1,1.04956975859462
4,0.175210437710438,chain,1,1.04956975859462
8,0.191477272727273,chain,1,1.04956975859462
1,0.23543643420455,chain,2,1.09276526700009
2,0.317990703253861,chain,2,1.09276526700009
4,0.37035002035002,chain,2,1.09276526700009
8,0.39273088023088,chain,2,1.09276526700009
1,0.556127463867402,chain,3,1.02442120055515
2,0.466088315660663,chain,3,1.02442120055515
4,0.494814494425221,chain,3,1.02442120055515
8,0.483128168878676,chain,3,1.02442120055515
1,0.403198025026383,chain,4,1.0741143874217
2,0.40719944543474,chain,4,1.0741143874217
4,0.545173902894491,chain,4,1.0741143874217
8,0.483665458937198,chain,4,1.0741143874217
1,0.226606726606727,chain,5,1.09395636658666
2,0.285353535353535,chain,5,1.09395636658666
4,0.295454545454545,chain,5,1.09395636658666
8,0.0909090909090909,chain,5,1.09395636658666
1,0.00142450142450142,chain,6,1.04632569698831
2,0.00384615384615385,chain,6,1.04632569698831
4,0.00961538461538462,chain,6,1.04632569698831
8,0.0192307692307692,chain,6,1.04632569698831
1,0.205094422485727,chain,7,1.01905876312082
2,0.135185185185185,chain,7,1.01905876312082
4,0.13037037037037,chain,7,1.01905876312082
8,0.118293650793651,chain,7,1.01905876312082
1,0.2239154209426,chain,8,1.01885473703741
2,0.325399119488001,chain,8,1.01885473703741
4,0.322914555893279,chain,8,1.01885473703741
8,0.332602339181287,chain,8,1.01885473703741
1,,chain,9,0.952557127931637
2,,chain,9,0.952557127931637
4,,chain,9,0.952557127931637
8,,chain,9,0.952557127931637
1,0.067973074708826,chain,10,1.03379195522507
2,0.0792054099746408,chain,10,1.03379195522507
4,0.0980311355311355,chain,10,1.03379195522507
8,0.108974358974359,chain,10,1.03379195522507
1,0.0987248671991319,chain_centred,1,1.05135567892029
2,0.139756944444444,chain_centred,1,1.05135567892029
4,0.193719073324336,chain_centred,1,1.05135567892029
8,0.185866013071895,chain_centred,1,1.05135567892029
1,0.215677655677656,chain_centred,2,1.08565371138168
2,0.305270483556562,chain_centred,2,1.08565371138168
4,0.376139601139601,chain_centred,2,1.08565371138168
8,0.398412698412698,chain_centred,2,1.08565371138168
1,0.551233364831877,chain_centred,3,1.00992787289339
2,0.460319582378406,chain_centred,3,1.00992787289339
4,0.465653103346602,chain_centred,3,1.00992787289339
8,0.459771600948072,chain_centred,3,1.00992787289339
1,0.39288507191733,chain_centred,4,1.0737004654267
2,0.409724697959992,chain_centred,4,1.0737004654267
4,0.537419892199304,chain_centred,4,1.0737004654267
8,0.487581168831169,chain_centred,4,1.0737004654267
1,0.182547399124939,chain_centred,5,1.10826097547439
2,0.279220779220779,chain_centred,5,1.10826097547439
4,0.166666666666667,chain_centred,5,1.10826097547439
8,0.0909090909090909,chain_centred,5,1.10826097547439
1,0.0013262599469496,chain_centred,6,1.0539853202117
2,0.00320512820512821,chain_centred,6,1.0539853202117
4,0.0054945054945055,chain_centred,6,1.0539853202117
8,0.0128205128205128,chain_centred,6,1.0539853202117
1,0.271248760622982,chain_centred,7,1.01628372574391
2,0.169707508471553,chain_centred,7,1.01628372574391
4,0.150263157894737,chain_centred,7,1.01628372574391
8,0.122738095238095,chain_centred,7,1.01628372574391
1,0.261704612879384,chain_centred,8,1.0438231019126
2,0.28045975629309,chain_centred,8,1.0438231019126
4,0.32911036036036,chain_centred,8,1.0438231019126
8,0.29229797979798,chain_centred,8,1.0438231019126
1,0.0010752688172043,chain_centred,9,0.968665573087054
2,0.00185185185185185,chain_centred,9,0.968665573087054
4,0,chain_centred,9,0.968665573087054
8,0,chain_centred,9,0.968665573087054
1,0.06232741617357,chain_centred,10,1.02952515422447
2,0.0746782039268623,chain_centred,10,1.02952515422447
4,0.0955128205128205,chain_centred,10,1.02952515422447
8,0.107692307692308,chain_centred,10,1.02952515422447
1,0.111028116531165,ldw_008,1,1.16590187915923
2,0.162112602088928,ldw_008,1,1.16590187915923
4,0.242191500256016,ldw_008,1,1.16590187915923
8,0.184232026143791,ldw_008,1,1.16590187915923
1,0.243313940961,ldw_008,2,1.25119109715502
2,0.320944845774567,ldw_008,2,1.25119109715502
4,0.366524216524217,ldw_008,2,1.25119109715502
8,0.38042328042328,ldw_008,2,1.25119109715502
1,0.564733468837142,ldw_008,3,1.13660048160205
2,0.493519189571766,ldw_008,3,1.13660048160205
4,0.526151475230882,ldw_008,3,1.13660048160205
8,0.55452847805789,ldw_008,3,1.13660048160205
1,0.244927556605188,ldw_008,4,1.20680195165931
2,0.274183430948137,ldw_008,4,1.20680195165931
4,0.361592487373737,ldw_008,4,1.20680195165931
8,0.399038461538462,ldw_008,4,1.20680195165931
1,0.321063432150422,ldw_008,5,1.19026191972946
2,0.362964320625611,ldw_008,5,1.19026191972946
4,0.381313131313131,ldw_008,5,1.19026191972946
8,0.21969696969697,ldw_008,5,1.19026191972946
1,0.00641025641025641,ldw_008,6,1.19912799660183
2,0.0128205128205128,ldw_008,6,1.19912799660183
4,0.0128205128205128,ldw_008,6,1.19912799660183
8,0.0769230769230769,ldw_008,6,1.19912799660183
1,0.191302832244009,ldw_008,7,1.08557148022776
2,0.146337772397094,ldw_008,7,1.08557148022776
4,0.158250360750361,ldw_008,7,1.08557148022776
8,0.1175,ldw_008,7,1.08557148022776
1,0.261925616919355,ldw_008,8,1.13843558442677
2,0.255314437428448,ldw_008,8,1.13843558442677
4,0.312543515751363,ldw_008,8,1.13843558442677
8,0.267182817182817,ldw_008,8,1.13843558442677
1,0.00101010101010101,ldw_008,9,1.01929648935612
2,0.00175438596491228,ldw_008,9,1.01929648935612
4,0,ldw_008,9,1.01929648935612
8,0,ldw_008,9,1.01929648935612
1,0.0517539405123247,ldw_008,10,1.11539667613097
2,0.0790116795202806,ldw_008,10,1.11539667613097
4,0.0948481625900981,ldw_008,10,1.11539667613097
8,0.123260073260073,ldw_008,10,1.11539667613097
1,0.0439540632242745,ldw_b,1,0.931951033623896
2,0.0928551976346094,ldw_b,1,0.931951033623896
4,0.179166666666667,ldw_b,1,0.931951033623896
8,0.172916666666667,ldw_b,1,0.931951033623896
1,0.202938766222172,ldw_b,2,0.963209165724977
2,0.279555944055944,ldw_b,2,0.963209165724977
4,0.382184990934991,ldw_b,2,0.963209165724977
