method,l_min,gif,PR_AUC,SE
chain,1,1.067,0.304,0.078
chain,2,1.067,0.323,0.05
chain,4,1.067,0.378,0.063
chain,8,1.067,0.333,0.083
ldw_008,1,1.19,0.298,0.074
ldw_008,2,1.19,0.317,0.056
ldw_008,4,1.19,0.377,0.045
ldw_008,8,1.19,0.343,0.067
ldw_b,1,0.944,0.285,0.084
ldw_b,2,0.944,0.32,0.065
ldw_b,4,0.944,0.389,0.062
ldw_b,8,0.944,0.365,0.06
