tau,l_min,env,basis,n_obs,n_sig,n,hit
0.15,20,2,env_orth,13,13,13,9
0.2,2,2,env_orth,96,96,96,10
0.2,3,2,env_orth,62,62,62,10
0.2,5,2,env_orth,32,32,32,10
0.2,10,2,env_orth,19,19,19,10
0.2,20,2,env_orth,12,12,12,9
0.25,2,2,env_orth,88,88,88,10
0.25,3,2,env_orth,57,57,57,10
0.25,5,2,env_orth,33,33,33,10
0.25,10,2,env_orth,18,18,18,10
0.25,20,2,env_orth,12,12,12,9
0.3,2,2,env_orth,82,82,82,10
0.3,3,2,env_orth,54,54,54,10
0.3,5,2,env_orth,30,30,30,10
0.3,10,2,env_orth,17,17,17,10
0.3,20,2,env_orth,11,11,11,9
0.05,2,2,genetic,130,130,130,10
0.05,3,2,genetic,90,90,90,10
0.05,5,2,genetic,50,50,50,10
0.05,10,2,genetic,23,23,23,10
0.05,20,2,genetic,13,13,13,10
0.1,2,2,genetic,114,114,114,10
0.1,3,2,genetic,75,75,75,10
0.1,5,2,genetic,38,38,38,10
0.1,10,2,genetic,22,22,22,10
0.1,20,2,genetic,14,14,14,9
0.15,2,2,genetic,104,104,104,10
0.15,3,2,genetic,66,66,66,10
0.15,5,2,genetic,33,33,33,10
0.15,10,2,genetic,20,20,20,10
0.15,20,2,genetic,13,13,13,9
0.2,2,2,genetic,96,96,96,10
0.2,3,2,genetic,62,62,62,10
0.2,5,2,genetic,32,32,32,10
0.2,10,2,genetic,19,19,19,10
0.2,20,2,genetic,12,12,12,9
0.25,2,2,genetic,88,88,88,10
0.25,3,2,genetic,57,57,57,10
0.25,5,2,genetic,33,33,33,10
0.25,10,2,genetic,18,18,18,10
0.25,20,2,genetic,12,12,12,9
0.3,2,2,genetic,82,82,82,10
0.3,3,2,genetic,54,54,54,10
0.3,5,2,genetic,30,30,30,10
0.3,10,2,genetic,17,17,17,10
0.3,20,2,genetic,11,11,11,9
0.05,2,3,env_orth,41,41,41,10
0.05,3,3,env_orth,30,30,30,10
0.05,5,3,env_orth,18,18,18,10
0.05,10,3,env_orth,13,13,13,9
0.05,20,3,env_orth,10,10,10,8
0.1,2,3,env_orth,34,34,34,10
0.1,3,3,env_orth,23,23,23,10
0.1,5,3,env_orth,16,16,16,10
0.1,10,3,env_orth,12,12,12,9
0.1,20,3,env_orth,10,10,10,8
0.15,2,3,env_orth,31,31,31,10
0.15,3,3,env_orth,23,23,23,10
0.15,5,3,env_orth,15,15,15,10
0.15,10,3,env_orth,10,10,10,9
0.15,20,3,env_orth,9,9,9,8
0.2,2,3,env_orth,30,30,30,9
0.2,3,3,env_orth,22,22,22,9
0.2,5,3,env_orth,14,14,14,9
0.2,10,3,env_orth,9,9,9,8
0.2,20,3,env_orth,8,8,8,7
0.25,2,3,env_orth,33,33,33,9
0.25,3,3,env_orth,24,24,24,9
0.25,5,3,env_orth,15,15,15,9
0.25,10,3,env_orth,9,9,9,7
0.25,20,3,env_orth,7,7,7,6
0.3,2,3,env_orth,32,32,32,9
0.3,3,3,env_orth,22,22,22,9
0.3,5,3,env_orth,13,13,13,8
0.3,10,3,env_orth,9,9,9,7
0.3,20,3,env_orth,6,6,6,5
0.05,2,3,genetic,41,41,41,10
0.05,3,3,genetic,30,30,30,10
0.05,5,3,genetic,18,18,18,10
0.05,10,3,genetic,13,13,13,9
0.05,20,3,genetic,10,10,10,8
0.1,2,3,genetic,34,34,34,10
0.1,3,3,genetic,23,23,23,10
0.1,5,3,genetic,16,16,16,10
0.1,10,3,genetic,12,12,12,9
0.1,20,3,genetic,10,10,10,8
0.15,2,3,genetic,31,31,31,10
0.15,3,3,genetic,23,23,23,10
0.15,5,3,genetic,15,15,15,10
0.15,10,3,genetic,10,10,10,9
0.15,20,3,genetic,9,9,9,8
0.2,2,3,genetic,30,30,30,9
0.2,3,3,genetic,22,22,22,9
0.2,5,3,genetic,14,14,14,9
0.2,10,3,genetic,9,9,9,8
0.2,20,3,genetic,8,8,8,7
0.25,2,3,genetic,33,33,33,9
0.25,3,3,genetic,24,24,24,9
0.25,5,3,genetic,15,15,15,9
0.25,10,3,genetic,9,9,9,7
0.25,20,3,genetic,7,7,7,6
0.3,2,3,genetic,32,32,32,9
0.3,3,3,genetic,22,22,22,9
0.3,5,3,genetic,13,13,13,8
0.3,10,3,genetic,9,9,9,7
0.3,20,3,genetic,6,6,6,5
0.05,2,4,env_orth,37,37,37,8
0.05,3,4,env_orth,25,25,25,7
0.05,5,4,env_orth,13,13,13,7
0.05,10,4,env_orth,10,10,10,7
0.05,20,4,env_orth,8,8,8,6
0.1,2,4,env_orth,33,33,33,7
0.1,3,4,env_orth,23,23,23,7
0.1,5,4,env_orth,14,14,14,7
0.1,10,4,env_orth,9,9,9,7
0.1,20,4,env_orth,8,8,8,6
0.15,2,4,env_orth,26,26,26,7
0.15,3,4,env_orth,19,19,19,7
0.15,5,4,env_orth,13,13,13,7
0.15,10,4,env_orth,9,9,9,7
0.15,20,4,env_orth,8,8,8,6
0.2,2,4,env_orth,25,25,25,7
0.2,3,4,env_orth,19,19,19,7
0.2,5,4,env_orth,12,12,12,7
0.2,10,4,env_orth,9,9,9,7
0.2,20,4,env_orth,8,8,8,6
0.25,2,4,env_orth,21,21,21,7
0.25,3,4,env_orth,16,16,16,7
0.25,5,4,env_orth,11,11,11,7
0.25,10,4,env_orth,9,9,9,7
0.25,20,4,env_orth,8,8,8,6
0.3,2,4,env_orth,20,20,20,7
0.3,3,4,env_orth,16,16,16,7
0.3,5,4,env_orth,11,11,11,7
0.3,10,4,env_orth,8,8,8,6
0.3,20,4,env_orth,8,8,8,6
0.05,2,4,genetic,37,37,37,8
0.05,3,4,genetic,25,25,25,7
0.05,5,4,genetic,13,13,13,7
0.05,10,4,genetic,10,10,10,7
0.05,20,4,genetic,8,8,8,6
0.1,2,4,genetic,33,33,33,7
0.1,3,4,genetic,23,23,23,7
0.1,5,4,genetic,14,14,14,7
0.1,10,4,genetic,9,9,9,7
0.1,20,4,genetic,8,8,8,6
0.15,2,4,genetic,26,26,26,7
0.15,3,4,genetic,19,19,19,7
0.15,5,4,genetic,13,13,13,7
0.15,10,4,genetic,9,9,9,7
0.15,20,4,genetic,8,8,8,6
0.2,2,4,genetic,25,25,25,7
0.2,3,4,genetic,19,19,19,7
0.2,5,4,genetic,12,12,12,7
0.2,10,4,genetic,9,9,9,7
0.2,20,4,genetic,8,8,8,6
0.25,2,4,genetic,21,21,21,7
0.25,3,4,genetic,16,16,16,7
0.25,5,4,genetic,11,11,11,7
0.25,10,4,genetic,9,9,9,7
0.25,20,4,genetic,8,8,8,6
0.3,2,4,genetic,20,20,20,7
0.3,3,4,genetic,16,16,16,7
0.3,5,4,genetic,11,11,11,7
0.3,10,4,genetic,8,8,8,6
0.3,20,4,genetic,8,8,8,6
0.05,2,5,env_orth,1,1,1,1
0.05,3,5,env_orth,0,0,0,0
0.05,5,5,env_orth,0,0,0,0
0.05,10,5,env_orth,0,0,0,0
0.05,20,5,env_orth,0,0,0,0
0.1,2,5,env_orth,1,1,1,1
0.1,3,5,env_orth,0,0,0,0
0.1,5,5,env_orth,0,0,0,0
0.1,10,5,env_orth,0,0,0,0
0.1,20,5,env_orth,0,0,0,0
0.15,2,5,env_orth,0,0,0,0
0.15,3,5,env_orth,0,0,0,0
0.15,5,5,env_orth,0,0,0,0
0.15,10,5,env_orth,0,0,0,0
0.15,20,5,env_orth,0,0,0,0
0.2,2,5,env_orth,0,0,0,0
0.2,3,5,env_orth,0,0,0,0
0.2,5,5,env_orth,0,0,0,0
0.2,10,5,env_orth,0,0,0,0
0.2,20,5,env_orth,0,0,0,0
0.25,2,5,env_orth,0,0,0,0
0.25,3,5,env_orth,0,0,0,0
0.25,5,5,env_orth,0,0,0,0
0.25,10,5,env_orth,0,0,0,0
0.25,20,5,env_orth,0,0,0,0
0.3,2,5,env_orth,0,0,0,0
0.3,3,5,env_orth,0,0,0,0
0.3,5,5,env_orth,0,0,0,0
0.3,10,5,env_orth,0,0,0,0
0.3,20,5,env_orth,0,0,0,0
0.05,2,5,genetic,1,1,1,1
0.05,3,5,genetic,0,0,0,0
0.05,5,5,genetic,0,0,0,0
0.05,10,5,genetic,0,0,0,0
0.05,20,5,genetic,0,0,0,0
0.1,2,5,genetic,1,1,1,1
0.1,3,5,genetic,0,0,0,0
0.1,5,5,genetic,0,0,0,0
0.1,10,5,genetic,0,0,0,0
0.1,20,5,genetic,0,0,0,0
0.15,2,5,genetic,0,0,0,0
0.15,3,5,genetic,0,0,0,0
0.15,5,5,genetic,0,0,0,0
0.15,10,5,genetic,0,0,0,0
0.15,20,5,genetic,0,0,0,0
0.2,2,5,genetic,0,0,0,0
0.2,3,5,genetic,0,0,0,0
0.2,5,5,genetic,0,0,0,0
0.2,10,5,genetic,0,0,0,0
0.2,20,5,genetic,0,0,0,0
0.25,2,5,genetic,0,0,0,0
0.25,3,5,genetic,0,0,0,0
0.25,5,5,genetic,0,0,0,0
0.25,10,5,genetic,0,0,0,0
0.25,20,5,genetic,0,0,0,0
0.3,2,5,genetic,0,0,0,0
0.3,3,5,genetic,0,0,0,0
0.3,5,5,genetic,0,0,0,0
0.3,10,5,genetic,0,0,0,0
0.3,20,5,genetic,0,0,0,0
0.05,2,6,env_orth,14,14,14,2
0.05,3,6,env_orth,8,8,8,2
0.05,5,6,env_orth,6,6,6,2
0.05,10,6,env_orth,3,3,3,2
0.05,20,6,env_orth,2,2,2,2
0.1,2,6,env_orth,11,11,11,1
0.1,3,6,env_orth,8,8,8,1
0.1,5,6,env_orth,5,5,5,1
0.1,10,6,env_orth,2,2,2,1
0.1,20,6,env_orth,1,1,1,1
0.15,2,6,env_orth,11,11,11,1
0.15,3,6,env_orth,8,8,8,1
0.15,5,6,env_orth,4,4,4,1
0.15,10,6,env_orth,2,2,2,1
0.15,20,6,env_orth,1,1,1,1
0.2,2,6,env_orth,10,10,10,1
0.2,3,6,env_orth,7,7,7,1
0.2,5,6,env_orth,3,3,3,1
0.2,10,6,env_orth,1,1,1,1
0.2,20,6,env_orth,1,1,1,1
0.25,2,6,env_orth,9,9,9,1
0.25,3,6,env_orth,6,6,6,1
0.25,5,6,env_orth,3,3,3,1
0.25,10,6,env_orth,1,1,1,1
0.25,20,6,env_orth,1,1,1,1
