tag	cell	rep	env	status	seconds
nobgs	V0.5_c1	1	6	OK	98
nobgs	V0.5_c1	1	7	OK	80
nobgs	V0.5_c1	1	8	OK	94
nobgs	V0.5_c1	1	9	OK	50
nobgs	V0.5_c1	2	1	OK	15
nobgs	V0.5_c1	2	10	OK	324
nobgs	V0.5_c1	2	2	OK	30
nobgs	V0.5_c1	2	3	OK	74
nobgs	V0.5_c1	2	4	OK	396
nobgs	V0.5_c1	2	5	OK	393
nobgs	V0.5_c1	2	6	OK	388
nobgs	V0.5_c1	2	7	OK	396
nobgs	V0.5_c1	2	8	OK	377
nobgs	V0.5_c1	2	9	OK	371
nobgs	V0.5_c1	3	1	OK	17
nobgs	V0.5_c1	3	10	OK	16
nobgs	V0.5_c1	3	2	OK	16
nobgs	V0.5_c1	3	3	OK	16
nobgs	V0.5_c1	3	4	OK	16
nobgs	V0.5_c1	3	5	OK	16
nobgs	V0.5_c1	3	6	OK	16
nobgs	V0.5_c1	3	7	OK	16
nobgs	V0.5_c1	3	8	OK	16
nobgs	V0.5_c1	3	9	OK	16
nobgs	V0.5_c1	4	1	OK	15
nobgs	V0.5_c1	4	10	OK	15
nobgs	V0.5_c1	4	2	OK	15
nobgs	V0.5_c1	4	3	OK	16
nobgs	V0.5_c1	4	4	OK	16
nobgs	V0.5_c1	4	5	OK	16
nobgs	V0.5_c1	4	6	OK	15
nobgs	V0.5_c1	4	7	OK	15
nobgs	V0.5_c1	4	8	OK	14
nobgs	V0.5_c1	4	9	OK	15
nobgs	V0.5_c1	5	1	OK	15
nobgs	V0.5_c1	5	10	OK	16
nobgs	V0.5_c1	5	2	OK	16
nobgs	V0.5_c1	5	3	OK	16
nobgs	V0.5_c1	5	4	OK	16
nobgs	V0.5_c1	5	5	OK	16
nobgs	V0.5_c1	5	6	OK	16
nobgs	V0.5_c1	5	7	OK	16
nobgs	V0.5_c1	5	8	OK	16
nobgs	V0.5_c1	5	9	OK	16
nobgs	V0.5_c1	6	1	OK	16
nobgs	V0.5_c1	6	10	OK	15
nobgs	V0.5_c1	6	2	OK	16
nobgs	V0.5_c1	6	3	OK	16
nobgs	V0.5_c1	6	4	OK	16
nobgs	V0.5_c1	6	5	OK	16
nobgs	V0.5_c1	6	6	OK	16
nobgs	V0.5_c1	6	7	OK	16
nobgs	V0.5_c1	6	8	OK	15
nobgs	V0.5_c1	6	9	OK	15
nobgs	V0.5_c1	7	1	OK	15
nobgs	V0.5_c1	7	10	OK	16
nobgs	V0.5_c1	7	2	OK	15
nobgs	V0.5_c1	7	3	OK	15
nobgs	V0.5_c1	7	4	OK	16
nobgs	V0.5_c1	7	5	OK	16
nobgs	V0.5_c1	7	6	OK	16
nobgs	V0.5_c1	7	7	OK	16
nobgs	V0.5_c1	7	8	OK	16
nobgs	V0.5_c1	7	9	OK	16
nobgs	V0.5_c1	8	1	OK	16
nobgs	V0.5_c1	8	10	OK	15
nobgs	V0.5_c1	8	2	OK	16
nobgs	V0.5_c1	8	3	OK	16
nobgs	V0.5_c1	8	4	OK	16
nobgs	V0.5_c1	8	5	OK	16
nobgs	V0.5_c1	8	6	OK	16
nobgs	V0.5_c1	8	7	OK	15
nobgs	V0.5_c1	8	8	OK	16
nobgs	V0.5_c1	8	9	OK	16
nobgs	V0.5_c1	9	1	OK	15
nobgs	V0.5_c1	9	10	OK	16
nobgs	V0.5_c1	9	2	OK	16
nobgs	V0.5_c1	9	3	OK	16
nobgs	V0.5_c1	9	4	OK	16
