universe,clusters,markers,pct_cl_ge2,pct_cl_ge5,pct_cl_ge10,pct_mk_ge2,pct_mk_ge5,median,q90,q95,q99
all,677361,2323582,47.7188677824675,14.873457432595,5.68249426819672,84.7592208925702,59.9499393608661,1,6,10,34
flagged_only,81930,585640,53.3565238618333,24.479433662883,13.3821554985964,93.474660200806,82.8176012567448,2,13,28,102
unflagged_only,595431,1737942,46.9431386676206,13.5516961663064,4.62303776592082,81.8223508034215,52.2441485389041,1,6,9,24
