CELL,TAG,chr,flagged,gaps,med_gap,max_gap,pct_over_1e5,pct_over_5e5,d_derived_kb,pct_over_derived,chr_derived_over_max
V0.5_c1,nobgs,20,1629,1609,-34800.75,16896859,9.26041019266625,2.92106898694842,1058.54916280181,2.17526413921691,2
V0.5_c1,bgs,20,1586,1566,-88452,16735619,7.72669220945083,3.19284802043423,1051.00920590384,2.4904214559387,1
V0.5_c2,nobgs,20,24866,24846,1922,745797,0.969975046285116,0.0241487563390485,3429.5037416647,0,20
V0.5_c2,bgs,20,32318,32298,466.5,714965,0.597560220447087,0.0247693355625735,2979.89604771452,0,20
V1_c1.5,nobgs,20,16609,16589,2468.25,1041944,2.52577008861294,0.0602809090361083,892.722498672136,0.0180842727108325,18
V1_c1.5,bgs,20,24173,24153,544.5,1351618,0.95640293131288,0.0414027242992589,928.607870146896,0.00828054485985178,19
V2_c1,nobgs,20,1272,1252,-56650.5,17130418,10.9424920127796,3.83386581469649,957.893561885133,3.11501597444089,2
V2_c1,bgs,20,1372,1352,-72600.25,16587869,7.91420118343195,3.18047337278107,1121.51746721318,2.51479289940828,3
