w,n_win,pct_a_zero,pct_over_2.1Mb,pct_over_550kb,rho_all,rho_excl_a0,rho_cap_2.1Mb,rho_cap_550kb
5,164,2.4390243902439,42.0731707317073,82.3170731707317,0.690476190476191,0.690476190476191,0.65952380952381,0.75
10,363,3.85674931129477,32.5068870523416,71.900826446281,0.757546439628483,0.757546439628483,0.638861138861139,0.521428571428571
20,759,6.9828722002635,32.2793148880105,65.0856389986825,0.829612961924635,0.781588311000076,0.639016829403826,0.426540616246499
50,1920,12.6041666666667,33.125,56.9791666666667,0.829369783767374,0.742094277225044,0.556394200946791,0.242995422270388
