w,cap_kb,pct_at_ceiling,rho
5,250,97.5609756097561,0.577350269189626
5,550,82.3170731707317,0.577350269189626
5,1000,59.7560975609756,0.562884343099232
5,2100,42.0731707317073,0.695660590373403
5,3700,29.8780487804878,0.65873254924026
5,10000,20.7317073170732,0.674604369858225
5,30000,7.92682926829268,0.690476190476191
5,Inf,0,0.690476190476191
10,250,93.1129476584022,0.397359707119513
10,550,71.900826446281,0.650748016753448
10,1000,54.2699724517906,0.664857503704663
10,2100,32.5068870523416,0.76499068063003
10,3700,26.1707988980716,0.75412422870032
10,10000,17.6308539944904,0.766655029873468
10,30000,9.91735537190083,0.757546439628483
10,Inf,0,0.757546439628483
20,250,89.8550724637681,0.380603449764462
20,550,65.0856389986825,0.656130053254013
20,1000,45.7180500658762,0.754564871075584
20,2100,32.2793148880105,0.793264590818722
20,3700,26.2187088274045,0.802961074414665
20,10000,17.5230566534914,0.825655033597084
20,30000,10.8036890645586,0.82862285833713
20,Inf,0,0.829612961924635
50,250,81.6145833333333,0.4500827314338
50,550,56.9791666666667,0.681487714639914
50,1000,44.4791666666667,0.753573740640552
50,2100,33.125,0.804079931682872
50,3700,26.1979166666667,0.816542118055909
50,10000,18.8541666666667,0.82715874650599
50,30000,14.375,0.829297695692709
50,Inf,0,0.829369783767374
