cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,PR_AUC_C,PR_AUC_alpha
V0.5_c2_env7,nobgs,lfmm,1,35,370652,6832,3930,0.05859379820938,0.0298597872715072
V0.5_c2_env7,nobgs,lfmm,3,35,370652,6832,3930,0.0673003251562302,0.0365331738938944
V0.5_c2_env8,bgs,emmax,1,35,312485,6060,4015,0.0195504596777648,0.0195387689684639
V0.5_c2_env8,bgs,emmax,3,35,312485,6060,4015,0.0212162672030434,0.0289256513598463
V0.5_c2_env8,bgs,lfmm,1,35,312485,7395,4796,0.0193528399753537,0.0187167804057037
V0.5_c2_env8,bgs,lfmm,3,35,312485,7395,4796,0.0207906069535032,0.0247293316303712
V0.5_c2_env8,nobgs,emmax,1,33,367971,7586,3770,0.0329336884793123,0.0162304257120851
V0.5_c2_env8,nobgs,emmax,3,33,367971,7586,3770,0.0708178147999794,0.0132728843248242
V0.5_c2_env8,nobgs,lfmm,1,33,367971,14271,9445,0.06731981826789,0.0300677453170673
V0.5_c2_env8,nobgs,lfmm,3,33,367971,14271,9445,0.0661039421229585,0.0246395226662986
V0.5_c2_env9,bgs,emmax,1,41,312443,913,7,0.0454575828448197,0.0122551789004215
V0.5_c2_env9,bgs,emmax,3,41,312443,913,7,0.00101626016260163,0.00232976638066776
V0.5_c2_env9,bgs,lfmm,1,41,312443,5173,3662,0.0351777347384399,0.0180350370301471
V0.5_c2_env9,bgs,lfmm,3,41,312443,5173,3662,0.0350237687365889,0.0237539864440649
V0.5_c2_env9,nobgs,emmax,1,35,370766,320,65,0.0878703416149068,0.148177494587184
V0.5_c2_env9,nobgs,emmax,3,35,370766,320,65,0.0396103896103896,0.0741341542833462
V0.5_c2_env9,nobgs,lfmm,1,35,370766,2449,1167,0.0845972235025469,0.0444593360037554
V0.5_c2_env9,nobgs,lfmm,3,35,370766,2449,1167,0.0284423205902079,0.0551209739322187
V0.5_c2_env10,bgs,emmax,1,34,311707,2794,1655,0.0552274633821852,0.0419213002270097
V0.5_c2_env10,bgs,emmax,3,34,311707,2794,1655,0.0735386623114573,0.0693797360244221
V0.5_c2_env10,bgs,lfmm,1,34,311707,5542,3052,0.0243730211206202,0.034985263234026
V0.5_c2_env10,bgs,lfmm,3,34,311707,5542,3052,0.0332525995466605,0.0561103073567223
V0.5_c2_env10,nobgs,emmax,1,33,374870,1670,782,0.023012648012648,0.0203413211065213
V0.5_c2_env10,nobgs,emmax,3,33,374870,1670,782,0.0152433425160698,0.0340387142941405
V0.5_c2_env10,nobgs,lfmm,1,33,374870,6879,4614,0.0355906502066377,0.0205963587475166
V0.5_c2_env10,nobgs,lfmm,3,33,374870,6879,4614,0.0157929563009777,0.0202798311747495
V1_c1.5_env1,bgs,emmax,1,23,262870,1324,103,0.137142744202976,0.0661499911170624
V1_c1.5_env1,bgs,emmax,3,23,262870,1324,103,0.225149190110827,0.113684099978996
V1_c1.5_env1,bgs,lfmm,1,23,262870,706,165,0.159995101516841,0.103748915453581
V1_c1.5_env1,bgs,lfmm,3,23,262870,706,165,0.175724637681159,0.136682555238774
V1_c1.5_env1,nobgs,emmax,1,22,326745,1439,460,0.426595864319829,0.265974850293032
V1_c1.5_env1,nobgs,emmax,3,22,326745,1439,460,0.459726353192262,0.373388429752066
V1_c1.5_env1,nobgs,lfmm,1,22,326745,1149,399,0.35792994883904,0.279150288068435
V1_c1.5_env1,nobgs,lfmm,3,22,326745,1149,399,0.376172438672439,0.281161616161616
V1_c1.5_env2,bgs,emmax,1,25,265155,2032,541,0.169049622213747,0.0673231411439564
V1_c1.5_env2,bgs,emmax,3,25,265155,2032,541,0.164280563838439,0.187213055815168
V1_c1.5_env2,bgs,lfmm,1,25,265155,2655,1528,0.158327835135147,0.12552262570121
V1_c1.5_env2,bgs,lfmm,3,25,265155,2655,1528,0.233232656156038,0.208071579859522
V1_c1.5_env2,nobgs,emmax,1,29,331483,601,208,0.114184478705748,0.0312050648149395
V1_c1.5_env2,nobgs,emmax,3,29,331483,601,208,0.101749020447759,0.0537647993035173
V1_c1.5_env2,nobgs,lfmm,1,29,331483,2318,602,0.184481996662106,0.0667413112555753
V1_c1.5_env2,nobgs,lfmm,3,29,331483,2318,602,0.0974356833718531,0.0701579768884496
V1_c1.5_env3,bgs,emmax,1,27,262947,394,6,0.00219478737997257,0.00946293162875227
V1_c1.5_env3,bgs,emmax,3,27,262947,394,6,0.00123456790123457,0.00820624546114742
V1_c1.5_env3,bgs,lfmm,1,27,262947,854,290,0.033716982809392,0.014304531036836
V1_c1.5_env3,bgs,lfmm,3,27,262947,854,290,0.0110229276895944,0.0112531980494632
V1_c1.5_env3,nobgs,emmax,1,25,326022,508,92,0.0961353854180253,0.0630801033591731
V1_c1.5_env3,nobgs,emmax,3,25,326022,508,92,0.0713852813852814,0.112727272727273
V1_c1.5_env3,nobgs,lfmm,1,25,326022,1450,568,0.135074859929917,0.0980796873428452
V1_c1.5_env3,nobgs,lfmm,3,25,326022,1450,568,0.151469654528478,0.1451841191067
V1_c1.5_env4,bgs,emmax,1,23,264586,155,0,0.13768115942029,0.133275691699605
V1_c1.5_env4,bgs,emmax,3,23,264586,155,0,0.041304347826087,0.0211352657004831
V1_c1.5_env4,bgs,lfmm,1,23,264586,467,42,0.098925983436853,0.149894983818138
V1_c1.5_env4,bgs,lfmm,3,23,264586,467,42,0.0956521739130435,0.0356490167149354
V1_c1.5_env4,nobgs,emmax,1,27,327837,456,27,0.290741459458458,0.218098615332658
V1_c1.5_env4,nobgs,emmax,3,27,327837,456,27,0.272453703703704,0.200766283524904
V1_c1.5_env4,nobgs,lfmm,1,27,327837,174,33,0.195987654320988,0.16507024265645
V1_c1.5_env4,nobgs,lfmm,3,27,327837,174,33,0.165432098765432,0.125396825396825
V1_c1.5_env5,bgs,emmax,1,22,263214,673,12,0.0696920450441577,0.0266735882648751
V1_c1.5_env5,bgs,emmax,3,22,263214,673,12,0.0741341991341991,0.0612934264778797
V1_c1.5_env5,bgs,lfmm,1,22,263214,596,243,0.11686146481965,0.0514713114889138
V1_c1.5_env5,bgs,lfmm,3,22,263214,596,243,0.127596088122404,0.0795569329660239
V1_c1.5_env5,nobgs,emmax,1,23,328500,60,2,0.00271739130434783,0.0103024574669187
V1_c1.5_env5,nobgs,emmax,3,23,328500,60,2,0,0.00738119312436805
V1_c1.5_env5,nobgs,lfmm,1,23,328500,159,1,0.00479375696767001,0.00654710758680513
V1_c1.5_env5,nobgs,lfmm,3,23,328500,159,1,0.0031055900621118,0.00197628458498024
V1_c1.5_env6,bgs,emmax,1,20,264762,1148,550,0.023986900780379,0.0813430047324524
V1_c1.5_env6,bgs,emmax,3,20,264762,1148,550,0.0278465747573388,0.077715159487964
V1_c1.5_env6,bgs,lfmm,1,20,264762,2837,1595,0.053220738389937,0.0782246728378294
V1_c1.5_env6,bgs,lfmm,3,20,264762,2837,1595,0.0578985039858812,0.0650101583050161
V1_c1.5_env6,nobgs,emmax,1,21,331362,1823,908,0.137160191639352,0.0905931830081139
V1_c1.5_env6,nobgs,emmax,3,21,331362,1823,908,0.180024450857784,0.108061798828349
V1_c1.5_env6,nobgs,lfmm,1,21,331362,5728,3146,0.127433217189315,0.0530483306487599
