set,n_peaks,n_regions,regions_hit,regions_hit_null,fold_region,p_region,bp_Mb,fold_bp,p_bp
c155.specific,36,136,9,4.813,1.87,0.0359820089955023,0.972,2.794,0.0254872563718141
c155.sensitive,83,136,24,14.374,1.67,0.00499750124937531,4.599,1.504,0.103448275862069
c150.specific,193,136,28,21.048,1.33,0.0409795102448776,4.792,1.411,0.0664667666166917
c150.sensitive,189,136,47,41.042,1.145,0.111444277861069,13.019,1.238,0.107946026986507
