cohort,n_snp,top,p_thresh,in_region_rate,null_rate,fold,pval
c151_nEur,1697315,0.001,9.38174e-05,0.00319193939160866,0.00298664109291354,1.06873885823852,0.277445109780439
c151_nEur,1697315,0.01,0.00562905,0.0624671512261406,0.0134567669252141,4.64206235965155,0.00399201596806387
c155_global,2164396,0.001,1.03710315e-09,0.0101410236095706,0.0016100402437088,6.29861498754236,0.00798403193612774
c155_global,2164396,0.01,1.2466405e-05,0.0324631595626684,0.0101745734664237,3.19061626217524,0.0239520958083832
c150_pacNW,2842357,0.001,2.03336e-09,0.00147092520456209,0.00206077946637203,0.713771283422008,0.393213572854291
c150_pacNW,2842357,0.01,1.81732e-07,0.0227439037911434,0.0155058345425686,1.46679649706721,0.215568862275449
