set,n_peaks,peak_Mb,genome_pct,n_regions,regions_hit,regions_hit_null,fold_region,p_region,bp_Mb,bp_pct,bp_pct_null,fold_bp,p_bp
c155.specific,36,3.515335,0.924122124400095,40,4,2.9055,1.37669936327654,0.328335832083958,0.475579,2.2507196610558,0.907695562620994,2.47959751456402,0.0804597701149425
c155.sensitive,83,22.094855,5.80836373799711,40,13,7.0085,1.85489049011914,0.00649675162418791,3.066196,14.5110436370207,11.004381934366,1.31866048666519,0.234382808595702
c150.specific,193,24.961926,6.56206821945504,40,15,10.17,1.47492625368732,0.0294852573713143,3.172627,15.014737753552,11.6127969521752,1.29294758320385,0.183908045977012
c150.sensitive,189,82.681117,21.7354674561067,40,18,15.9775,1.12658425911438,0.294852573713143,9.125616,43.1877844699733,33.3870388459375,1.29354941207158,0.111944027986007
