cohort,top,in_region_rate,null_rate,fold,pval
c151_nEur,0.001,0.0405463540546354,0.00359913886194688,11.266,0.0259481037924152
c151_nEur,0.01,0.471714347171435,0.0138324899092353,34.102,0.00199600798403194
c155_global,0.001,0.0928590343366581,0.0027745330966296,33.468,0.00598802395209581
c155_global,0.01,0.277429605437373,0.0107111315922869,25.901,0.00399201596806387
c150_pacNW,0.001,0.0139822044670419,0.00126189066603283,11.08,0.0159680638722555
c150_pacNW,0.01,0.203831487198112,0.0116012369751397,17.57,0.00199600798403194
