tau,lmin,n_regions,n_hit,prop_hit,fold,recall,estimable,F1,fold_cap
0.05,1,472,20,0.0423728813559322,2.15007525263384,0.361111111111111,TRUE,0.0758459743290548,2.15007525263384
0.05,2,206,10,0.0485436893203884,1.56519017060573,0.222222222222222,TRUE,0.0796812749003985,1.56519017060573
0.05,3,136,9,0.0661764705882353,1.87032418952618,0.222222222222222,TRUE,0.101983002832861,1.87032418952618
0.05,4,106,9,0.0849056603773585,2.02862616927758,0.222222222222222,TRUE,0.122866894197952,2.02862616927758
0.05,5,91,8,0.0879120879120879,1.89058253574383,0.222222222222222,TRUE,0.125984251968504,1.89058253574383
0.05,6,70,7,0.1,1.89291508923743,0.194444444444444,TRUE,0.132075471698113,1.89291508923743
0.05,7,61,5,0.0819672131147541,1.46177459435755,0.138888888888889,TRUE,0.103092783505155,1.46177459435755
0.05,8,49,4,0.0816326530612245,1.28040973111396,0.111111111111111,TRUE,0.0941176470588235,1.28040973111396
0.05,9,44,4,0.0909090909090909,1.29512708434515,0.111111111111111,TRUE,0.1,1.29512708434515
0.05,10,40,4,0.1,1.37741046831956,0.111111111111111,TRUE,0.105263157894737,1.37741046831956
0.05,11,35,4,0.114285714285714,1.41894288754878,0.111111111111111,TRUE,0.112676056338028,1.41894288754878
0.05,12,33,4,0.121212121212121,1.45375249863711,0.111111111111111,TRUE,0.115942028985507,1.45375249863711
0.05,13,29,3,0.103448275862069,1.15052732502397,0.0833333333333333,TRUE,0.0923076923076923,1.15052732502397
0.05,14,24,3,0.125,1.2970168612192,0.0833333333333333,TRUE,0.1,1.2970168612192
0.05,15,22,3,0.136363636363636,1.35593220338983,0.0833333333333333,TRUE,0.103448275862069,1.35593220338983
0.1,1,424,18,0.0424528301886792,2.12114070233325,0.305555555555556,TRUE,0.0745481927710843,2.12114070233325
0.1,2,188,9,0.0478723404255319,1.70713201820941,0.222222222222222,TRUE,0.0787746170678337,1.70713201820941
0.1,3,133,9,0.0676691729323308,2.06209187764922,0.222222222222222,TRUE,0.103746397694524,2.06209187764922
0.1,4,98,8,0.0816326530612245,2.04368373994124,0.222222222222222,TRUE,0.119402985074627,2.04368373994124
0.1,5,81,7,0.0864197530864198,2.03399680371931,0.194444444444444,TRUE,0.11965811965812,2.03399680371931
0.1,6,68,7,0.102941176470588,2.08955223880597,0.194444444444444,TRUE,0.134615384615384,2.08955223880597
0.1,7,57,4,0.0701754385964912,1.29596630487607,0.111111111111111,TRUE,0.086021505376344,1.29596630487607
0.1,8,48,4,0.0833333333333333,1.39542996685854,0.111111111111111,TRUE,0.0952380952380952,1.39542996685854
0.1,9,44,4,0.0909090909090909,1.4505893019039,0.111111111111111,TRUE,0.1,1.4505893019039
0.1,10,37,4,0.108108108108108,1.53994225216554,0.111111111111111,TRUE,0.10958904109589,1.53994225216554
0.1,11,30,3,0.1,1.19736579525045,0.0833333333333333,TRUE,0.0909090909090909,1.19736579525045
