ldw,rho,floor,engine,n_test,flagged,regions,tp_reg,tp_qtn,n_qtn,n_qtn_legacy,prec,rec,cell,tag,env
0.0125,0.5,5,lfm,9576,15,14,9,12,15,12,0.642857142857143,0.8,V0.5_c1,bgs,4
0.0125,0.65,1,emx,82319,5,5,5,6,15,12,1,0.4,V0.5_c1,bgs,4
0.0125,0.65,1,lfm,82319,7,6,6,7,15,12,1,0.466666666666667,V0.5_c1,bgs,4
0.0125,0.65,2,emx,37798,6,6,6,7,15,12,1,0.466666666666667,V0.5_c1,bgs,4
0.0125,0.65,2,lfm,37798,7,6,6,7,15,12,1,0.466666666666667,V0.5_c1,bgs,4
0.0125,0.65,5,emx,9278,6,5,5,6,15,12,1,0.4,V0.5_c1,bgs,4
0.0125,0.65,5,lfm,9278,11,10,7,9,15,12,0.7,0.6,V0.5_c1,bgs,4
0.025,0.35,1,emx,85424,11,8,6,7,15,12,0.75,0.466666666666667,V0.5_c1,bgs,4
0.025,0.35,1,lfm,85424,17,11,8,10,15,12,0.727272727272727,0.666666666666667,V0.5_c1,bgs,4
0.025,0.35,2,emx,40011,12,9,7,8,15,12,0.777777777777778,0.533333333333333,V0.5_c1,bgs,4
0.025,0.35,2,lfm,40011,20,15,10,13,15,12,0.666666666666667,0.866666666666667,V0.5_c1,bgs,4
0.025,0.35,5,emx,9978,11,9,7,9,15,12,0.777777777777778,0.6,V0.5_c1,bgs,4
0.025,0.35,5,lfm,9978,15,13,9,12,15,12,0.692307692307692,0.8,V0.5_c1,bgs,4
0.025,0.5,1,emx,85153,10,7,6,7,15,12,0.857142857142857,0.466666666666667,V0.5_c1,bgs,4
0.025,0.5,1,lfm,85153,15,10,8,10,15,12,0.8,0.666666666666667,V0.5_c1,bgs,4
0.025,0.5,2,emx,39779,10,7,6,7,15,12,0.857142857142857,0.466666666666667,V0.5_c1,bgs,4
0.025,0.5,2,lfm,39779,13,9,8,10,15,12,0.888888888888889,0.666666666666667,V0.5_c1,bgs,4
0.025,0.5,5,emx,9868,12,9,7,9,15,12,0.777777777777778,0.6,V0.5_c1,bgs,4
0.025,0.5,5,lfm,9868,15,12,8,10,15,12,0.666666666666667,0.666666666666667,V0.5_c1,bgs,4
0.025,0.65,1,emx,84888,10,7,6,7,15,12,0.857142857142857,0.466666666666667,V0.5_c1,bgs,4
0.025,0.65,1,lfm,84888,13,9,7,8,15,12,0.777777777777778,0.533333333333333,V0.5_c1,bgs,4
0.025,0.65,2,emx,39572,10,7,6,7,15,12,0.857142857142857,0.466666666666667,V0.5_c1,bgs,4
0.025,0.65,2,lfm,39572,12,9,8,10,15,12,0.888888888888889,0.666666666666667,V0.5_c1,bgs,4
0.025,0.65,5,emx,9734,11,9,7,9,15,12,0.777777777777778,0.6,V0.5_c1,bgs,4
0.025,0.65,5,lfm,9734,14,12,8,10,15,12,0.666666666666667,0.666666666666667,V0.5_c1,bgs,4
0.05,0.35,1,emx,85560,13,10,7,8,15,12,0.7,0.533333333333333,V0.5_c1,bgs,4
0.05,0.35,1,lfm,85560,19,13,8,9,15,12,0.615384615384615,0.6,V0.5_c1,bgs,4
0.05,0.35,2,emx,40142,14,11,8,9,15,12,0.727272727272727,0.6,V0.5_c1,bgs,4
0.05,0.35,2,lfm,40142,20,15,9,10,15,12,0.6,0.666666666666667,V0.5_c1,bgs,4
0.05,0.35,5,emx,10066,11,9,7,8,15,12,0.777777777777778,0.533333333333333,V0.5_c1,bgs,4
0.05,0.35,5,lfm,10066,15,13,9,11,15,12,0.692307692307692,0.733333333333333,V0.5_c1,bgs,4
0.05,0.5,1,emx,85495,13,10,7,8,15,12,0.7,0.533333333333333,V0.5_c1,bgs,4
0.05,0.5,1,lfm,85495,18,13,8,9,15,12,0.615384615384615,0.6,V0.5_c1,bgs,4
0.05,0.5,2,emx,40081,14,11,8,9,15,12,0.727272727272727,0.6,V0.5_c1,bgs,4
0.05,0.5,2,lfm,40081,19,15,9,10,15,12,0.6,0.666666666666667,V0.5_c1,bgs,4
0.05,0.5,5,emx,10022,10,9,7,8,15,12,0.777777777777778,0.533333333333333,V0.5_c1,bgs,4
0.05,0.5,5,lfm,10022,13,12,8,9,15,12,0.666666666666667,0.6,V0.5_c1,bgs,4
0.05,0.65,1,emx,85443,13,10,7,8,15,12,0.7,0.533333333333333,V0.5_c1,bgs,4
0.05,0.65,1,lfm,85443,18,13,8,9,15,12,0.615384615384615,0.6,V0.5_c1,bgs,4
0.05,0.65,2,emx,40035,14,11,8,9,15,12,0.727272727272727,0.6,V0.5_c1,bgs,4
0.05,0.65,2,lfm,40035,19,15,9,10,15,12,0.6,0.666666666666667,V0.5_c1,bgs,4
0.05,0.65,5,emx,9988,10,9,7,8,15,12,0.777777777777778,0.533333333333333,V0.5_c1,bgs,4
0.05,0.65,5,lfm,9988,13,12,8,9,15,12,0.666666666666667,0.6,V0.5_c1,bgs,4
0.0125,0.35,1,emx,83006,13,12,8,9,14,13,0.666666666666667,0.642857142857143,V0.5_c1,bgs,5
0.0125,0.35,1,lfm,83006,16,12,9,10,14,13,0.75,0.714285714285714,V0.5_c1,bgs,5
0.0125,0.35,2,emx,38863,16,15,10,11,14,13,0.666666666666667,0.785714285714286,V0.5_c1,bgs,5
0.0125,0.35,2,lfm,38863,19,15,11,12,14,13,0.733333333333333,0.857142857142857,V0.5_c1,bgs,5
0.0125,0.35,5,emx,9633,17,17,9,10,14,13,0.529411764705882,0.714285714285714,V0.5_c1,bgs,5
0.0125,0.35,5,lfm,9633,14,13,10,11,14,13,0.769230769230769,0.785714285714286,V0.5_c1,bgs,5
0.0125,0.5,1,emx,81909,10,10,8,9,14,13,0.8,0.642857142857143,V0.5_c1,bgs,5
0.0125,0.5,1,lfm,81909,13,10,9,10,14,13,0.9,0.714285714285714,V0.5_c1,bgs,5
0.0125,0.5,2,emx,38030,12,12,9,10,14,13,0.75,0.714285714285714,V0.5_c1,bgs,5
0.0125,0.5,2,lfm,38030,15,12,11,12,14,13,0.916666666666667,0.857142857142857,V0.5_c1,bgs,5
0.0125,0.5,5,emx,9401,16,16,9,10,14,13,0.5625,0.714285714285714,V0.5_c1,bgs,5
0.0125,0.5,5,lfm,9401,13,12,10,11,14,13,0.833333333333333,0.785714285714286,V0.5_c1,bgs,5
0.0125,0.65,1,emx,80645,9,9,7,8,14,13,0.777777777777778,0.571428571428571,V0.5_c1,bgs,5
0.0125,0.65,1,lfm,80645,10,9,9,10,14,13,1,0.714285714285714,V0.5_c1,bgs,5
0.0125,0.65,2,emx,37222,11,11,8,9,14,13,0.727272727272727,0.642857142857143,V0.5_c1,bgs,5
0.0125,0.65,2,lfm,37222,11,10,9,10,14,13,0.9,0.714285714285714,V0.5_c1,bgs,5
0.0125,0.65,5,emx,9106,16,16,10,11,14,13,0.625,0.785714285714286,V0.5_c1,bgs,5
0.0125,0.65,5,lfm,9106,14,13,11,12,14,13,0.846153846153846,0.857142857142857,V0.5_c1,bgs,5
0.025,0.35,1,emx,83306,15,14,8,9,14,13,0.571428571428571,0.642857142857143,V0.5_c1,bgs,5
0.025,0.35,1,lfm,83306,19,15,10,11,14,13,0.666666666666667,0.785714285714286,V0.5_c1,bgs,5
0.025,0.35,2,emx,39145,16,15,10,11,14,13,0.666666666666667,0.785714285714286,V0.5_c1,bgs,5
0.025,0.35,2,lfm,39145,20,16,11,12,14,13,0.6875,0.857142857142857,V0.5_c1,bgs,5
0.025,0.35,5,emx,9748,17,17,9,10,14,13,0.529411764705882,0.714285714285714,V0.5_c1,bgs,5
0.025,0.35,5,lfm,9748,17,15,10,11,14,13,0.666666666666667,0.785714285714286,V0.5_c1,bgs,5
0.025,0.5,1,emx,83084,12,12,8,9,14,13,0.666666666666667,0.642857142857143,V0.5_c1,bgs,5
0.025,0.5,1,lfm,83084,15,12,9,10,14,13,0.75,0.714285714285714,V0.5_c1,bgs,5
