ldw,rho,floor,engine,n_test,flagged,regions,tp_reg,tp_qtn,n_qtn,n_qtn_legacy,prec,rec,cell,tag,env
0.025,0.5,1,lfm,100958,7,6,6,6,19,17,1,0.315789473684211,V0.5_c1,nobgs,9
0.025,0.5,2,emx,46805,10,9,7,9,19,17,0.777777777777778,0.473684210526316,V0.5_c1,nobgs,9
0.025,0.5,2,lfm,46805,8,8,7,7,19,17,0.875,0.368421052631579,V0.5_c1,nobgs,9
0.025,0.5,5,emx,12497,7,6,5,7,19,17,0.833333333333333,0.368421052631579,V0.5_c1,nobgs,9
0.025,0.5,5,lfm,12497,5,5,5,5,19,17,1,0.263157894736842,V0.5_c1,nobgs,9
0.025,0.65,1,emx,100733,8,7,6,8,19,17,0.857142857142857,0.421052631578947,V0.5_c1,nobgs,9
0.025,0.65,1,lfm,100733,7,6,6,6,19,17,1,0.315789473684211,V0.5_c1,nobgs,9
0.025,0.65,2,emx,46649,10,9,7,9,19,17,0.777777777777778,0.473684210526316,V0.5_c1,nobgs,9
0.025,0.65,2,lfm,46649,8,8,7,7,19,17,0.875,0.368421052631579,V0.5_c1,nobgs,9
0.025,0.65,5,emx,12419,8,7,5,7,19,17,0.714285714285714,0.368421052631579,V0.5_c1,nobgs,9
0.025,0.65,5,lfm,12419,5,5,5,5,19,17,1,0.263157894736842,V0.5_c1,nobgs,9
0.05,0.35,1,emx,101366,10,9,6,8,19,17,0.666666666666667,0.421052631578947,V0.5_c1,nobgs,9
0.05,0.35,1,lfm,101366,7,6,6,6,19,17,1,0.315789473684211,V0.5_c1,nobgs,9
0.05,0.35,2,emx,47137,11,10,7,9,19,17,0.7,0.473684210526316,V0.5_c1,nobgs,9
0.05,0.35,2,lfm,47137,8,8,7,7,19,17,0.875,0.368421052631579,V0.5_c1,nobgs,9
0.05,0.35,5,emx,12694,8,7,5,7,19,17,0.714285714285714,0.368421052631579,V0.5_c1,nobgs,9
0.05,0.35,5,lfm,12694,5,5,5,5,19,17,1,0.263157894736842,V0.5_c1,nobgs,9
0.05,0.5,1,emx,101314,9,8,6,8,19,17,0.75,0.421052631578947,V0.5_c1,nobgs,9
0.05,0.5,1,lfm,101314,7,6,6,6,19,17,1,0.315789473684211,V0.5_c1,nobgs,9
0.05,0.5,2,emx,47096,10,9,7,9,19,17,0.777777777777778,0.473684210526316,V0.5_c1,nobgs,9
0.05,0.5,2,lfm,47096,8,8,7,7,19,17,0.875,0.368421052631579,V0.5_c1,nobgs,9
0.05,0.5,5,emx,12678,7,6,5,7,19,17,0.833333333333333,0.368421052631579,V0.5_c1,nobgs,9
0.05,0.5,5,lfm,12678,5,5,5,5,19,17,1,0.263157894736842,V0.5_c1,nobgs,9
0.05,0.65,1,emx,101253,8,7,6,8,19,17,0.857142857142857,0.421052631578947,V0.5_c1,nobgs,9
0.05,0.65,1,lfm,101253,7,6,6,6,19,17,1,0.315789473684211,V0.5_c1,nobgs,9
0.05,0.65,2,emx,47051,9,8,7,9,19,17,0.875,0.473684210526316,V0.5_c1,nobgs,9
0.05,0.65,2,lfm,47051,8,8,7,7,19,17,0.875,0.368421052631579,V0.5_c1,nobgs,9
0.05,0.65,5,emx,12650,7,6,5,7,19,17,0.833333333333333,0.368421052631579,V0.5_c1,nobgs,9
0.05,0.65,5,lfm,12650,5,5,5,5,19,17,1,0.263157894736842,V0.5_c1,nobgs,9
0.0125,0.35,1,emx,62106,1,1,0,0,33,32,0,0,V0.5_c2,bgs,1
0.0125,0.35,1,lfm,62106,50,50,8,9,33,32,0.16,0.272727272727273,V0.5_c2,bgs,1
0.0125,0.35,2,emx,31268,3,3,1,1,33,32,0.333333333333333,0.0303030303030303,V0.5_c2,bgs,1
0.0125,0.35,2,lfm,31268,63,62,9,10,33,32,0.145161290322581,0.303030303030303,V0.5_c2,bgs,1
0.0125,0.35,5,emx,13083,6,6,2,2,33,32,0.333333333333333,0.0606060606060606,V0.5_c2,bgs,1
0.0125,0.35,5,lfm,13083,81,80,11,12,33,32,0.1375,0.363636363636364,V0.5_c2,bgs,1
0.0125,0.5,1,emx,54336,1,1,0,0,33,32,0,0,V0.5_c2,bgs,1
0.0125,0.5,1,lfm,54336,41,41,5,5,33,32,0.121951219512195,0.151515151515152,V0.5_c2,bgs,1
0.0125,0.5,2,emx,26289,2,2,1,1,33,32,0.5,0.0303030303030303,V0.5_c2,bgs,1
0.0125,0.5,2,lfm,26289,60,58,10,11,33,32,0.172413793103448,0.333333333333333,V0.5_c2,bgs,1
0.0125,0.5,5,emx,11791,4,4,1,1,33,32,0.25,0.0303030303030303,V0.5_c2,bgs,1
0.0125,0.5,5,lfm,11791,76,74,11,12,33,32,0.148648648648649,0.363636363636364,V0.5_c2,bgs,1
0.0125,0.65,1,emx,44644,0,0,0,0,33,32,0,0,V0.5_c2,bgs,1
0.0125,0.65,1,lfm,44644,42,42,7,9,33,32,0.166666666666667,0.272727272727273,V0.5_c2,bgs,1
0.0125,0.65,2,emx,22239,4,4,1,1,33,32,0.25,0.0303030303030303,V0.5_c2,bgs,1
0.0125,0.65,2,lfm,22239,56,55,11,13,33,32,0.2,0.393939393939394,V0.5_c2,bgs,1
0.0125,0.65,5,emx,10611,4,4,1,1,33,32,0.25,0.0303030303030303,V0.5_c2,bgs,1
0.0125,0.65,5,lfm,10611,70,68,12,14,33,32,0.176470588235294,0.424242424242424,V0.5_c2,bgs,1
0.025,0.35,1,emx,64663,1,1,0,0,33,32,0,0,V0.5_c2,bgs,1
0.025,0.35,1,lfm,64663,73,71,8,9,33,32,0.112676056338028,0.272727272727273,V0.5_c2,bgs,1
0.025,0.35,2,emx,33461,1,1,0,0,33,32,0,0,V0.5_c2,bgs,1
0.025,0.35,2,lfm,33461,82,80,9,10,33,32,0.1125,0.303030303030303,V0.5_c2,bgs,1
0.025,0.35,5,emx,14149,7,6,2,2,33,32,0.333333333333333,0.0606060606060606,V0.5_c2,bgs,1
0.025,0.35,5,lfm,14149,100,98,11,12,33,32,0.112244897959184,0.363636363636364,V0.5_c2,bgs,1
0.025,0.5,1,emx,60984,1,1,0,0,33,32,0,0,V0.5_c2,bgs,1
0.025,0.5,1,lfm,60984,62,61,7,8,33,32,0.114754098360656,0.242424242424242,V0.5_c2,bgs,1
0.025,0.5,2,emx,31040,1,1,0,0,33,32,0,0,V0.5_c2,bgs,1
0.025,0.5,2,lfm,31040,78,76,10,11,33,32,0.131578947368421,0.333333333333333,V0.5_c2,bgs,1
0.025,0.5,5,emx,13449,7,6,2,2,33,32,0.333333333333333,0.0606060606060606,V0.5_c2,bgs,1
0.025,0.5,5,lfm,13449,93,90,11,12,33,32,0.122222222222222,0.363636363636364,V0.5_c2,bgs,1
0.025,0.65,1,emx,56465,0,0,0,0,33,32,0,0,V0.5_c2,bgs,1
0.025,0.65,1,lfm,56465,53,52,8,9,33,32,0.153846153846154,0.272727272727273,V0.5_c2,bgs,1
0.025,0.65,2,emx,29121,0,0,0,0,33,32,0,0,V0.5_c2,bgs,1
0.025,0.65,2,lfm,29121,71,68,11,12,33,32,0.161764705882353,0.363636363636364,V0.5_c2,bgs,1
0.025,0.65,5,emx,12760,8,7,2,2,33,32,0.285714285714286,0.0606060606060606,V0.5_c2,bgs,1
0.025,0.65,5,lfm,12760,88,85,12,13,33,32,0.141176470588235,0.393939393939394,V0.5_c2,bgs,1
0.05,0.35,1,emx,67553,2,2,0,0,33,32,0,0,V0.5_c2,bgs,1
0.05,0.35,1,lfm,67553,155,152,11,11,33,32,0.0723684210526316,0.333333333333333,V0.5_c2,bgs,1
0.05,0.35,2,emx,36077,3,3,1,1,33,32,0.333333333333333,0.0303030303030303,V0.5_c2,bgs,1
0.05,0.35,2,lfm,36077,174,171,11,11,33,32,0.064327485380117,0.333333333333333,V0.5_c2,bgs,1
0.05,0.35,5,emx,15727,10,9,3,3,33,32,0.333333333333333,0.0909090909090909,V0.5_c2,bgs,1
0.05,0.35,5,lfm,15727,201,197,14,14,33,32,0.0710659898477157,0.424242424242424,V0.5_c2,bgs,1
0.05,0.5,1,emx,66965,2,2,0,0,33,32,0,0,V0.5_c2,bgs,1
0.05,0.5,1,lfm,66965,153,149,11,11,33,32,0.0738255033557047,0.333333333333333,V0.5_c2,bgs,1
0.05,0.5,2,emx,35700,6,6,2,2,33,32,0.333333333333333,0.0606060606060606,V0.5_c2,bgs,1
0.05,0.5,2,lfm,35700,173,169,11,11,33,32,0.0650887573964497,0.333333333333333,V0.5_c2,bgs,1
0.05,0.5,5,emx,15646,10,9,3,3,33,32,0.333333333333333,0.0909090909090909,V0.5_c2,bgs,1
0.05,0.5,5,lfm,15646,201,196,13,13,33,32,0.0663265306122449,0.393939393939394,V0.5_c2,bgs,1
0.05,0.65,1,emx,66092,2,2,0,0,33,32,0,0,V0.5_c2,bgs,1
0.05,0.65,1,lfm,66092,153,149,11,11,33,32,0.0738255033557047,0.333333333333333,V0.5_c2,bgs,1
0.05,0.65,2,emx,35389,6,6,2,2,33,32,0.333333333333333,0.0606060606060606,V0.5_c2,bgs,1
0.05,0.65,2,lfm,35389,175,171,11,11,33,32,0.064327485380117,0.333333333333333,V0.5_c2,bgs,1
0.05,0.65,5,emx,15627,11,10,3,3,33,32,0.3,0.0909090909090909,V0.5_c2,bgs,1
0.05,0.65,5,lfm,15627,203,198,13,13,33,32,0.0656565656565657,0.393939393939394,V0.5_c2,bgs,1
0.0125,0.35,1,emx,61262,57,57,9,10,34,32,0.157894736842105,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.35,1,lfm,61262,69,69,9,10,34,32,0.130434782608696,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.35,2,emx,31112,61,61,9,10,34,32,0.147540983606557,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.35,2,lfm,31112,73,73,9,10,34,32,0.123287671232877,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.35,5,emx,13270,65,64,9,10,34,32,0.140625,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.35,5,lfm,13270,81,80,11,12,34,32,0.1375,0.352941176470588,V0.5_c2,bgs,10
0.0125,0.5,1,emx,53424,49,49,9,10,34,32,0.183673469387755,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.5,1,lfm,53424,68,68,9,10,34,32,0.132352941176471,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.5,2,emx,26026,53,53,8,9,34,32,0.150943396226415,0.264705882352941,V0.5_c2,bgs,10
0.0125,0.5,2,lfm,26026,70,70,9,10,34,32,0.128571428571429,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.5,5,emx,11914,62,60,9,10,34,32,0.15,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.5,5,lfm,11914,79,79,12,13,34,32,0.151898734177215,0.382352941176471,V0.5_c2,bgs,10
0.0125,0.65,1,emx,43542,45,45,8,9,34,32,0.177777777777778,0.264705882352941,V0.5_c2,bgs,10
0.0125,0.65,1,lfm,43542,64,64,8,9,34,32,0.125,0.264705882352941,V0.5_c2,bgs,10
0.0125,0.65,2,emx,21800,51,51,8,9,34,32,0.156862745098039,0.264705882352941,V0.5_c2,bgs,10
0.0125,0.65,2,lfm,21800,67,67,8,9,34,32,0.119402985074627,0.264705882352941,V0.5_c2,bgs,10
0.0125,0.65,5,emx,10522,58,57,9,10,34,32,0.157894736842105,0.294117647058824,V0.5_c2,bgs,10
0.0125,0.65,5,lfm,10522,77,76,12,13,34,32,0.157894736842105,0.382352941176471,V0.5_c2,bgs,10
0.025,0.35,1,emx,63797,77,77,10,11,34,32,0.12987012987013,0.323529411764706,V0.5_c2,bgs,10
0.025,0.35,1,lfm,63797,76,76,8,9,34,32,0.105263157894737,0.264705882352941,V0.5_c2,bgs,10
0.025,0.35,2,emx,33284,79,79,9,10,34,32,0.113924050632911,0.294117647058824,V0.5_c2,bgs,10
0.025,0.35,2,lfm,33284,85,85,10,11,34,32,0.117647058823529,0.323529411764706,V0.5_c2,bgs,10
0.025,0.35,5,emx,14378,82,81,9,10,34,32,0.111111111111111,0.294117647058824,V0.5_c2,bgs,10
0.025,0.35,5,lfm,14378,88,88,11,12,34,32,0.125,0.352941176470588,V0.5_c2,bgs,10
0.025,0.5,1,emx,60085,68,68,10,11,34,32,0.147058823529412,0.323529411764706,V0.5_c2,bgs,10
0.025,0.5,1,lfm,60085,75,75,8,9,34,32,0.106666666666667,0.264705882352941,V0.5_c2,bgs,10
0.025,0.5,2,emx,30796,73,73,9,10,34,32,0.123287671232877,0.294117647058824,V0.5_c2,bgs,10
0.025,0.5,2,lfm,30796,78,78,8,9,34,32,0.102564102564103,0.264705882352941,V0.5_c2,bgs,10
0.025,0.5,5,emx,13547,75,75,9,10,34,32,0.12,0.294117647058824,V0.5_c2,bgs,10
0.025,0.5,5,lfm,13547,84,83,11,12,34,32,0.132530120481928,0.352941176470588,V0.5_c2,bgs,10
0.025,0.65,1,emx,55494,62,62,8,9,34,32,0.129032258064516,0.264705882352941,V0.5_c2,bgs,10
0.025,0.65,1,lfm,55494,72,72,8,9,34,32,0.111111111111111,0.264705882352941,V0.5_c2,bgs,10
0.025,0.65,2,emx,28745,70,70,9,10,34,32,0.128571428571429,0.294117647058824,V0.5_c2,bgs,10
0.025,0.65,2,lfm,28745,73,73,8,9,34,32,0.10958904109589,0.264705882352941,V0.5_c2,bgs,10
0.025,0.65,5,emx,12824,71,71,9,10,34,32,0.126760563380282,0.294117647058824,V0.5_c2,bgs,10
0.025,0.65,5,lfm,12824,85,85,12,13,34,32,0.141176470588235,0.382352941176471,V0.5_c2,bgs,10
0.05,0.35,1,emx,66670,127,125,11,11,34,32,0.088,0.323529411764706,V0.5_c2,bgs,10
0.05,0.35,1,lfm,66670,175,172,11,11,34,32,0.063953488372093,0.323529411764706,V0.5_c2,bgs,10
0.05,0.35,2,emx,35876,142,138,10,10,34,32,0.072463768115942,0.294117647058824,V0.5_c2,bgs,10
0.05,0.35,2,lfm,35876,200,197,12,12,34,32,0.0609137055837564,0.352941176470588,V0.5_c2,bgs,10
0.05,0.35,5,emx,15944,140,136,10,10,34,32,0.0735294117647059,0.294117647058824,V0.5_c2,bgs,10
0.05,0.35,5,lfm,15944,195,192,12,12,34,32,0.0625,0.352941176470588,V0.5_c2,bgs,10
0.05,0.5,1,emx,66089,127,124,11,11,34,32,0.0887096774193548,0.323529411764706,V0.5_c2,bgs,10
0.05,0.5,1,lfm,66089,174,170,11,11,34,32,0.0647058823529412,0.323529411764706,V0.5_c2,bgs,10
0.05,0.5,2,emx,35501,140,135,10,10,34,32,0.0740740740740741,0.294117647058824,V0.5_c2,bgs,10
0.05,0.5,2,lfm,35501,199,195,12,12,34,32,0.0615384615384615,0.352941176470588,V0.5_c2,bgs,10
0.05,0.5,5,emx,15849,139,134,10,10,34,32,0.0746268656716418,0.294117647058824,V0.5_c2,bgs,10
0.05,0.5,5,lfm,15849,192,188,12,12,34,32,0.0638297872340426,0.352941176470588,V0.5_c2,bgs,10
0.05,0.65,1,emx,65233,126,123,11,11,34,32,0.0894308943089431,0.323529411764706,V0.5_c2,bgs,10
0.05,0.65,1,lfm,65233,173,169,11,11,34,32,0.0650887573964497,0.323529411764706,V0.5_c2,bgs,10
0.05,0.65,2,emx,35168,139,134,10,10,34,32,0.0746268656716418,0.294117647058824,V0.5_c2,bgs,10
0.05,0.65,2,lfm,35168,199,195,12,12,34,32,0.0615384615384615,0.352941176470588,V0.5_c2,bgs,10
0.05,0.65,5,emx,15792,138,133,10,10,34,32,0.075187969924812,0.294117647058824,V0.5_c2,bgs,10
0.05,0.65,5,lfm,15792,191,187,12,12,34,32,0.0641711229946524,0.352941176470588,V0.5_c2,bgs,10
0.0125,0.35,1,emx,61365,59,57,8,10,35,32,0.140350877192982,0.285714285714286,V0.5_c2,bgs,2
0.0125,0.35,1,lfm,61365,433,430,13,15,35,32,0.0302325581395349,0.428571428571429,V0.5_c2,bgs,2
0.0125,0.35,2,emx,31199,68,65,8,10,35,32,0.123076923076923,0.285714285714286,V0.5_c2,bgs,2
0.0125,0.35,2,lfm,31199,412,409,13,15,35,32,0.0317848410757946,0.428571428571429,V0.5_c2,bgs,2
0.0125,0.35,5,emx,13411,68,65,8,10,35,32,0.123076923076923,0.285714285714286,V0.5_c2,bgs,2
0.0125,0.35,5,lfm,13411,342,339,13,16,35,32,0.0383480825958702,0.457142857142857,V0.5_c2,bgs,2
0.0125,0.5,1,emx,53603,47,45,8,10,35,32,0.177777777777778,0.285714285714286,V0.5_c2,bgs,2
0.0125,0.5,1,lfm,53603,316,313,12,14,35,32,0.0383386581469649,0.4,V0.5_c2,bgs,2
0.0125,0.5,2,emx,26115,55,53,8,10,35,32,0.150943396226415,0.285714285714286,V0.5_c2,bgs,2
0.0125,0.5,2,lfm,26115,325,322,13,15,35,32,0.0403726708074534,0.428571428571429,V0.5_c2,bgs,2
0.0125,0.5,5,emx,11981,66,63,9,11,35,32,0.142857142857143,0.314285714285714,V0.5_c2,bgs,2
0.0125,0.5,5,lfm,11981,287,284,13,15,35,32,0.045774647887324,0.428571428571429,V0.5_c2,bgs,2
0.0125,0.65,1,emx,43999,48,46,8,11,35,32,0.173913043478261,0.314285714285714,V0.5_c2,bgs,2
0.0125,0.65,1,lfm,43999,254,250,13,15,35,32,0.052,0.428571428571429,V0.5_c2,bgs,2
0.0125,0.65,2,emx,22022,51,49,8,11,35,32,0.163265306122449,0.314285714285714,V0.5_c2,bgs,2
0.0125,0.65,2,lfm,22022,273,269,13,15,35,32,0.0483271375464684,0.428571428571429,V0.5_c2,bgs,2
0.0125,0.65,5,emx,10672,60,57,8,11,35,32,0.140350877192982,0.314285714285714,V0.5_c2,bgs,2
0.0125,0.65,5,lfm,10672,260,256,13,15,35,32,0.05078125,0.428571428571429,V0.5_c2,bgs,2
0.025,0.35,1,emx,64166,72,70,8,10,35,32,0.114285714285714,0.285714285714286,V0.5_c2,bgs,2
0.025,0.35,1,lfm,64166,527,524,13,15,35,32,0.0248091603053435,0.428571428571429,V0.5_c2,bgs,2
0.025,0.35,2,emx,33589,83,81,9,11,35,32,0.111111111111111,0.314285714285714,V0.5_c2,bgs,2
0.025,0.35,2,lfm,33589,500,497,13,15,35,32,0.0261569416498994,0.428571428571429,V0.5_c2,bgs,2
0.025,0.35,5,emx,14582,81,79,8,10,35,32,0.10126582278481,0.285714285714286,V0.5_c2,bgs,2
0.025,0.35,5,lfm,14582,387,384,13,15,35,32,0.0338541666666667,0.428571428571429,V0.5_c2,bgs,2
0.025,0.5,1,emx,60739,65,63,8,10,35,32,0.126984126984127,0.285714285714286,V0.5_c2,bgs,2
0.025,0.5,1,lfm,60739,431,428,12,14,35,32,0.0280373831775701,0.4,V0.5_c2,bgs,2
0.025,0.5,2,emx,31284,75,73,9,11,35,32,0.123287671232877,0.314285714285714,V0.5_c2,bgs,2
0.025,0.5,2,lfm,31284,439,435,13,15,35,32,0.0298850574712644,0.428571428571429,V0.5_c2,bgs,2
0.025,0.5,5,emx,13864,79,77,8,10,35,32,0.103896103896104,0.285714285714286,V0.5_c2,bgs,2
0.025,0.5,5,lfm,13864,356,352,13,15,35,32,0.0369318181818182,0.428571428571429,V0.5_c2,bgs,2
0.025,0.65,1,emx,56274,58,54,9,11,35,32,0.166666666666667,0.314285714285714,V0.5_c2,bgs,2
0.025,0.65,1,lfm,56274,397,393,14,16,35,32,0.0356234096692112,0.457142857142857,V0.5_c2,bgs,2
0.025,0.65,2,emx,29317,69,65,10,12,35,32,0.153846153846154,0.342857142857143,V0.5_c2,bgs,2
0.025,0.65,2,lfm,29317,393,388,15,17,35,32,0.038659793814433,0.485714285714286,V0.5_c2,bgs,2
0.025,0.65,5,emx,13177,72,68,9,11,35,32,0.132352941176471,0.314285714285714,V0.5_c2,bgs,2
0.025,0.65,5,lfm,13177,335,330,13,15,35,32,0.0393939393939394,0.428571428571429,V0.5_c2,bgs,2
0.05,0.35,1,emx,67126,157,153,11,11,35,32,0.0718954248366013,0.314285714285714,V0.5_c2,bgs,2
0.05,0.35,1,lfm,67126,867,863,16,16,35,32,0.018539976825029,0.457142857142857,V0.5_c2,bgs,2
0.05,0.35,2,emx,36292,174,170,11,11,35,32,0.0647058823529412,0.314285714285714,V0.5_c2,bgs,2
0.05,0.35,2,lfm,36292,867,862,16,16,35,32,0.0185614849187935,0.457142857142857,V0.5_c2,bgs,2
0.05,0.35,5,emx,16205,184,180,10,10,35,32,0.0555555555555556,0.285714285714286,V0.5_c2,bgs,2
0.05,0.35,5,lfm,16205,662,658,14,14,35,32,0.0212765957446809,0.4,V0.5_c2,bgs,2
0.05,0.5,1,emx,66595,156,152,11,11,35,32,0.0723684210526316,0.314285714285714,V0.5_c2,bgs,2
0.05,0.5,1,lfm,66595,862,858,16,16,35,32,0.0186480186480186,0.457142857142857,V0.5_c2,bgs,2
0.05,0.5,2,emx,35956,174,170,11,11,35,32,0.0647058823529412,0.314285714285714,V0.5_c2,bgs,2
0.05,0.5,2,lfm,35956,862,857,16,16,35,32,0.0186697782963827,0.457142857142857,V0.5_c2,bgs,2
0.05,0.5,5,emx,16139,187,183,12,12,35,32,0.0655737704918033,0.342857142857143,V0.5_c2,bgs,2
0.05,0.5,5,lfm,16139,669,665,16,16,35,32,0.0240601503759399,0.457142857142857,V0.5_c2,bgs,2
0.05,0.65,1,emx,65857,153,149,10,10,35,32,0.0671140939597315,0.285714285714286,V0.5_c2,bgs,2
0.05,0.65,1,lfm,65857,857,853,16,16,35,32,0.018757327080891,0.457142857142857,V0.5_c2,bgs,2
0.05,0.65,2,emx,35695,168,164,11,11,35,32,0.0670731707317073,0.314285714285714,V0.5_c2,bgs,2
0.05,0.65,2,lfm,35695,854,849,16,16,35,32,0.0188457008244994,0.457142857142857,V0.5_c2,bgs,2
0.05,0.65,5,emx,16114,188,184,12,12,35,32,0.0652173913043478,0.342857142857143,V0.5_c2,bgs,2
0.05,0.65,5,lfm,16114,676,671,16,16,35,32,0.0238450074515648,0.457142857142857,V0.5_c2,bgs,2
0.0125,0.35,1,emx,60915,71,70,7,7,38,36,0.1,0.184210526315789,V0.5_c2,bgs,3
0.0125,0.35,1,lfm,60915,159,156,13,13,38,36,0.0833333333333333,0.342105263157895,V0.5_c2,bgs,3
0.0125,0.35,2,emx,31121,81,80,7,7,38,36,0.0875,0.184210526315789,V0.5_c2,bgs,3
0.0125,0.35,2,lfm,31121,166,163,13,13,38,36,0.0797546012269939,0.342105263157895,V0.5_c2,bgs,3
0.0125,0.35,5,emx,13234,88,87,7,7,38,36,0.0804597701149425,0.184210526315789,V0.5_c2,bgs,3
0.0125,0.35,5,lfm,13234,160,157,12,12,38,36,0.0764331210191083,0.315789473684211,V0.5_c2,bgs,3
0.0125,0.5,1,emx,53202,65,63,7,7,38,36,0.111111111111111,0.184210526315789,V0.5_c2,bgs,3
0.0125,0.5,1,lfm,53202,157,153,13,13,38,36,0.0849673202614379,0.342105263157895,V0.5_c2,bgs,3
0.0125,0.5,2,emx,26098,80,78,7,7,38,36,0.0897435897435897,0.184210526315789,V0.5_c2,bgs,3
0.0125,0.5,2,lfm,26098,161,157,14,14,38,36,0.089171974522293,0.368421052631579,V0.5_c2,bgs,3
0.0125,0.5,5,emx,11875,83,81,7,7,38,36,0.0864197530864198,0.184210526315789,V0.5_c2,bgs,3
0.0125,0.5,5,lfm,11875,159,155,14,14,38,36,0.0903225806451613,0.368421052631579,V0.5_c2,bgs,3
0.0125,0.65,1,emx,43689,66,63,7,7,38,36,0.111111111111111,0.184210526315789,V0.5_c2,bgs,3
0.0125,0.65,1,lfm,43689,152,147,13,13,38,36,0.0884353741496599,0.342105263157895,V0.5_c2,bgs,3
0.0125,0.65,2,emx,22141,78,75,7,7,38,36,0.0933333333333333,0.184210526315789,V0.5_c2,bgs,3
0.0125,0.65,2,lfm,22141,158,153,13,13,38,36,0.0849673202614379,0.342105263157895,V0.5_c2,bgs,3
0.0125,0.65,5,emx,10644,84,81,7,7,38,36,0.0864197530864198,0.184210526315789,V0.5_c2,bgs,3
0.0125,0.65,5,lfm,10644,165,160,14,14,38,36,0.0875,0.368421052631579,V0.5_c2,bgs,3
0.025,0.35,1,emx,63542,73,73,6,6,38,36,0.0821917808219178,0.157894736842105,V0.5_c2,bgs,3
0.025,0.35,1,lfm,63542,172,171,12,13,38,36,0.0701754385964912,0.342105263157895,V0.5_c2,bgs,3
0.025,0.35,2,emx,33357,86,86,6,6,38,36,0.0697674418604651,0.157894736842105,V0.5_c2,bgs,3
0.025,0.35,2,lfm,33357,177,176,12,13,38,36,0.0681818181818182,0.342105263157895,V0.5_c2,bgs,3
0.025,0.35,5,emx,14275,95,95,6,7,38,36,0.0631578947368421,0.184210526315789,V0.5_c2,bgs,3
0.025,0.35,5,lfm,14275,174,172,10,11,38,36,0.0581395348837209,0.289473684210526,V0.5_c2,bgs,3
0.025,0.5,1,emx,59940,66,66,6,6,38,36,0.0909090909090909,0.157894736842105,V0.5_c2,bgs,3
0.025,0.5,1,lfm,59940,166,164,11,12,38,36,0.0670731707317073,0.315789473684211,V0.5_c2,bgs,3
0.025,0.5,2,emx,30963,82,82,6,6,38,36,0.0731707317073171,0.157894736842105,V0.5_c2,bgs,3
0.025,0.5,2,lfm,30963,171,169,11,12,38,36,0.0650887573964497,0.315789473684211,V0.5_c2,bgs,3
0.025,0.5,5,emx,13578,88,88,6,7,38,36,0.0681818181818182,0.184210526315789,V0.5_c2,bgs,3
0.025,0.5,5,lfm,13578,172,169,11,12,38,36,0.0650887573964497,0.315789473684211,V0.5_c2,bgs,3
0.025,0.65,1,emx,55288,62,61,6,6,38,36,0.0983606557377049,0.157894736842105,V0.5_c2,bgs,3
0.025,0.65,1,lfm,55288,159,156,11,12,38,36,0.0705128205128205,0.315789473684211,V0.5_c2,bgs,3
0.025,0.65,2,emx,28982,78,77,6,6,38,36,0.0779220779220779,0.157894736842105,V0.5_c2,bgs,3
0.025,0.65,2,lfm,28982,166,163,11,12,38,36,0.0674846625766871,0.315789473684211,V0.5_c2,bgs,3
0.025,0.65,5,emx,12871,83,82,6,7,38,36,0.0731707317073171,0.184210526315789,V0.5_c2,bgs,3
0.025,0.65,5,lfm,12871,168,164,11,12,38,36,0.0670731707317073,0.315789473684211,V0.5_c2,bgs,3
0.05,0.35,1,emx,66499,140,139,7,7,38,36,0.0503597122302158,0.184210526315789,V0.5_c2,bgs,3
0.05,0.35,1,lfm,66499,317,316,11,11,38,36,0.0348101265822785,0.289473684210526,V0.5_c2,bgs,3
0.05,0.35,2,emx,36048,171,170,8,8,38,36,0.0470588235294118,0.210526315789474,V0.5_c2,bgs,3
0.05,0.35,2,lfm,36048,349,348,11,11,38,36,0.0316091954022989,0.289473684210526,V0.5_c2,bgs,3
0.05,0.35,5,emx,15910,183,182,7,7,38,36,0.0384615384615385,0.184210526315789,V0.5_c2,bgs,3
0.05,0.35,5,lfm,15910,333,332,9,9,38,36,0.0271084337349398,0.236842105263158,V0.5_c2,bgs,3
0.05,0.5,1,emx,65963,142,141,7,7,38,36,0.049645390070922,0.184210526315789,V0.5_c2,bgs,3
0.05,0.5,1,lfm,65963,312,311,11,11,38,36,0.0353697749196142,0.289473684210526,V0.5_c2,bgs,3
0.05,0.5,2,emx,35715,173,172,8,8,38,36,0.0465116279069768,0.210526315789474,V0.5_c2,bgs,3
0.05,0.5,2,lfm,35715,346,345,11,11,38,36,0.0318840579710145,0.289473684210526,V0.5_c2,bgs,3
0.05,0.5,5,emx,15862,182,181,7,7,38,36,0.0386740331491713,0.184210526315789,V0.5_c2,bgs,3
0.05,0.5,5,lfm,15862,334,333,10,10,38,36,0.03003003003003,0.263157894736842,V0.5_c2,bgs,3
0.05,0.65,1,emx,65181,141,140,7,7,38,36,0.05,0.184210526315789,V0.5_c2,bgs,3
