ldw,rho,floor,prec_emx,prec_lfm,rec_emx,rec_lfm
0.0125,0.35,1,0.332590424187832,0.337514004658338,0.222588658361089,0.31624947147639
0.0125,0.35,2,0.34168430577159,0.325265572982456,0.236613586508112,0.331059709977566
0.0125,0.35,5,0.372464950683343,0.341396728384373,0.242653802106143,0.337799309404818
0.0125,0.5,1,0.37360414759244,0.373417839650203,0.211882041777541,0.310798829895077
0.0125,0.5,2,0.382569687864444,0.355479820752229,0.22916815853898,0.319868882600731
0.0125,0.5,5,0.410556587613461,0.358712994382073,0.241623664530763,0.341360094092721
0.0125,0.65,1,0.383207450670414,0.390312864607736,0.201851559142316,0.307115779987182
0.0125,0.65,2,0.381463382869857,0.366693852172984,0.221325613438599,0.313766920399698
0.0125,0.65,5,0.423820700586563,0.388420588781591,0.244818173428933,0.343313381379737
0.025,0.35,1,0.315645444614392,0.331580862599901,0.222657032943915,0.321452825508438
0.025,0.35,2,0.306877246706294,0.315777610010395,0.238397042052733,0.333992722473304
0.025,0.35,5,0.361154346880792,0.327807624391933,0.242361478792726,0.3354471442209
0.025,0.5,1,0.350420793500862,0.346730714587815,0.219275442408977,0.318745188846854
0.025,0.5,2,0.33788988292299,0.344060408238087,0.23485172544124,0.325611547899734
0.025,0.5,5,0.393128829196781,0.337466074831195,0.242470425126651,0.335212636934277
0.025,0.65,1,0.344061175819755,0.344382425986345,0.206978578926742,0.313944927643376
0.025,0.65,2,0.346334176059183,0.354232534043107,0.232506530089078,0.325986921271145
0.025,0.65,5,0.378004060035504,0.356777048401089,0.2341510517217,0.336172879931085
0.05,0.35,1,0.310740363009968,0.311515762651077,0.226290604741961,0.320824571302491
0.05,0.35,2,0.3024981722197,0.291629324829738,0.242659534531943,0.331252614272575
0.05,0.35,5,0.340781146703612,0.309637959746252,0.239248321022145,0.326773258086868
0.05,0.5,1,0.319932299865335,0.316974000192428,0.223595725250743,0.315809148129174
0.05,0.5,2,0.309315059324298,0.29805921872225,0.241452641232659,0.327004138886563
0.05,0.5,5,0.339220813332908,0.313548420972817,0.238193283064933,0.324282348672451
0.05,0.65,1,0.325902135688152,0.323104746027623,0.221484196428688,0.314359295593795
0.05,0.65,2,0.323348243516533,0.306046365929594,0.241010484704976,0.3259816489496
0.05,0.65,5,0.358290608355326,0.320419125110492,0.237771567347164,0.327006324908963
