tag	cell	method	reference_method	diff_precision	diff_precision_ci_lo	diff_precision_ci_hi	diff_recall	diff_recall_ci_lo	diff_recall_ci_hi
nobgs	V0.5_c1	lfmm_simes_region	lfmm_snp_region	0.144318597004019	0.0805544336866949	0.188380727231791	-0.0735294117647058	-0.117956989247312	-0.0355329949238579
nobgs	V0.5_c1.5	lfmm_simes_region	lfmm_snp_region	0.0369608276763908	0.0203854522007606	0.0537779500749056	-0.0377358490566038	-0.0656994465388626	-0.0119510055018023
nobgs	V0.5_c2	lfmm_simes_region	lfmm_snp_region	0.000549866425520427	-0.00255811179091098	0.00365790933816932	-0.0606936416184971	-0.0793662464985994	-0.0403452403086362
nobgs	V1_c1	lfmm_simes_region	lfmm_snp_region	0.182252388134741	0.115302343627647	0.278415579381425	-0.0256410256410257	-0.05	0
nobgs	V1_c1.5	lfmm_simes_region	lfmm_snp_region	0.0256594852104665	-0.00561044647303595	0.0644967799833087	-0.0547445255474452	-0.0703703703703704	-0.0371900826446281
nobgs	V2_c1	lfmm_simes_region	lfmm_snp_region	0.182615629984051	0.101729330044077	0.238924916457811	-0.0859375	-0.158747412008282	-0.0305343511450382
nobgs	V2_c1.5	lfmm_simes_region	lfmm_snp_region	0.0164667393675027	0.00897387258061457	0.026645703401864	-0.0153061224489796	-0.0303068758652515	0
bgs	V0.5_c1	lfmm_simes_region	lfmm_snp_region	0.156327543424318	0.104081311988634	0.213970777688089	-0.0538922155688623	-0.0828025477707006	-0.0284050783256291
bgs	V0.5_c1.5	lfmm_simes_region	lfmm_snp_region	0.0475367727518804	0.0325917892022147	0.0655102241659637	-0.0533807829181495	-0.0836316411912816	-0.0280677217519323
bgs	V0.5_c2	lfmm_simes_region	lfmm_snp_region	0.000187919953602043	-0.00351209527102378	0.00357457892528206	-0.0379403794037941	-0.0640016713091922	-0.0185676392572944
bgs	V1_c1	lfmm_simes_region	lfmm_snp_region	0.148333765373427	0.0969748233580359	0.205888291547625	-0.034965034965035	-0.0680346051464065	-0.00694324712643687
bgs	V1_c1.5	lfmm_simes_region	lfmm_snp_region	0.0206255739830371	0.00611453122234221	0.0345555656354143	-0.03515625	-0.0534402328098037	-0.0168776371308017
bgs	V2_c1	lfmm_simes_region	lfmm_snp_region	0.143262411347518	0.0635863490945263	0.216311003254281	-0.024793388429752	-0.0500105042016807	0
bgs	V2_c1.5	lfmm_simes_region	lfmm_snp_region	0.00302941242963398	-0.00959341093762188	0.0147956721725498	-0.0421052631578947	-0.0714285714285714	-0.0153041800476536
