tag	cell	method	arm	floor	TP	FP	n_regions	n_detectable_qtn	n_recovered	n_tests	n_eligible_markers	n_eligible_units	frac_markers_retained	frac_dqtn_covered	precision	recall	realised_fdp	precision_ci_lo	precision_ci_hi	recall_ci_lo	recall_ci_hi	fdp_ci_lo	fdp_ci_hi
bgs	V0.5_c1	emmax	A_unrestricted_marker	1	110	188	298	167	91	1543807	1543807	887607	1	1	0.369127516778524	0.544910179640719	0.630872483221476	0.308097713097713	0.45076581027668	0.47018151348732	0.622109559949868	0.54923418972332	0.691902286902287
bgs	V0.5_c1	emmax	A_unrestricted_marker	2	110	188	298	167	91	1543807	1543807	887607	1	1	0.369127516778524	0.544910179640719	0.630872483221476	0.308097713097713	0.45076581027668	0.47018151348732	0.622109559949868	0.54923418972332	0.691902286902287
bgs	V0.5_c1	emmax	A_unrestricted_marker	3	110	188	298	167	91	1543807	1543807	887607	1	1	0.369127516778524	0.544910179640719	0.630872483221476	0.308097713097713	0.45076581027668	0.47018151348732	0.622109559949868	0.54923418972332	0.691902286902287
bgs	V0.5_c1	emmax	A_unrestricted_marker	5	110	188	298	167	91	1543807	1543807	887607	1	1	0.369127516778524	0.544910179640719	0.630872483221476	0.308097713097713	0.45076581027668	0.47018151348732	0.622109559949868	0.54923418972332	0.691902286902287
bgs	V0.5_c1	emmax	A_unrestricted_marker	10	110	188	298	167	91	1543807	1543807	887607	1	1	0.369127516778524	0.544910179640719	0.630872483221476	0.308097713097713	0.45076581027668	0.47018151348732	0.622109559949868	0.54923418972332	0.691902286902287
bgs	V0.5_c1	emmax	A_unrestricted_marker	20	110	188	298	167	91	1543807	1543807	887607	1	1	0.369127516778524	0.544910179640719	0.630872483221476	0.308097713097713	0.45076581027668	0.47018151348732	0.622109559949868	0.54923418972332	0.691902286902287
bgs	V0.5_c1.5	emmax	A_unrestricted_marker	1	48	276	324	281	45	1615784	1615784	820259	1	1	0.148148148148148	0.160142348754448	0.851851851851852	0.123114611519134	0.178686499615936	0.118634047182776	0.2	0.821313500384065	0.876885388480866
bgs	V0.5_c1.5	emmax	A_unrestricted_marker	2	48	276	324	281	45	1615784	1615784	820259	1	1	0.148148148148148	0.160142348754448	0.851851851851852	0.123114611519134	0.178686499615936	0.118634047182776	0.2	0.821313500384065	0.876885388480866
bgs	V0.5_c1.5	emmax	A_unrestricted_marker	3	48	276	324	281	45	1615784	1615784	820259	1	1	0.148148148148148	0.160142348754448	0.851851851851852	0.123114611519134	0.178686499615936	0.118634047182776	0.2	0.821313500384065	0.876885388480866
bgs	V0.5_c1.5	emmax	A_unrestricted_marker	5	48	276	324	281	45	1615784	1615784	820259	1	1	0.148148148148148	0.160142348754448	0.851851851851852	0.123114611519134	0.178686499615936	0.118634047182776	0.2	0.821313500384065	0.876885388480866
bgs	V0.5_c1.5	emmax	A_unrestricted_marker	10	48	276	324	281	45	1615784	1615784	820259	1	1	0.148148148148148	0.160142348754448	0.851851851851852	0.123114611519134	0.178686499615936	0.118634047182776	0.2	0.821313500384065	0.876885388480866
bgs	V0.5_c1.5	emmax	A_unrestricted_marker	20	48	276	324	281	45	1615784	1615784	820259	1	1	0.148148148148148	0.160142348754448	0.851851851851852	0.123114611519134	0.178686499615936	0.118634047182776	0.2	0.821313500384065	0.876885388480866
bgs	V0.5_c2	emmax	A_unrestricted_marker	1	54	2119	2173	369	50	1804009	1804009	629956	1	1	0.0248504371836171	0.13550135501355	0.975149562816383	0.0194195173083806	0.0308062579331379	0.11363478972551	0.160107530163381	0.969193742066862	0.980580482691619
bgs	V0.5_c2	emmax	A_unrestricted_marker	2	54	2119	2173	369	50	1804009	1804009	629956	1	1	0.0248504371836171	0.13550135501355	0.975149562816383	0.0194195173083806	0.0308062579331379	0.11363478972551	0.160107530163381	0.969193742066862	0.980580482691619
bgs	V0.5_c2	emmax	A_unrestricted_marker	3	54	2119	2173	369	50	1804009	1804009	629956	1	1	0.0248504371836171	0.13550135501355	0.975149562816383	0.0194195173083806	0.0308062579331379	0.11363478972551	0.160107530163381	0.969193742066862	0.980580482691619
