method	analysis	precision	primary_ci_lo	primary_ci_hi	crossed_ci_lo	crossed_ci_hi	recall	primary_recall_ci_lo	primary_recall_ci_hi	crossed_recall_ci_lo	crossed_recall_ci_hi
emmax_snp_region	primary_map_cluster_vs_crossed_sensitivity	0.366275051831375	0.323457420430328	0.417805127981511	0.297439259698675	0.453116749644193	0.472252448313384	0.437960792181365	0.510499578090258	0.379689661710899	0.562084257206208
emmax_simes_region	primary_map_cluster_vs_crossed_sensitivity	0.580345285524568	0.540761714952362	0.626039674098533	0.508934999507767	0.678326542082338	0.41784548422198	0.380486615021707	0.455356704870446	0.335406761466459	0.500539521374399
emmax_consensus_region	primary_map_cluster_vs_crossed_sensitivity	0.564432989690722	0.526181583954805	0.609656857392444	0.491049544817927	0.669893055198239	0.416757344940152	0.379773485394879	0.451948595141105	0.334427687324677	0.491347054861711
lfmm_snp_region	primary_map_cluster_vs_crossed_sensitivity	0.388950892857143	0.359138975707768	0.420467996915365	0.322637745212598	0.479929108684441	0.563656147986942	0.52568306010929	0.597592160394002	0.473330354944126	0.653444676409186
lfmm_simes_region	primary_map_cluster_vs_crossed_sensitivity	0.545542635658915	0.520157231101977	0.571572047423621	0.455603442812998	0.665334924292298	0.512513601741023	0.471036488630354	0.552992453835875	0.42706716954023	0.59663886264565
