method	n_combo	n_tested	n_significant	TP	FP	n_detectable_qtn	n_recovered	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi	pct_reduction_tests	pct_reduction_regions	pct_reduction_fp_regions
emmax_snp_region	600	9120379	1447	530	917	919	434	0.366275051831375	0.323457420430328	0.417805127981511	0.472252448313384	0.437960792181365	0.510499578090258	0.172974289983479	0.150501129203103	0.203590083748649			
emmax_simes_region	600	1796934	753	437	316	919	384	0.580345285524568	0.540761714952362	0.626039674098533	0.41784548422198	0.380486615021707	0.455356704870446	0.242494656845957	0.218926511482824	0.26731302998446	80.297595088976	47.9612992398065	65.5398037077426
emmax_consensus_region	600	1796934	776	438	338	919	383	0.564432989690722	0.526181583954805	0.609656857392444	0.416757344940152	0.379773485394879	0.451948595141105	0.235231594180138	0.215145655494895	0.258986072161869	80.297595088976	46.371803731859	63.1406761177754
lfmm_snp_region	600	9120379	1792	697	1095	919	518	0.388950892857143	0.359138975707768	0.420467996915365	0.563656147986942	0.52568306010929	0.597592160394002	0.219234562023939	0.197127353162023	0.243054731718364			
lfmm_simes_region	600	1796934	1032	563	469	919	471	0.545542635658915	0.520157231101977	0.571572047423621	0.512513601741023	0.471036488630354	0.552992453835875	0.279598021104841	0.24861031067472	0.311417313271288	80.297595088976	42.4107142857143	57.1689497716895
