tag	cell	method	n_tested	n_significant	TP	FP	FN	n_detectable_qtn	n_recovered	coverage	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi
nobgs	V0.5_c1	emmax_snp_region	1488756	389	150	239	85	204	119	0.955882352941176	0.38560411311054	0.338580499616751	0.454237288135593	0.583333333333333	0.499943946188341	0.670001269035533
nobgs	V0.5_c1	emmax_simes_region	291445	186	120	66	98	204	106	0.955882352941176	0.645161290322581	0.560433807030666	0.718395106339046	0.519607843137255	0.422535211267606	0.612565445026178
nobgs	V0.5_c1	emmax_consensus_region	291445	195	115	80	103	204	101	0.955882352941176	0.58974358974359	0.518687262028383	0.65855299135951	0.495098039215686	0.376091725477017	0.59016393442623
nobgs	V0.5_c1	lfmm_snp_region	1488756	412	188	224	64	204	140	0.955882352941176	0.456310679611651	0.385766452648475	0.548895899053628	0.686274509803922	0.611334292072556	0.751444322945143
nobgs	V0.5_c1	lfmm_simes_region	291445	238	143	95	79	204	125	0.955882352941176	0.600840336134454	0.542592212467631	0.671433901918976	0.612745098039216	0.535706384323641	0.697569867886179
nobgs	V0.5_c1.5	emmax_snp_region	1518170	370	57	313	212	265	53	0.977358490566038	0.154054054054054	0.0995472494553377	0.231648101404741	0.2	0.152977241654324	0.265625
nobgs	V0.5_c1.5	emmax_simes_region	292375	202	44	158	223	265	42	0.977358490566038	0.217821782178218	0.150222188747458	0.324046787709497	0.158490566037736	0.11660777385159	0.218253968253968
nobgs	V0.5_c1.5	emmax_consensus_region	292375	211	33	178	233	265	32	0.977358490566038	0.156398104265403	0.110525588833963	0.207734251686038	0.120754716981132	0.0763305951028818	0.170218810444874
nobgs	V0.5_c1.5	lfmm_snp_region	1518170	688	93	595	180	265	85	0.977358490566038	0.135174418604651	0.108924340565099	0.166672141918528	0.320754716981132	0.254749344071388	0.407843137254902
nobgs	V0.5_c1.5	lfmm_simes_region	292375	447	78	369	190	265	75	0.977358490566038	0.174496644295302	0.144825317604356	0.205241620636803	0.283018867924528	0.226415094339623	0.349628705794906
nobgs	V0.5_c2	emmax_snp_region	1553729	1304	34	1270	313	346	33	0.869942196531792	0.0260736196319018	0.0216412868091973	0.0296877029974016	0.0953757225433526	0.078163805057414	0.112095773715987
nobgs	V0.5_c2	emmax_simes_region	242330	882	22	860	325	346	21	0.869942196531792	0.0249433106575964	0.0195416446157172	0.0300925925925926	0.0606936416184971	0.0485700808625337	0.0753623188405797
nobgs	V0.5_c2	emmax_consensus_region	242330	626	10	616	337	346	9	0.869942196531792	0.0159744408945687	0.00547445255474453	0.0253878702397743	0.0260115606936416	0.00857081807081807	0.0469233491758519
nobgs	V0.5_c2	lfmm_snp_region	1553729	2758	92	2666	257	346	89	0.869942196531792	0.0333575054387237	0.0287742084707054	0.0384298613781461	0.257225433526012	0.220669390597237	0.298780487804878
nobgs	V0.5_c2	lfmm_simes_region	242330	1971	69	1902	278	346	68	0.869942196531792	0.0350076103500761	0.0286803064664529	0.041762493348245	0.196531791907514	0.166189111747851	0.226631777455695
nobgs	V1_c1	emmax_snp_region	1495690	276	85	191	85	156	71	0.980769230769231	0.307971014492754	0.257659742403042	0.389540101371497	0.455128205128205	0.378187086092715	0.526315789473684
nobgs	V1_c1	emmax_simes_region	292729	107	69	38	93	156	63	0.980769230769231	0.644859813084112	0.581182795698925	0.712996031746032	0.403846153846154	0.335483870967742	0.470588235294118
nobgs	V1_c1	emmax_consensus_region	292729	120	77	43	89	156	67	0.980769230769231	0.641666666666667	0.575342465753425	0.70873786407767	0.429487179487179	0.369426751592357	0.490069471497208
nobgs	V1_c1	lfmm_snp_region	1495690	304	108	196	73	156	83	0.980769230769231	0.355263157894737	0.297019862536712	0.417634068817681	0.532051282051282	0.469116268166901	0.597317615270636
nobgs	V1_c1	lfmm_simes_region	292729	156	84	72	77	156	79	0.980769230769231	0.538461538461538	0.466657303370787	0.619849791880316	0.506410256410256	0.450610129997547	0.57516339869281
nobgs	V1_c1.5	emmax_snp_region	1508205	245	27	218	241	274	33	0.989051094890511	0.110204081632653	0.0742281616909928	0.147784322124652	0.12043795620438	0.0629913969087197	0.190305727554179
nobgs	V1_c1.5	emmax_simes_region	290755	161	20	141	249	274	25	0.989051094890511	0.124223602484472	0.0757575757575758	0.159340659340659	0.0912408759124088	0.0366657509157509	0.167300750099865
nobgs	V1_c1.5	emmax_consensus_region	290755	180	17	163	254	274	20	0.989051094890511	0.0944444444444444	0.0691815535929346	0.116402116402116	0.072992700729927	0.0395633886591514	0.122679840866106
nobgs	V1_c1.5	lfmm_snp_region	1508205	575	76	499	197	274	77	0.989051094890511	0.132173913043478	0.0990679254777976	0.167230020969245	0.281021897810219	0.184902584085316	0.3970695914349
nobgs	V1_c1.5	lfmm_simes_region	290755	384	59	325	212	274	62	0.989051094890511	0.153645833333333	0.0967722915398661	0.216803032188485	0.226277372262774	0.133327922077922	0.34768219832736
nobgs	V2_c1	emmax_snp_region	1488482	151	54	97	79	128	49	0.9375	0.357615894039735	0.255030267140413	0.503877494964292	0.3828125	0.308256217466744	0.466680327868852
nobgs	V2_c1	emmax_simes_region	291359	80	43	37	90	128	38	0.9375	0.5375	0.404494382022472	0.662503765060241	0.296875	0.204918032786885	0.388888888888889
nobgs	V2_c1	emmax_consensus_region	291359	82	46	36	87	128	41	0.9375	0.560975609756098	0.460309523809524	0.671057137707282	0.3203125	0.241344827586207	0.390994674185464
nobgs	V2_c1	lfmm_snp_region	1488482	208	70	138	66	128	62	0.9375	0.336538461538462	0.279826405736158	0.395483330229093	0.484375	0.430894308943089	0.532788380997966
nobgs	V2_c1	lfmm_simes_region	291359	114	59	55	77	128	51	0.9375	0.517543859649123	0.424994469026549	0.613640282131661	0.3984375	0.305084745762712	0.4847
