tag	cell	rep	env	method	r2_axes	mantel_r	n_pop	n_regions	n_FP	fp_prop	any_fp	mean_null
bgs	V0.5_c1	5	6	emmax_simes	0.883323807986686	0.376137889003188	80	1	0	0	0	0.16
bgs	V0.5_c1	5	7	emmax_consensus	0.895570945658342	0.382416661106781	80	2	1	0.5	1	0.415
bgs	V0.5_c1	5	7	emmax_simes	0.895570945658342	0.382416661106781	80	2	1	0.5	1	0.115
bgs	V0.5_c1	5	8	emmax_consensus	0.82526705682829	0.369745876298992	80	2	0	0	0	0.125
bgs	V0.5_c1	5	8	emmax_simes	0.82526705682829	0.369745876298992	80	3	1	0.333333333333333	1	0.09
bgs	V0.5_c1	5	9	emmax_consensus	0.823391773680845	0.328532724810089	80	2	1	0.5	1	0.075
bgs	V0.5_c1	5	9	emmax_simes	0.823391773680845	0.328532724810089	80	2	1	0.5	1	0.025
bgs	V0.5_c1	5	10	emmax_consensus	0.823193718543636	0.353959533036725	80	0	0		0	0.01
bgs	V0.5_c1	5	10	emmax_simes	0.823193718543636	0.353959533036725	80	0	0		0	0.01
bgs	V0.5_c1	6	1	emmax_consensus	0.876581924805015	0.50358816527533	80	0	0		0	0.055
bgs	V0.5_c1	6	1	emmax_simes	0.876581924805015	0.50358816527533	80	0	0		0	0.125
bgs	V0.5_c1	6	2	emmax_consensus	0.914913834842652	0.486428236205193	80	2	1	0.5	1	0.335
bgs	V0.5_c1	6	2	emmax_simes	0.914913834842652	0.486428236205193	80	3	2	0.666666666666667	1	0.395
bgs	V0.5_c1	6	3	emmax_consensus	0.929849749070193	0.568992575559732	80	3	1	0.333333333333333	1	0.415
bgs	V0.5_c1	6	3	emmax_simes	0.929849749070193	0.568992575559732	80	3	1	0.333333333333333	1	0.545
bgs	V0.5_c1	6	4	emmax_consensus	0.877299846625716	0.477088041442469	80	1	1	1	1	1.47
bgs	V0.5_c1	6	4	emmax_simes	0.877299846625716	0.477088041442469	80	1	1	1	1	1.49
bgs	V0.5_c1	6	5	emmax_consensus	0.888567078894022	0.439801282662062	80	1	0	0	0	0.21
bgs	V0.5_c1	6	5	emmax_simes	0.888567078894022	0.439801282662062	80	1	0	0	0	0.12
bgs	V0.5_c1	6	6	emmax_consensus	0.876923956315471	0.349068091571533	80	3	0	0	0	0.15
bgs	V0.5_c1	6	6	emmax_simes	0.876923956315471	0.349068091571533	80	3	0	0	0	0.11
bgs	V0.5_c1	6	7	emmax_consensus	0.845041179816176	0.379643188788252	80	3	2	0.666666666666667	1	0.175
bgs	V0.5_c1	6	7	emmax_simes	0.845041179816176	0.379643188788252	80	3	2	0.666666666666667	1	0.15
bgs	V0.5_c1	6	8	emmax_consensus	0.87459496435047	0.36742860068115	80	1	0	0	0	0.2
bgs	V0.5_c1	6	8	emmax_simes	0.87459496435047	0.36742860068115	80	1	0	0	0	0.155
bgs	V0.5_c1	6	9	emmax_consensus	0.832295320905444	0.340792004224589	80	0	0		0	0.63
bgs	V0.5_c1	6	9	emmax_simes	0.832295320905444	0.340792004224589	80	0	0		0	0.695
bgs	V0.5_c1	6	10	emmax_consensus	0.82601857806999	0.367926389126541	80	1	1	1	1	0.2
bgs	V0.5_c1	6	10	emmax_simes	0.82601857806999	0.367926389126541	80	1	1	1	1	0.255
bgs	V0.5_c1	8	1	emmax_consensus	0.865410107086876	0.486654357987801	80	1	1	1	1	0.235
bgs	V0.5_c1	8	1	emmax_simes	0.865410107086876	0.486654357987801	80	1	1	1	1	0.195
bgs	V0.5_c1	8	2	emmax_consensus	0.910747089464121	0.483643403730845	80	5	3	0.6	1	0.465
bgs	V0.5_c1	8	2	emmax_simes	0.910747089464121	0.483643403730845	80	3	1	0.333333333333333	1	0.49
bgs	V0.5_c1	8	3	emmax_consensus	0.925853608913242	0.57423076794975	80	11	9	0.818181818181818	1	0.145
bgs	V0.5_c1	8	3	emmax_simes	0.925853608913242	0.57423076794975	80	9	7	0.777777777777778	1	0.12
bgs	V0.5_c1	8	4	emmax_consensus	0.891032516244555	0.495404295954252	80	2	1	0.5	1	0.125
bgs	V0.5_c1	8	4	emmax_simes	0.891032516244555	0.495404295954252	80	4	3	0.75	1	0.135
bgs	V0.5_c1	8	5	emmax_consensus	0.869991505191127	0.419486744309932	80	5	3	0.6	1	0.75
bgs	V0.5_c1	8	5	emmax_simes	0.869991505191127	0.419486744309932	80	5	4	0.8	1	0.775
bgs	V0.5_c1	8	6	emmax_consensus	0.864377796071724	0.395820335237423	80	9	6	0.666666666666667	1	0.225
bgs	V0.5_c1	8	6	emmax_simes	0.864377796071724	0.395820335237423	80	9	7	0.777777777777778	1	0.28
bgs	V0.5_c1	8	7	emmax_consensus	0.863587929672345	0.39542194274949	80	4	3	0.75	1	0.095
bgs	V0.5_c1	8	7	emmax_simes	0.863587929672345	0.39542194274949	80	3	2	0.666666666666667	1	0.075
bgs	V0.5_c1	8	8	emmax_consensus	0.87957641938082	0.358963951795783	80	1	0	0	0	0.605
bgs	V0.5_c1	8	8	emmax_simes	0.87957641938082	0.358963951795783	80	0	0		0	0.425
bgs	V0.5_c1	8	9	emmax_consensus	0.820792632606069	0.349265159664693	80	1	0	0	0	0.205
bgs	V0.5_c1	8	9	emmax_simes	0.820792632606069	0.349265159664693	80	1	0	0	0	0.15
bgs	V0.5_c1	8	10	emmax_consensus	0.835268002470723	0.355663644311747	80	0	0		0	0.28
bgs	V0.5_c1	8	10	emmax_simes	0.835268002470723	0.355663644311747	80	0	0		0	0.195
bgs	V0.5_c1.5	2	1	emmax_consensus	0.8822666674035	0.570581479340172	80	3	2	0.666666666666667	1	7.345
bgs	V0.5_c1.5	2	1	emmax_simes	0.8822666674035	0.570581479340172	80	4	3	0.75	1	5.525
bgs	V0.5_c1.5	2	2	emmax_consensus	0.930459040571315	0.485503749140267	80	6	6	1	1	9.425
bgs	V0.5_c1.5	2	2	emmax_simes	0.930459040571315	0.485503749140267	80	0	0		0	7.395
