tag	cell	rep	method	scheme	sum_E_null	sum_n_obs	sum_TP	sum_FP	n_envs	R_null_obs	FDP_truth	above_one
bgs	V0.5_c1.5	8	EMMAX consensus	Group permutation	16.2	31	4	27	10	0.52258064516129	0.870967741935484	FALSE
bgs	V0.5_c1.5	8	EMMAX consensus	Kinship-matched (MVN)	0.45	31	4	27	10	0.0145161290322581	0.870967741935484	FALSE
bgs	V0.5_c1.5	8	EMMAX consensus	Spatial MVN	111.165	31	4	27	10	3.58596774193548	0.870967741935484	TRUE
bgs	V0.5_c1.5	8	EMMAX Simes	Group permutation	15.08	27	4	23	10	0.558518518518519	0.851851851851852	FALSE
bgs	V0.5_c1.5	8	EMMAX Simes	Kinship-matched (MVN)	0.445	27	4	23	10	0.0164814814814815	0.851851851851852	FALSE
bgs	V0.5_c1.5	8	EMMAX Simes	Spatial MVN	85.42	27	4	23	10	3.1637037037037	0.851851851851852	TRUE
bgs	V0.5_c1.5	10	EMMAX consensus	Group permutation	15.49	27	4	23	10	0.573703703703704	0.851851851851852	FALSE
bgs	V0.5_c1.5	10	EMMAX consensus	Kinship-matched (MVN)	0.605	27	4	23	10	0.0224074074074074	0.851851851851852	FALSE
bgs	V0.5_c1.5	10	EMMAX consensus	Spatial MVN	101.74	27	4	23	10	3.76814814814815	0.851851851851852	TRUE
bgs	V0.5_c1.5	10	EMMAX Simes	Group permutation	14.05	16	5	11	10	0.878125	0.6875	FALSE
bgs	V0.5_c1.5	10	EMMAX Simes	Kinship-matched (MVN)	0.49	16	5	11	10	0.030625	0.6875	FALSE
bgs	V0.5_c1.5	10	EMMAX Simes	Spatial MVN	77.915	16	5	11	10	4.8696875	0.6875	TRUE
bgs	V0.5_c2	2	EMMAX consensus	Group permutation	50.97	76	2	74	10	0.670657894736842	0.973684210526316	FALSE
bgs	V0.5_c2	2	EMMAX consensus	Kinship-matched (MVN)	0.56	76	2	74	10	0.00736842105263158	0.973684210526316	FALSE
bgs	V0.5_c2	2	EMMAX consensus	Spatial MVN	344.43	76	2	74	10	4.53197368421053	0.973684210526316	TRUE
bgs	V0.5_c2	2	EMMAX Simes	Group permutation	84.605	118	3	115	10	0.716991525423729	0.974576271186441	FALSE
bgs	V0.5_c2	2	EMMAX Simes	Kinship-matched (MVN)	0.53	118	3	115	10	0.00449152542372881	0.974576271186441	FALSE
bgs	V0.5_c2	2	EMMAX Simes	Spatial MVN	362.53	118	3	115	10	3.07228813559322	0.974576271186441	TRUE
bgs	V0.5_c2	5	EMMAX consensus	Group permutation	37.095	91	2	89	10	0.407637362637363	0.978021978021978	FALSE
bgs	V0.5_c2	5	EMMAX consensus	Kinship-matched (MVN)	0.545	91	2	89	10	0.00598901098901099	0.978021978021978	FALSE
bgs	V0.5_c2	5	EMMAX consensus	Spatial MVN	311.78	91	2	89	10	3.42615384615385	0.978021978021978	TRUE
bgs	V0.5_c2	5	EMMAX Simes	Group permutation	66.015	123	5	118	10	0.536707317073171	0.959349593495935	FALSE
bgs	V0.5_c2	5	EMMAX Simes	Kinship-matched (MVN)	0.52	123	5	118	10	0.00422764227642276	0.959349593495935	FALSE
bgs	V0.5_c2	5	EMMAX Simes	Spatial MVN	330.585	123	5	118	10	2.68768292682927	0.959349593495935	TRUE
bgs	V0.5_c2	6	EMMAX consensus	Group permutation	37.865	88	2	86	10	0.430284090909091	0.977272727272727	FALSE
bgs	V0.5_c2	6	EMMAX consensus	Kinship-matched (MVN)	0.575	88	2	86	10	0.00653409090909091	0.977272727272727	FALSE
