method_a	method_b	label	diff_precision	diff_precision_ci_lo	diff_precision_ci_hi	diff_recall	diff_recall_ci_lo	diff_recall_ci_hi
emmax_simes_region	emmax_snp_region	EMMAX Simes - marker-wise EMMAX	0.214070233693193	0.171801937549972	0.256204193768433	-0.0544069640914037	-0.0713501646542261	-0.0397329112816174
emmax_consensus_region	emmax_snp_region	EMMAX consensus - marker-wise EMMAX	0.198157937859346	0.172359979047578	0.22180943364746	-0.0554951033732318	-0.0756524680165489	-0.0327850975204248
emmax_simes_region	emmax_consensus_region	EMMAX Simes - EMMAX consensus	0.0159122958338468	-0.00497644184043908	0.0368643169162504	0.0010881392818281	-0.0169742251739405	0.0193772420703653
lfmm_simes_region	lfmm_snp_region	LFMM Simes - marker-wise LFMM	0.156591742801772	0.135941486623806	0.174627240852064	-0.0511425462459194	-0.0682086986231662	-0.0362471536509332
