marker_bin	n_regions	n_TP	observed_tp_rate	opportunity_hit_rate	excess_ratio
1	2494	147	0.0589414595028067	0.00365477145148356	16.1272627537027
2	4586	480	0.104666375926734	0.00662668992586132	15.7946692991116
3-5	7554	823	0.108948901244374	0.010957108816521	9.94321614111393
6-10	6899	776	0.112480069575301	0.0184910856645891	6.08293485929294
11-20	6201	812	0.130946621512659	0.0295750685373327	4.42760162490799
21-50	4339	787	0.181378197741415	0.0505969117308136	3.58476815158969
51+	1327	501	0.377543330821402	0.108730218538056	3.4722944172991
