tag	cell	method	reference_method	diff_precision	diff_precision_ci_lo	diff_precision_ci_hi	diff_recall	diff_recall_ci_lo	diff_recall_ci_hi
nobgs	V0.5_c1	emmax_snp_nonsingleton	emmax_snp	0.00744059912889605	0.00370189675890129	0.0143404329271308	-0.0294117647058824	-0.0663586097946288	-0.00436357412478724
nobgs	V0.5_c1	emmax_simes	emmax_snp	0.273752281642164	0.1757530880785	0.360675057939414	-0.0539215686274509	-0.0854343144292893	-0.020618556701031
nobgs	V0.5_c1	emmax_consensus	emmax_snp	0.226141448452583	0.141602590610524	0.306308751286611	-0.0784313725490196	-0.127962085308057	-0.0362647561561882
nobgs	V0.5_c1.5	emmax_snp_nonsingleton	emmax_snp	0.0040348094011059	0.00198773074155484	0.00985337307083515	0	0	0
nobgs	V0.5_c1.5	emmax_simes	emmax_snp	0.0355581939569138	-0.0569331628818837	0.124419581972369	-0.0339622641509434	-0.0703125	-0.0037593984962406
nobgs	V0.5_c1.5	emmax_consensus	emmax_snp	-0.025851131744608	-0.116227241398216	0.036467331294917	-0.0716981132075472	-0.111969111969112	-0.0307601351351352
nobgs	V0.5_c2	emmax_snp_nonsingleton	emmax_snp	-0.000382655465340696	-0.00114040863132024	0.000331297899796212	-0.0115606936416185	-0.0214083694489784	-0.00277008310249308
nobgs	V0.5_c2	emmax_simes	emmax_snp	0.00491349551119958	-0.00356634211210539	0.0120412254272653	-0.0144508670520231	-0.0358235767271427	0.00824232585596222
nobgs	V0.5_c2	emmax_consensus	emmax_snp	-0.00404097046654121	-0.0155440816501417	0.00542584621052981	-0.0491329479768786	-0.0603467809146786	-0.0372466230045027
nobgs	V1_c1	emmax_snp_nonsingleton	emmax_snp	0.012286442181688	0.00822093313115696	0.0224174265814269	-0.0128205128205128	-0.0314465408805031	0
nobgs	V1_c1	emmax_simes	emmax_snp	0.161404745125675	0.0907013243999138	0.216796784360213	-0.0512820512820513	-0.0817610062893082	-0.0194805194805195
nobgs	V1_c1	emmax_consensus	emmax_snp	0.185056846491824	0.104572542117248	0.244192351633092	-0.0256410256410257	-0.0714402427637721	0.0246913580246914
nobgs	V1_c1.5	emmax_snp_nonsingleton	emmax_snp	0.00812635439239873	0.00439487923329751	0.0129765474722186	0	0	0
nobgs	V1_c1.5	emmax_simes	emmax_snp	-0.0459747434885557	-0.104947753701935	0.000505983252023411	-0.00729927007299271	-0.033210332103321	0.0246544659415568
