cell	method	arm	floor	precision	recall	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi
V0.5_c1.5	lfmm	A_unrestricted_marker	10	0.133088235294118	0.302197802197802	0.0402189722042663	0.0301825580340755	0.0541014207546798
V0.5_c1.5	lfmm	B_floor_filtered_marker	10	0.233082706766917	0.267399267399267	0.0623261450329119	0.046778191750845	0.0788262631327817
V0.5_c1.5	lfmm	C_stage1_simes	10	0.293139293139293	0.243589743589744	0.0714057252518791	0.052805662031609	0.0924814454941676
V0.5_c1.5	emmax	A_unrestricted_marker	20	0.152958152958153	0.17948717948718	0.0274540274540275	0.018327489052639	0.0411132882525767
V0.5_c1.5	emmax	B_floor_filtered_marker	20	0.290983606557377	0.13003663003663	0.037838527592626	0.0233508328816223	0.055113219885438
V0.5_c1.5	emmax	C_stage1_simes	20	0.368715083798883	0.120879120879121	0.0445699551844803	0.0291141394928953	0.0620714218555775
V0.5_c1.5	emmax	D_stage1_consensus	20	0.330049261083744	0.124542124542125	0.0411050361789278	0.0249634234894452	0.0603912458470284
V0.5_c1.5	lfmm	A_unrestricted_marker	20	0.133088235294118	0.302197802197802	0.0402189722042663	0.0301825580340755	0.0541014207546798
V0.5_c1.5	lfmm	B_floor_filtered_marker	20	0.314878892733564	0.168498168498169	0.0530565167243368	0.0373728108534738	0.0727028968906742
V0.5_c1.5	lfmm	C_stage1_simes	20	0.381818181818182	0.152014652014652	0.058041958041958	0.0422343936968402	0.0771537769220909
V0.5_c2	emmax	A_unrestricted_marker	1	0.0241138872748402	0.116083916083916	0.00279923446686956	0.00212905689792076	0.00354559162703071
V0.5_c2	emmax	B_floor_filtered_marker	1	0.0241138872748402	0.116083916083916	0.00279923446686956	0.00212905689792076	0.00354559162703071
V0.5_c2	emmax	C_stage1_simes	1	0.0289330922242315	0.0685314685314685	0.001982827299283	0.00103945940959415	0.00333218932114171
V0.5_c2	emmax	D_stage1_consensus	1	0.0222437137330754	0.0307692307692308	0.000684421961017706	0.000225763094080358	0.00129930644302985
V0.5_c2	lfmm	A_unrestricted_marker	1	0.0295542635658915	0.251748251748252	0.00744023418442023	0.00598274529852907	0.00867049031867011
V0.5_c2	lfmm	B_floor_filtered_marker	1	0.0295542635658915	0.251748251748252	0.00744023418442023	0.00598274529852907	0.00867049031867011
V0.5_c2	lfmm	C_stage1_simes	1	0.0320344250537891	0.191608391608392	0.0061380646606561	0.00455189687116599	0.00761836871274493
V0.5_c2	emmax	A_unrestricted_marker	2	0.0241138872748402	0.116083916083916	0.00279923446686956	0.00212905689792076	0.00354559162703071
V0.5_c2	emmax	B_floor_filtered_marker	2	0.0258495498112112	0.124475524475524	0.0032176362702067	0.00265021516598223	0.00386568143713633
V0.5_c2	emmax	C_stage1_simes	2	0.0239324260910371	0.0727272727272727	0.00174054007934815	0.00100750449380273	0.00275614352440492
V0.5_c2	emmax	D_stage1_consensus	2	0.0192704748795595	0.0377622377622378	0.000727696254193157	0.000319941156468774	0.00127248788726533
V0.5_c2	lfmm	A_unrestricted_marker	2	0.0295542635658915	0.251748251748252	0.00744023418442023	0.00598274529852907	0.00867049031867011
V0.5_c2	lfmm	B_floor_filtered_marker	2	0.0309243123184692	0.248951048951049	0.00769863998977274	0.0061846161005456	0.00922115642732516
V0.5_c2	lfmm	C_stage1_simes	2	0.0323236889692586	0.202797202797203	0.00655515370705244	0.00518840993519952	0.00764604513761121
V0.5_c2	emmax	A_unrestricted_marker	3	0.0241138872748402	0.116083916083916	0.00279923446686956	0.00212905689792076	0.00354559162703071
