method	floor	arm_x	arm_z	diff_precision	diff_precision_ci_lo	diff_precision_ci_hi	diff_recall	diff_recall_ci_lo	diff_recall_ci_hi	diff_fdp	diff_fdp_ci_lo	diff_fdp_ci_hi	diff_n_tests	diff_n_tests_ci_lo	diff_n_tests_ci_hi	diff_n_regions	diff_n_regions_ci_lo	diff_n_regions_ci_hi
emmax	10	C_stage1_simes	B_floor_filtered_marker	0.0213231041823037	0.0127621203663841	0.0306471846394433	-0.0209948320413437	-0.0294877715234643	-0.0131143246696083	-0.0213231041823037	-0.0306471846394434	-0.0127621203663841	-2598480	-3071214.9	-2155747.275	-959	-1172.025	-774
emmax	10	C_stage1_simes	A_unrestricted_marker	0.0436638714926049	0.0286743387709036	0.0575429347302606	-0.0865633074935401	-0.102098424178605	-0.0715859896188891	-0.043663871492605	-0.0575429347302607	-0.0286743387709036	-21704400	-21808520.3	-21581649.8	-3943	-4340.075	-3602.95
emmax	10	D_stage1_consensus	B_floor_filtered_marker	0.0412762938987461	0.0305715117988029	0.0529850251882927	-0.0184108527131783	-0.0248955282677138	-0.0109675651504752	-0.0412762938987461	-0.0529850251882926	-0.0305715117988028	-2598480	-3071214.9	-2155747.275	-1203	-1432	-1005
emmax	10	D_stage1_consensus	A_unrestricted_marker	0.0636170612090473	0.0463927026661711	0.0814593395901434	-0.0839793281653747	-0.0980397078510119	-0.0674167188641821	-0.0636170612090474	-0.0814593395901434	-0.0463927026661711	-21704400	-21808520.3	-21581649.8	-4187	-4612.025	-3813
emmax	20	B_floor_filtered_marker	A_unrestricted_marker	0.0532359044766476	0.0246241227007685	0.0862536531361254	-0.135981912144703	-0.155694099807508	-0.113547250804873	-0.0532359044766476	-0.0862536531361255	-0.0246241227007685	-20631724	-20986989.75	-20245379.9	-5032	-5328	-4769
emmax	20	C_stage1_simes	B_floor_filtered_marker	0.0246469992433553	0.0179494336482523	0.0318678307461595	-0.00775193798449612	-0.0113152444467217	-0.00455822167653291	-0.0246469992433553	-0.0318678307461595	-0.0179494336482522	-1191575	-1488869.325	-911691.725000001	-335	-424	-253
emmax	20	C_stage1_simes	A_unrestricted_marker	0.077882903720003	0.0466431473460229	0.111386252618515	-0.143733850129199	-0.161562997538372	-0.122895996180378	-0.077882903720003	-0.111386252618515	-0.046643147346023	-21823299	-21913653.325	-21714970.9	-5367	-5683.025	-5097
emmax	20	D_stage1_consensus	B_floor_filtered_marker	0.0513220703970639	0.0426391051984936	0.0604957983304458	-0.00484496124031007	-0.00955558364732684	7.90388871320369e-06	-0.0513220703970639	-0.0604957983304458	-0.0426391051984936	-1191575	-1488869.325	-911691.725000001	-434	-522	-361
emmax	20	D_stage1_consensus	A_unrestricted_marker	0.104557974873711	0.0704259995203167	0.145035750060519	-0.140826873385013	-0.159132416383672	-0.118090310010096	-0.104557974873712	-0.145035750060519	-0.0704259995203167	-21823299	-21913653.325	-21714970.9	-5466	-5762.025	-5207.975
lfmm	1	B_floor_filtered_marker	A_unrestricted_marker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lfmm	1	C_stage1_simes	B_floor_filtered_marker	0.0282990892732548	0.0210304397498038	0.0362622146485786	-0.0633074935400517	-0.0719452380886314	-0.0550339151571858	-0.0282990892732548	-0.0362622146485786	-0.0210304397498037	-10363445	-10689434.925	-10048631.4	-4621	-5043	-4207.875
lfmm	1	C_stage1_simes	A_unrestricted_marker	0.0282990892732548	0.0210304397498038	0.0362622146485786	-0.0633074935400517	-0.0719452380886314	-0.0550339151571858	-0.0282990892732548	-0.0362622146485786	-0.0210304397498037	-10363445	-10689434.925	-10048631.4	-4621	-5043	-4207.875
lfmm	2	B_floor_filtered_marker	A_unrestricted_marker	0.000857089924652887	-0.00217127341664563	0.00354970718561087	-0.002906976744186	-0.011097240976708	0.00399473922816825	-0.000857089924652943	-0.00354970718561091	0.00217127341664559	-7391765	-7655816.075	-7107887.15	-182	-315.025	-52.9500000000003
lfmm	2	C_stage1_simes	B_floor_filtered_marker	0.019966135807901	0.0149282231384844	0.0254059676272694	-0.0429586563307494	-0.052441662940647	-0.0341220387280941	-0.019966135807901	-0.0254059676272695	-0.0149282231384844	-10363445	-10689434.925	-10048631.4	-3589	-3976.05	-3235
lfmm	2	C_stage1_simes	A_unrestricted_marker	0.0208232257325539	0.0146128753017792	0.026681700912089	-0.0458656330749354	-0.0553165030394507	-0.0368829397302325	-0.0208232257325539	-0.0266817009120891	-0.0146128753017792	-17755210	-17824302.5	-17690703	-3771	-4171.125	-3407.95
lfmm	3	B_floor_filtered_marker	A_unrestricted_marker	0.000973126304659289	-0.00257544268934052	0.00437970139224954	-0.0132428940568475	-0.0255762747532566	-0.000327483180007667	-0.000973126304659289	-0.00437970139224957	0.00257544268934058	-11748877	-12237987.15	-11205608.45	-924	-1214	-662.975
