method	precision	primary_ci_lo	primary_ci_hi	crossed_ci_lo	crossed_ci_hi	recall	primary_recall_ci_lo	primary_recall_ci_hi	crossed_recall_ci_lo	crossed_recall_ci_hi
emmax_snp_region	0.123610693902073	0.117088551318138	0.130256961578519	0.10216351965759	0.157652981969487	0.230297157622739	0.215183004276307	0.245108187929016	0.187309548627526	0.26863132821385
emmax_simes_region	0.16260162601626	0.153319869967784	0.173000541328087	0.131181444565842	0.212915471277078	0.189599483204134	0.175092228167291	0.204330116486647	0.149744196793659	0.22755133750343
emmax_consensus_region	0.175072463768116	0.166758682521706	0.184888546009033	0.141558948848181	0.237932521139297	0.176356589147287	0.161556929800594	0.190796430643592	0.13628671954878	0.214031088812046
