method	scheme	n_map_groups	n_complete	frac_zero_obs_regions	spearman_rho	slope	intercept	mean_signed_diff	median_abs_diff	pooled_E_null	pooled_n_obs	pooled_TP	pooled_FP	pooled_R_null_obs	pooled_R_null_obs_ci_lo	pooled_R_null_obs_ci_hi	pooled_FDP_truth	pooled_FDP_truth_ci_lo	pooled_FDP_truth_ci_hi
emmax_consensus	group	28	28	0	-0.539304482255255	-0.352442826074217	0.977421738377627	0.100122893865888	0.379903703703704	471.79	759	131	628	0.621594202898551	0.553771525127466	0.731589489406142	0.827404479578393	0.722350840103908	0.891791482436748
emmax_consensus	mvn	28	28	0	-0.630238503641108	-4.26859674463058	0.864114595722771	-0.657377025563244	0.783326023391813	15.44	759	131	628	0.0203425559947299	0.0153583763242745	0.0290557226327548	0.827404479578393	0.722350840103908	0.891791482436748
emmax_consensus	spatial	28	28	0	0.668858072964618	0.0570929109963044	0.535002262679049	2.13410875812291	2.074294332211	2326.605	759	131	628	3.0653557312253	2.31158714499953	3.66952579110637	0.827404479578393	0.722350840103908	0.891791482436748
emmax_simes	group	28	28	0	-0.365950461891486	-0.40878382037049	1.00708744800355	0.12624792892291	0.291666666666667	562.855	821	144	677	0.685572472594397	0.634252278477107	0.778582090336134	0.824604141291108	0.695010596093856	0.892177640990073
emmax_simes	mvn	28	28	0	-0.498699881500589	-6.11499054835512	0.884411095768144	-0.644512586085085	0.787804487179487	14	821	144	677	0.0170523751522534	0.0118712510386717	0.0273562330364311	0.824604141291108	0.695010596093856	0.892177640990073
emmax_simes	spatial	28	28	0	0.616942663502924	0.0768010152810842	0.494750325639273	1.71079571166595	1.72551134751773	2139.245	821	144	677	2.60565773447016	2.02265091635338	3.02976130090799	0.824604141291108	0.695010596093856	0.892177640990073
