floor	mean_n_eligible_units	mean_n_tests	mean_frac_markers_retained	mean_n_chr_represented
1	8212.73642857143	8212.73642857143	1	2
2	2932.90428571429	2932.90428571429	0.659532281252059	2
3	1376.79285714286	1376.79285714286	0.458968437782981	2
5	481.92	481.92	0.268199729470145	2
10	112.054285714286	112.054285714286	0.122812589253455	2
20	27.1264285714286	27.1264285714286	0.0544370917353323	1.97571428571429
