cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,PR_AUC_C,PR_AUC_alpha
V0.5_c1_env8,bgs,emmax,3,20,230567,1599,592,0.465880610617453,0.480253251152641
V0.5_c1_env8,bgs,lfmm,1,20,230567,2400,967,0.513958333333333,0.556938111858081
V0.5_c1_env8,bgs,lfmm,3,20,230567,2400,967,0.496063311688312,0.544536889040282
V0.5_c1_env8,nobgs,emmax,1,23,297425,5028,2857,0.369685157590541,0.450475516123713
V0.5_c1_env8,nobgs,emmax,3,23,297425,5028,2857,0.410920204709025,0.521622761160673
V0.5_c1_env8,nobgs,lfmm,1,23,297425,3433,1377,0.41279541933294,0.480894761983864
V0.5_c1_env8,nobgs,lfmm,3,23,297425,3433,1377,0.534250532076619,0.504342281746665
V0.5_c1_env9,bgs,emmax,1,20,231231,416,71,0.445805860805861,0.38750815394651
V0.5_c1_env9,bgs,emmax,3,20,231231,416,71,0.419286881419234,0.338095238095238
V0.5_c1_env9,bgs,lfmm,1,20,231231,370,75,0.446311858076564,0.355312110834371
V0.5_c1_env9,bgs,lfmm,3,20,231231,370,75,0.398629148629149,0.366018907563025
V0.5_c1_env9,nobgs,emmax,1,19,295558,3658,2267,0.513040935672515,0.487441897867415
V0.5_c1_env9,nobgs,emmax,3,19,295558,3658,2267,0.504318181818182,0.501980199903359
V0.5_c1_env9,nobgs,lfmm,1,19,295558,1946,901,0.48452380952381,0.482118339326577
V0.5_c1_env9,nobgs,lfmm,3,19,295558,1946,901,0.526315789473684,0.488181237407244
V0.5_c1_env10,bgs,emmax,1,17,231847,581,303,0.476508785332315,0.500667184796867
V0.5_c1_env10,bgs,emmax,3,17,231847,581,303,0.564253393665158,0.554575163398693
V0.5_c1_env10,bgs,lfmm,1,17,231847,2089,765,0.334154320512273,0.506838180379859
V0.5_c1_env10,bgs,lfmm,3,17,231847,2089,765,0.444359609515448,0.501660777846028
V0.5_c1_env10,nobgs,emmax,1,21,302905,3930,1818,0.276355092276145,0.457785090780498
V0.5_c1_env10,nobgs,emmax,3,21,302905,3930,1818,0.303849898442999,0.395624798502397
V0.5_c1_env10,nobgs,lfmm,1,21,302905,3708,1624,0.246508268400283,0.433429858429858
V0.5_c1_env10,nobgs,lfmm,3,21,302905,3708,1624,0.324549062049062,0.435839598997494
