cell,tag,engine,l_min,n_true,n_markers,n_Cgt0,n_BH05,recall_cap,max_recall_C,max_recall_alpha,PR_AUC_C,PR_AUC_alpha,PR_AUC_C_cs,PR_AUC_alpha_cs
V0.5_c2_env8,nobgs,emmax,1,33,367971,7586,3770,0.333333333333333,0.333333333333333,0.393939393939394,0.0329336884793123,0.0162304257120851,0.0329336884793123,0.0153546733924114
V0.5_c2_env8,nobgs,emmax,3,33,367971,7586,3770,0.272727272727273,0.272727272727273,0.303030303030303,0.0708178147999794,0.0132728843248242,0.0708178147999794,0.0123974889353425
V0.5_c2_env8,nobgs,lfmm,1,33,367971,14271,9445,0.545454545454545,0.545454545454545,0.666666666666667,0.06731981826789,0.0300677453170673,0.06731981826789,0.0276780112508859
V0.5_c2_env8,nobgs,lfmm,3,33,367971,14271,9445,0.454545454545455,0.454545454545455,0.484848484848485,0.0661039421229585,0.0246395226662986,0.0661039421229585,0.0238544266387169
V0.5_c2_env9,bgs,emmax,1,41,312443,913,7,0.0975609756097561,0.0975609756097561,0.170731707317073,0.0454575828448197,0.0122551789004215,0.0454575828448197,0.00984708662503881
V0.5_c2_env9,bgs,emmax,3,41,312443,913,7,0.024390243902439,0.024390243902439,0.0731707317073171,0.00101626016260163,0.00232976638066776,0.00101626016260163,0.000530222693531283
V0.5_c2_env9,bgs,lfmm,1,41,312443,5173,3662,0.341463414634146,0.341463414634146,0.463414634146342,0.0351777347384399,0.0180350370301471,0.0351777347384399,0.0146241429836122
V0.5_c2_env9,bgs,lfmm,3,41,312443,5173,3662,0.292682926829268,0.292682926829268,0.365853658536585,0.0350237687365889,0.0237539864440649,0.0350237687365889,0.0192496262583565
V0.5_c2_env9,nobgs,emmax,1,35,370766,320,65,0.2,0.2,0.228571428571429,0.0878703416149068,0.148177494587184,0.0878703416149068,0.146817538896747
V0.5_c2_env9,nobgs,emmax,3,35,370766,320,65,0.0857142857142857,0.0857142857142857,0.114285714285714,0.0396103896103896,0.0741341542833462,0.0396103896103896,0.0725563909774436
V0.5_c2_env9,nobgs,lfmm,1,35,370766,2449,1167,0.457142857142857,0.457142857142857,0.6,0.0845972235025469,0.0444593360037554,0.0845972235025469,0.0387520463807839
V0.5_c2_env9,nobgs,lfmm,3,35,370766,2449,1167,0.2,0.2,0.428571428571429,0.0284423205902079,0.0551209739322187,0.0284423205902079,0.0456942989397351
V0.5_c2_env10,bgs,emmax,1,34,311707,2794,1655,0.411764705882353,0.411764705882353,0.5,0.0552274633821852,0.0419213002270097,0.0552274633821852,0.0368311103487671
V0.5_c2_env10,bgs,emmax,3,34,311707,2794,1655,0.382352941176471,0.382352941176471,0.441176470588235,0.0735386623114573,0.0693797360244221,0.0735386623114573,0.065736210877822
