route,floor,R,R_ntrl,f_ntrl,cell,tag,env
best,2,61,3,0.53906062523179,V0.5_c1,nobgs,3
best,5,61,2,0.529556046112338,V0.5_c1,nobgs,3
best,8,54,1,0.532761578044597,V0.5_c1,nobgs,3
simes,1,35,1,0.542134747011134,V0.5_c1,nobgs,3
simes,2,33,2,0.53906062523179,V0.5_c1,nobgs,3
simes,5,32,1,0.529556046112338,V0.5_c1,nobgs,3
simes,8,30,0,0.532761578044597,V0.5_c1,nobgs,3
cons,1,18,1,0.529802689702562,V0.5_c1,nobgs,4
cons,2,24,1,0.525655741189474,V0.5_c1,nobgs,4
cons,5,22,1,0.52328,V0.5_c1,nobgs,4
cons,8,21,1,0.529889923793395,V0.5_c1,nobgs,4
best,1,27,1,0.529802689702562,V0.5_c1,nobgs,4
best,2,31,3,0.525655741189474,V0.5_c1,nobgs,4
best,5,42,6,0.52328,V0.5_c1,nobgs,4
best,8,40,5,0.529889923793395,V0.5_c1,nobgs,4
simes,1,20,1,0.529802689702562,V0.5_c1,nobgs,4
simes,2,25,1,0.525655741189474,V0.5_c1,nobgs,4
simes,5,24,3,0.52328,V0.5_c1,nobgs,4
simes,8,21,2,0.529889923793395,V0.5_c1,nobgs,4
cons,1,10,0,0.54137806056701,V0.5_c1,nobgs,5
cons,2,11,0,0.541826755151939,V0.5_c1,nobgs,5
cons,5,12,0,0.539877300613497,V0.5_c1,nobgs,5
cons,8,14,0,0.5404659188956,V0.5_c1,nobgs,5
best,1,17,0,0.54137806056701,V0.5_c1,nobgs,5
best,2,21,1,0.541826755151939,V0.5_c1,nobgs,5
best,5,25,0,0.539877300613497,V0.5_c1,nobgs,5
best,8,29,2,0.5404659188956,V0.5_c1,nobgs,5
simes,1,9,0,0.54137806056701,V0.5_c1,nobgs,5
simes,2,10,0,0.541826755151939,V0.5_c1,nobgs,5
simes,5,12,0,0.539877300613497,V0.5_c1,nobgs,5
simes,8,11,0,0.5404659188956,V0.5_c1,nobgs,5
cons,1,22,9,0.518627836809655,V0.5_c2,bgs,1
cons,2,34,14,0.513112113402062,V0.5_c2,bgs,1
cons,5,50,19,0.510893003197264,V0.5_c2,bgs,1
cons,8,51,19,0.507499385296287,V0.5_c2,bgs,1
best,1,92,43,0.518627836809655,V0.5_c2,bgs,1
best,2,145,72,0.513112113402062,V0.5_c2,bgs,1
best,5,257,116,0.510893003197264,V0.5_c2,bgs,1
best,8,291,134,0.507499385296287,V0.5_c2,bgs,1
simes,1,20,6,0.518627836809655,V0.5_c2,bgs,1
simes,2,40,17,0.513112113402062,V0.5_c2,bgs,1
simes,5,55,21,0.510893003197264,V0.5_c2,bgs,1
simes,8,57,23,0.507499385296287,V0.5_c2,bgs,1
cons,1,94,45,0.505968158843577,V0.5_c2,bgs,2
cons,2,119,56,0.506936453138985,V0.5_c2,bgs,2
cons,5,142,69,0.506203115983843,V0.5_c2,bgs,2
cons,8,150,69,0.50619448340346,V0.5_c2,bgs,2
best,1,253,129,0.505968158843577,V0.5_c2,bgs,2
best,2,340,168,0.506936453138985,V0.5_c2,bgs,2
best,5,347,179,0.506203115983843,V0.5_c2,bgs,2
best,8,402,204,0.50619448340346,V0.5_c2,bgs,2
