route,n,gif,pct_lt_01,pct_lt_001,cell,tag,env
cons,44443,0.978870920164841,0.848277569020993,0.0607519744391693,V0.5_c1,bgs,1
best,44443,1.30292830308208,1.12278649056094,0.087752851967689,V0.5_c1,bgs,1
simes,44443,0.822190972617413,0.776275228944941,0.0652521206939226,V0.5_c1,bgs,1
cons,44517,0.969828010625388,1.13439809510973,0.168474964620257,V0.5_c1,bgs,2
best,44517,1.2607310488679,1.40620437136375,0.23586495046836,V0.5_c1,bgs,2
simes,44517,0.811892979977569,1.05802277781522,0.154996967450637,V0.5_c1,bgs,2
cons,44618,0.971083681510322,0.860639203908736,0.0717199336590614,V0.5_c1,bgs,3
best,44618,1.27669500446425,1.1878614012282,0.0986149087812094,V0.5_c1,bgs,3
simes,44618,0.814171591708251,0.791160518176521,0.06723743780537,V0.5_c1,bgs,3
cons,44334,1.01513188227238,0.942842964767447,0.108269048585736,V0.5_c1,bgs,4
best,44334,1.33485602834719,1.227049217305,0.151125546984256,V0.5_c1,bgs,4
simes,44334,0.854098504827119,0.877430414580232,0.0992466278702576,V0.5_c1,bgs,4
cons,44313,0.973980568478505,0.895899623135423,0.0947803127750321,V0.5_c1,bgs,5
best,44313,1.28329849904256,1.20506397671112,0.133143772707783,V0.5_c1,bgs,5
simes,44313,0.810952840856938,0.83496942206576,0.0925236386613409,V0.5_c1,bgs,5
cons,53581,0.99184005178733,0.918235941845057,0.0839849946809503,V0.5_c1,nobgs,1
best,53581,1.31174895620159,1.18512159160897,0.115712659338198,V0.5_c1,nobgs,1
simes,53581,0.837342824294462,0.836117280379239,0.0821186614658181,V0.5_c1,nobgs,1
cons,54123,0.962326333192931,0.984793895386435,0.14596382314358,V0.5_c1,nobgs,2
best,54123,1.24908547040749,1.28780740165918,0.203240766402454,V0.5_c1,nobgs,2
simes,54123,0.806462032227619,0.93860281211315,0.140420893150786,V0.5_c1,nobgs,2
cons,54098,0.96679094578429,0.868793670745684,0.0720913897001738,V0.5_c1,nobgs,3
best,54098,1.25561522702407,1.14052275500018,0.105364338792562,V0.5_c1,nobgs,3
simes,54098,0.818233174767541,0.809641761248105,0.0646974010129764,V0.5_c1,nobgs,3
cons,53971,0.960095065617996,0.909747827537011,0.0592911007763428,V0.5_c1,nobgs,4
best,53971,1.27212813494309,1.19508625002316,0.100053732560079,V0.5_c1,nobgs,4
simes,53971,0.800387871834645,0.820811176372497,0.0574382538770821,V0.5_c1,nobgs,4
cons,53774,0.979216913678766,0.970729348755904,0.0911221036188493,V0.5_c1,nobgs,5
best,53774,1.29484791391066,1.23107821623833,0.130174433741213,V0.5_c1,nobgs,5
