tau,lmin,p_null_any,p_null_lo,p_null_hi,k_null,mean_null_regions,q50_null_regions,q90_null_regions,q95_null_regions,q99_null_regions,max_null_regions,mean_null_markers,mean_null_coverage,n_obs_regions,n_obs_markers,obs_coverage
0.22,1,0.525,0.453368017470324,0.595879966575021,105,6.715,1,12,24.15,180.21,224,18.335,0.00162702990504925,23,54,0.00479190700150856
0.22,2,0.3,0.237389644075447,0.368649875459001,60,2.21,0,3,6.04999999999998,70.1799999999998,100,13.83,0.00122726062649747,9,40,0.0035495607418582
0.22,3,0.195,0.142491874779059,0.256785687526559,39,1.255,0,1,3.04999999999998,38.1299999999999,64,11.92,0.00105776910107374,4,30,0.00266217055639365
0.22,5,0.12,0.0784202479963627,0.173272351164122,24,0.65,0,1,1,17.1299999999999,37,9.91,0.000879403673795368,2,24,0.00212973644511492
0.22,10,0.055,0.0277722545520065,0.0962776444339129,11,0.2,0,0,1,5.04999999999996,10,7.025,0.000623391605288846,1,18,0.00159730233383619
0.22,15,0.04,0.0174248089944806,0.077291968226016,8,0.1,0,0,0,2.02999999999997,8,5.92,0.000525334989795013,1,18,0.00159730233383619
0.22,20,0.03,0.0110874556722548,0.064150626705027,6,0.065,0,0,0,2.01999999999998,4,5.335,0.000473422663945337,0,0,0
0.24,1,0.52,0.448412398660574,0.590986000361994,104,6.405,1,11.1,23.05,177.2,217,17.335,0.0015382908865028,22,49,0.00434821190877629
0.24,2,0.3,0.237389644075447,0.368649875459001,60,2.15,0,3,5.04999999999998,69.1599999999999,100,13.08,0.00116070636258763,9,36,0.00319460466767238
0.24,3,0.195,0.142491874779059,0.256785687526559,39,1.215,0,1,3,36.1399999999999,64,11.21,0.000994764397905759,4,26,0.00230721448220783
0.24,5,0.115,0.0743133736922971,0.167546944482254,23,0.63,0,1,1,16.1399999999999,36,9.27,0.000822610701925637,2,20,0.0017747803709291
0.24,10,0.055,0.0277722545520065,0.0962776444339129,11,0.2,0,0,1,5.04999999999996,10,6.52,0.000578578400922886,1,14,0.00124234625965037
0.24,15,0.04,0.0174248089944806,0.077291968226016,8,0.095,0,0,0,2.02999999999997,7,5.365,0.00047608483450173,0,0,0
0.24,20,0.03,0.0110874556722548,0.064150626705027,6,0.065,0,0,0,2.01999999999998,4,4.875,0.000432602715413968,0,0,0
0.26,1,0.51,0.438521722562166,0.581177484794515,102,6.015,1,10.1,19.05,173.15,204,16.235,0.0014406779661017,21,45,0.00399325583459047
0.26,2,0.295,0.232768784223124,0.36342313331791,59,2.055,0,3,4.09999999999997,66.1799999999998,95,12.275,0.00108927145265773,8,32,0.00283964859348656
0.26,3,0.195,0.142491874779059,0.256785687526559,39,1.17,0,1,2.04999999999998,36.1199999999999,64,10.505,0.000932203389830508,3,22,0.00195225840802201
0.26,5,0.105,0.0661812270287118,0.156018705547503,21,0.605,0,1,1,14.1499999999999,36,8.605,0.000763599254592244,2,19,0.00168604135238264
0.26,10,0.055,0.0277722545520065,0.0962776444339129,11,0.195,0,0,1,5.03999999999996,10,5.985,0.000531103026000533,1,14,0.00124234625965037
0.26,15,0.04,0.0174248089944806,0.077291968226016,8,0.09,0,0,0,2.02999999999997,6,4.825,0.000428165764486645,0,0,0
0.26,20,0.03,0.0110874556722548,0.064150626705027,6,0.065,0,0,0,2.01999999999998,4,4.42,0.000392226461975331,0,0,0
