tau,lmin,m,n_floor,min_p,n_sig,frac_floor,naive_bound_ok,tie_bound_ok
0.24,1,22,5,0.00497512437810945,22,0.227272727272727,FALSE,TRUE
0.24,2,9,3,0.00497512437810945,9,0.333333333333333,TRUE,TRUE
0.24,3,4,2,0.00497512437810945,4,0.5,TRUE,TRUE
0.24,5,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.24,10,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.26,1,21,5,0.00497512437810945,21,0.238095238095238,FALSE,TRUE
0.26,2,8,3,0.00497512437810945,8,0.375,TRUE,TRUE
0.26,3,3,2,0.00497512437810945,3,0.666666666666667,TRUE,TRUE
0.26,5,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.26,10,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.28,1,20,5,0.00497512437810945,20,0.25,FALSE,TRUE
0.28,2,8,3,0.00497512437810945,8,0.375,TRUE,TRUE
0.28,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.28,5,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.28,10,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.3,1,18,4,0.00497512437810945,18,0.222222222222222,FALSE,TRUE
0.3,2,8,3,0.00497512437810945,8,0.375,TRUE,TRUE
0.3,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.3,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.32,1,17,4,0.00497512437810945,17,0.235294117647059,FALSE,TRUE
0.32,2,8,3,0.00497512437810945,8,0.375,TRUE,TRUE
0.32,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.32,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.34,1,16,4,0.00497512437810945,16,0.25,FALSE,TRUE
0.34,2,7,3,0.00497512437810945,7,0.428571428571429,TRUE,TRUE
0.34,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.34,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.36,1,14,4,0.00497512437810945,14,0.285714285714286,FALSE,TRUE
0.36,2,6,3,0.00497512437810945,6,0.5,TRUE,TRUE
0.36,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.36,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.38,1,12,4,0.00497512437810945,12,0.333333333333333,FALSE,TRUE
0.38,2,6,3,0.00497512437810945,6,0.5,TRUE,TRUE
0.38,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.38,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.4,1,12,4,0.00497512437810945,12,0.333333333333333,FALSE,TRUE
0.4,2,5,3,0.00497512437810945,5,0.6,TRUE,TRUE
0.4,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.4,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.42,1,11,4,0.00497512437810945,11,0.363636363636364,FALSE,TRUE
0.42,2,5,3,0.00497512437810945,5,0.6,TRUE,TRUE
0.42,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
0.42,5,1,0,0.0149253731343284,1,0,TRUE,FALSE
0.44,1,10,4,0.00497512437810945,10,0.4,TRUE,TRUE
0.44,2,5,3,0.00497512437810945,5,0.6,TRUE,TRUE
0.44,3,2,1,0.00497512437810945,2,0.5,TRUE,TRUE
