tag,cell,rep,stage,seconds,status
nobgs,V2_c1,10,02_bundle,14,ok
nobgs,V2_c1,10,03_scan,7,ok
nobgs,V2_c1,2,01_parse_nemo,3,ok
nobgs,V2_c1,2,02_bundle,13,ok
nobgs,V2_c1,2,03_scan,7,ok
nobgs,V2_c1,3,01_parse_nemo,3,ok
nobgs,V2_c1,3,02_bundle,13,ok
nobgs,V2_c1,3,03_scan,7,ok
nobgs,V2_c1,4,01_parse_nemo,5,ok
nobgs,V2_c1,4,02_bundle,12,ok
nobgs,V2_c1,4,03_scan,7,ok
nobgs,V2_c1,5,01_parse_nemo,4,ok
nobgs,V2_c1,5,02_bundle,10,ok
nobgs,V2_c1,5,03_scan,5,ok
nobgs,V2_c1,6,01_parse_nemo,3,ok
nobgs,V2_c1,6,02_bundle,13,ok
nobgs,V2_c1,6,03_scan,7,ok
nobgs,V2_c1,7,01_parse_nemo,5,ok
nobgs,V2_c1,7,02_bundle,12,ok
nobgs,V2_c1,7,03_scan,7,ok
nobgs,V2_c1,8,01_parse_nemo,3,ok
nobgs,V2_c1,8,02_bundle,12,ok
nobgs,V2_c1,8,03_scan,7,ok
nobgs,V2_c1,9,01_parse_nemo,4,ok
nobgs,V2_c1,9,02_bundle,12,ok
nobgs,V2_c1,9,03_scan,6,ok
