analysis,flagged,contain,tag_not_contain,neither,satellites,raw_prec,raw_rec,dedup_regions,dedup_tp,dedup_qtn,dedup_prec,dedup_rec,cell,tag,env,n_qtn,n_clusters
rep,24,1,1,22,0,0.0416666666666667,0.0526315789473684,24,2,2,0.0833333333333333,0.105263157894737,V1_c1.5,bgs,6,19,76175
simes,52,3,3,46,1,0.0576923076923077,0.157894736842105,51,5,6,0.0980392156862745,0.315789473684211,V1_c1.5,bgs,6,19,76175
emlg,0,0,0,0,0,,0,0,0,0,0,0,V1_c1.5,bgs,6,19,76175
snp,130,6,2,122,1,0.0461538461538462,0.272727272727273,129,7,8,0.0542635658914729,0.363636363636364,V1_c1.5,bgs,7,22,75818
snp_n2,133,6,2,125,1,0.0451127819548872,0.272727272727273,132,7,8,0.053030303030303,0.363636363636364,V1_c1.5,bgs,7,22,75818
snp_n5,97,6,1,90,1,0.0618556701030928,0.272727272727273,96,6,7,0.0625,0.318181818181818,V1_c1.5,bgs,7,22,75818
simes_only_sparse,25,0,0,25,0,0,0,25,0,0,0,0,V1_c1.5,bgs,7,22,75818
simes_only_longdense,11,5,0,6,0,0.454545454545455,0.227272727272727,11,5,6,0.454545454545455,0.272727272727273,V1_c1.5,bgs,7,22,75818
simes_nosparse,6,2,0,4,0,0.333333333333333,0.0909090909090909,6,2,3,0.333333333333333,0.136363636363636,V1_c1.5,bgs,7,22,75818
simes_n2_nosparse,6,2,0,4,0,0.333333333333333,0.0909090909090909,6,2,3,0.333333333333333,0.136363636363636,V1_c1.5,bgs,7,22,75818
simes_n2,34,4,0,30,0,0.117647058823529,0.181818181818182,34,4,5,0.117647058823529,0.227272727272727,V1_c1.5,bgs,7,22,75818
rep,8,0,0,8,0,0,0,8,0,0,0,0,V1_c1.5,bgs,7,22,75818
simes,12,2,0,10,0,0.166666666666667,0.0909090909090909,12,2,3,0.166666666666667,0.136363636363636,V1_c1.5,bgs,7,22,75818
emlg,0,0,0,0,0,,0,0,0,0,0,0,V1_c1.5,bgs,7,22,75818
snp,111,7,2,102,1,0.0630630630630631,0.333333333333333,110,8,8,0.0727272727272727,0.380952380952381,V1_c1.5,bgs,8,21,76555
snp_n2,105,7,3,95,2,0.0666666666666667,0.333333333333333,103,8,8,0.0776699029126214,0.380952380952381,V1_c1.5,bgs,8,21,76555
snp_n5,105,7,5,93,4,0.0666666666666667,0.333333333333333,101,8,8,0.0792079207920792,0.380952380952381,V1_c1.5,bgs,8,21,76555
simes_only_sparse,46,6,1,39,0,0.130434782608696,0.285714285714286,46,7,7,0.152173913043478,0.333333333333333,V1_c1.5,bgs,8,21,76555
simes_only_longdense,12,1,1,10,1,0.0833333333333333,0.0476190476190476,11,1,1,0.0909090909090909,0.0476190476190476,V1_c1.5,bgs,8,21,76555
simes_nosparse,8,1,0,7,0,0.125,0.0476190476190476,8,1,1,0.125,0.0476190476190476,V1_c1.5,bgs,8,21,76555
simes_n2_nosparse,9,1,0,8,0,0.111111111111111,0.0476190476190476,9,1,1,0.111111111111111,0.0476190476190476,V1_c1.5,bgs,8,21,76555
simes_n2,34,6,0,28,0,0.176470588235294,0.285714285714286,34,6,6,0.176470588235294,0.285714285714286,V1_c1.5,bgs,8,21,76555
rep,11,4,0,7,0,0.363636363636364,0.19047619047619,11,4,4,0.363636363636364,0.19047619047619,V1_c1.5,bgs,8,21,76555
simes,25,6,0,19,0,0.24,0.285714285714286,25,6,6,0.24,0.285714285714286,V1_c1.5,bgs,8,21,76555
emlg,0,0,0,0,0,,0,0,0,0,0,0,V1_c1.5,bgs,8,21,76555
snp,7,2,0,5,0,0.285714285714286,0.0714285714285714,7,2,2,0.285714285714286,0.0714285714285714,V1_c1.5,bgs,9,28,75852
snp_n2,8,3,0,5,0,0.375,0.107142857142857,8,3,3,0.375,0.107142857142857,V1_c1.5,bgs,9,28,75852
snp_n5,8,3,0,5,0,0.375,0.107142857142857,8,3,3,0.375,0.107142857142857,V1_c1.5,bgs,9,28,75852
simes_only_sparse,2,1,0,1,0,0.5,0.0357142857142857,2,1,1,0.5,0.0357142857142857,V1_c1.5,bgs,9,28,75852
simes_only_longdense,0,0,0,0,0,,0,0,0,0,0,0,V1_c1.5,bgs,9,28,75852
simes_nosparse,0,0,0,0,0,,0,0,0,0,0,0,V1_c1.5,bgs,9,28,75852
simes_n2_nosparse,0,0,0,0,0,,0,0,0,0,0,0,V1_c1.5,bgs,9,28,75852
simes_n2,2,1,0,1,0,0.5,0.0357142857142857,2,1,1,0.5,0.0357142857142857,V1_c1.5,bgs,9,28,75852
rep,1,1,0,0,0,1,0.0357142857142857,1,1,1,1,0.0357142857142857,V1_c1.5,bgs,9,28,75852
simes,2,1,0,1,0,0.5,0.0357142857142857,2,1,1,0.5,0.0357142857142857,V1_c1.5,bgs,9,28,75852
emlg,0,0,0,0,0,,0,0,0,0,0,0,V1_c1.5,bgs,9,28,75852
snp,36,4,1,31,0,0.111111111111111,0.222222222222222,36,5,5,0.138888888888889,0.277777777777778,V1_c1.5,bgs,10,18,77195
snp_n2,38,4,1,33,0,0.105263157894737,0.222222222222222,38,5,5,0.131578947368421,0.277777777777778,V1_c1.5,bgs,10,18,77195
snp_n5,36,4,1,31,0,0.111111111111111,0.222222222222222,36,5,5,0.138888888888889,0.277777777777778,V1_c1.5,bgs,10,18,77195
simes_only_sparse,7,2,0,5,0,0.285714285714286,0.111111111111111,7,2,2,0.285714285714286,0.111111111111111,V1_c1.5,bgs,10,18,77195
simes_only_longdense,3,1,0,2,0,0.333333333333333,0.0555555555555556,3,1,1,0.333333333333333,0.0555555555555556,V1_c1.5,bgs,10,18,77195
simes_nosparse,0,0,0,0,0,,0,0,0,0,0,0,V1_c1.5,bgs,10,18,77195
simes_n2_nosparse,1,0,0,1,0,0,0,1,0,0,0,0,V1_c1.5,bgs,10,18,77195
simes_n2,5,2,0,3,0,0.4,0.111111111111111,5,2,2,0.4,0.111111111111111,V1_c1.5,bgs,10,18,77195
rep,2,1,0,1,0,0.5,0.0555555555555556,2,1,1,0.5,0.0555555555555556,V1_c1.5,bgs,10,18,77195
simes,5,2,0,3,0,0.4,0.111111111111111,5,2,2,0.4,0.111111111111111,V1_c1.5,bgs,10,18,77195
emlg,0,0,0,0,0,,0,0,0,0,0,0,V1_c1.5,bgs,10,18,77195
snp,6,3,0,3,0,0.5,0.3,6,3,3,0.5,0.3,V2_c1,nobgs,1,10,104374
snp_n2,14,5,3,6,3,0.357142857142857,0.5,11,5,5,0.454545454545455,0.5,V2_c1,nobgs,1,10,104374
snp_n5,16,3,4,9,2,0.1875,0.3,14,5,5,0.357142857142857,0.5,V2_c1,nobgs,1,10,104374
simes_only_sparse,0,0,0,0,0,,0,0,0,0,0,0,V2_c1,nobgs,1,10,104374
simes_only_longdense,6,3,1,2,1,0.5,0.3,5,3,3,0.6,0.3,V2_c1,nobgs,1,10,104374
simes_nosparse,3,2,0,1,0,0.666666666666667,0.2,3,2,2,0.666666666666667,0.2,V2_c1,nobgs,1,10,104374
simes_n2_nosparse,2,2,0,0,0,1,0.2,2,2,2,1,0.2,V2_c1,nobgs,1,10,104374
simes_n2,2,2,0,0,0,1,0.2,2,2,2,1,0.2,V2_c1,nobgs,1,10,104374
rep,3,2,0,1,0,0.666666666666667,0.2,3,2,2,0.666666666666667,0.2,V2_c1,nobgs,1,10,104374
simes,3,2,0,1,0,0.666666666666667,0.2,3,2,2,0.666666666666667,0.2,V2_c1,nobgs,1,10,104374
